clock_time,media,od_600nm,date,acetate_conc_mM,glucose_conc_mM
9:39,acetate,0.039,2021-02-03,30,0
10:03,acetate,0.049,2021-02-03,30,0
10:35,acetate,0.063,2021-02-03,30,0
10:56,acetate,0.075,2021-02-03,30,0
11:05,acetate,0.082,2021-02-03,30,0
11:14,glucose,0.042,2021-02-03,0,10
11:25,glucose,0.046,2021-02-03,0,10
11:25,acetate,0.09,2021-02-03,30,0
11:37,shift,0.023,2021-02-03,30,0.61
11:37,glucose + acetate,0.023,2021-02-03,30,10
11:38,glucose,0.057,2021-02-03,0,10
11:38,acetate,0.103,2021-02-03,30,0
11:49,shift,0.025,2021-02-03,30,0.61
11:49,glucose + acetate,0.026,2021-02-03,30,10
11:50,acetate,0.113,2021-02-03,30,0
11:50,glucose,0.072,2021-02-03,0,10
12:05,shift,0.032,2021-02-03,30,0.61
12:05,glucose + acetate,0.032,2021-02-03,30,10
12:06,acetate,0.128,2021-02-03,30,0
12:06,glucose,0.092,2021-02-03,0,10
12:17,shift,0.038,2021-02-03,30,0.61
12:18,glucose + acetate,0.037,2021-02-03,30,10
12:18,acetate,0.139,2021-02-03,30,0
12:18,glucose,0.11,2021-02-03,10,0
12:35,shift,0.056,2021-02-03,30,0.61
12:35,glucose + acetate,0.051,2021-02-03,30,10
12:36,acetate,0.162,2021-02-03,30,0
12:36,glucose,0.143,2021-02-03,0,10
12:53,shift,0.068,2021-02-03,30,0.61
12:53,glucose + acetate,0.066,2021-02-03,30,10
12:54,acetate,0.186,2021-02-03,30,0
12:54,glucose,0.195,2021-02-03,0,10
13:07,shift,0.088,2021-02-03,30,0.61
13:08,glucose + acetate,0.085,2021-02-03,30,10
13:09,acetate,0.211,2021-02-03,30,0
13:09,glucose,0.244,2021-02-03,0,10
13:20,shift,0.1,2021-02-03,30,0.61
13:21,glucose + acetate,0.1,2021-02-03,30,10
13:21,acetate,0.229,2021-02-03,30,0
13:22,glucose,0.296,2021-02-03,0,10
13:36,shift,0.127,2021-02-03,30,0.61
13:36,glucose + acetate,0.126,2021-02-03,30,10
13:37,acetate,0.257,2021-02-03,30,0
13:37,glucose,0.38,2021-02-03,0,10
13:49,shift,0.155,2021-02-03,30,0.61
13:50,glucose + acetate,0.158,2021-02-03,30,10
13:50,acetate,0.285,2021-02-03,30,0
14:01,shift,0.189,2021-02-03,30,0.61
14:02,glucose + acetate,0.187,2021-02-03,30,10
14:02,acetate,0.31,2021-02-03,30,0
14:13,shift,0.222,2021-02-03,30,0.61
14:13,glucose + acetate,0.222,2021-02-03,30,10
14:14,acetate,0.338,2021-02-03,30,0
14:25,shift,0.264,2021-02-03,30,0.61
14:25,glucose + acetate,0.26,2021-02-03,30,10
14:26,acetate,0.367,2021-02-03,30,0
14:33,shift,0.304,2021-02-03,30,0.61
14:34,glucose + acetate,0.301,2021-02-03,30,10
14:35,acetate,0.391,2021-02-03,30,0
14:45,shift,0.338,2021-02-03,30,0.61
14:46,glucose + acetate,0.362,2021-02-03,30,10
14:57,shift,0.351,2021-02-03,30,0.61
14:57,glucose + acetate,0.43,2021-02-03,30,10
15:03,shift,0.347,2021-02-03,30,0.61
15:09,shift,0.351,2021-02-03,30,0.61
15:14,shift,0.355,2021-02-03,30,0.61
15:20,shift,0.353,2021-02-03,30,0.61
15:26,shift,0.353,2021-02-03,30,0.61
15:32,shift,0.349,2021-02-03,30,0.61
15:43,shift,0.345,2021-02-03,30,0.61
15:59,shift,0.34,2021-02-03,30,0.61
