clock_time,strain,media,od_600nm,acetate_mM,glucose_mM,date
9:54,NCM3722,shift,0.016,30,0.61,2021-02-08
9:55,NCM3722,acetate,0.02,30,0,2021-02-08
9:56,REL606,shift,0.004,30,0.61,2021-02-08
9:56,REL606,acetate,0.023,30,0,2021-02-08
9:56,REL606,glucose,0.041,0,10,2021-02-08
9:57,NCM3722,glucose,0.014,0,10,2021-02-08
10:08,NCM3722,shift,0.026,30,0.6,2021-02-08
10:08,NCM3722,acetate,0.027,30,0,2021-02-08
10:09,REL606,glucose,0.047,0,10,2021-02-08
10:09,REL606,shift,0.016,30,0.61,2021-02-08
10:10,REL606,acetate,0.029,30,0,2021-02-08
10:10,NCM3722,glucose,0.025,0,10,2021-02-08
10:21,NCM3722,shift,0.029,30,0.61,2021-02-08
10:22,NCM3722,acetate,0.029,30,0,2021-02-08
10:22,REL606,glucose,0.053,0,10,2021-02-08
10:22,REL606,shift,0.016,30,0.61,2021-02-08
10:23,REL606,acetate,0.032,30,0,2021-02-08
10:23,NCM3722,glucose,0.032,0,10,2021-02-08
10:36,NCM3722,shift,0.034,30,0.61,2021-02-08
10:36,NCM3722,acetate,0.03,30,0,2021-02-08
10:37,REL606,glucose,0.059,0,10,2021-02-08
10:37,REL606,shift,0.01,30,0.61,2021-02-08
10:38,REL606,acetate,0.028,30,0,2021-02-08
10:38,NCM3722,glucose,0.033,0,10,2021-02-08
10:49,NCM3722,shift,0.044,30,0.61,2021-02-08
10:50,NCM3722,acetate,0.035,30,0,2021-02-08
10:50,REL606,glucose,0.073,0,10,2021-02-08
10:51,REL606,shift,0.019,30,0.61,2021-02-08
10:51,REL606,acetate,0.031,30,0,2021-02-08
10:51,NCM3722,glucose,0.048,0,10,2021-02-08
11:03,NCM3722,shift,0.038,30,0.61,2021-02-08
11:03,NCM3722,acetate,0.04,30,0,2021-02-08
11:04,REL606,glucose,0.085,0,10,2021-02-08
11:04,REL606,shift,0.019,30,0.61,2021-02-08
11:05,REL606,acetate,0.034,30,0,2021-02-08
11:05,NCM3722,glucose,0.055,0,10,2021-02-08
11:16,NCM3722,shift,0.066,30,0.61,2021-02-08
11:16,NCM3722,acetate,0.043,30,0,2021-02-08
