well,od_600nm,time_s,temp_C,strain,medium,replicate
C10,0.07760000229,0.0,22.3,blank,blank,1
C10,0.07720000297,2470.9,39.6,blank,blank,1
C10,0.07729999721,27184.3,39.1,blank,blank,1
C10,0.0773999989,27458.8,39.7,blank,blank,1
C10,0.07720000297,27733.4,39.1,blank,blank,1
C10,0.07729999721,28008.0,39.7,blank,blank,1
C10,0.07720000297,28282.6,39.0,blank,blank,1
C10,0.0773999989,28557.2,39.7,blank,blank,1
C10,0.0773999989,28831.8,39.1,blank,blank,1
C10,0.07720000297,29106.5,39.7,blank,blank,1
C10,0.0773999989,29381.1,39.0,blank,blank,1
C10,0.0773999989,29655.7,39.6,blank,blank,1
C10,0.07720000297,2745.5,39.6,blank,blank,1
C10,0.0773999989,29930.3,39.1,blank,blank,1
C10,0.07729999721,30204.9,39.5,blank,blank,1
C10,0.07729999721,30479.5,39.5,blank,blank,1
C10,0.07729999721,30754.1,39.6,blank,blank,1
C10,0.07720000297,31028.6,39.3,blank,blank,1
C10,0.07710000128,31303.2,39.6,blank,blank,1
C10,0.07710000128,31577.8,39.4,blank,blank,1
C10,0.07729999721,31852.4,39.5,blank,blank,1
C10,0.07710000128,32127.0,39.5,blank,blank,1
C10,0.0773999989,32401.6,39.2,blank,blank,1
C10,0.07729999721,3020.1,39.6,blank,blank,1
C10,0.07699999957999999,32676.2,39.7,blank,blank,1
C10,0.0773999989,32950.8,39.1,blank,blank,1
C10,0.07729999721,33225.4,39.7,blank,blank,1
C10,0.07710000128,33500.0,39.1,blank,blank,1
C10,0.07710000128,33774.6,39.6,blank,blank,1
C10,0.0773999989,34049.1,39.3,blank,blank,1
C10,0.07720000297,34323.7,39.5,blank,blank,1
C10,0.07720000297,34598.3,39.4,blank,blank,1
C10,0.0775000006,34872.9,39.5,blank,blank,1
C10,0.07729999721,35147.5,39.4,blank,blank,1
C10,0.07720000297,3294.7,39.5,blank,blank,1
C10,0.07699999957999999,35422.1,39.4,blank,blank,1
C10,0.07720000297,35696.7,39.6,blank,blank,1
C10,0.07720000297,35971.6,39.3,blank,blank,1
C10,0.07710000128,36246.2,39.7,blank,blank,1
C10,0.07720000297,36520.7,39.1,blank,blank,1
C10,0.07710000128,36795.3,39.6,blank,blank,1
C10,0.07710000128,37070.1,39.2,blank,blank,1
C10,0.07720000297,37344.7,39.6,blank,blank,1
C10,0.07729999721,37619.3,39.5,blank,blank,1
C10,0.07720000297,37893.9,39.6,blank,blank,1
C10,0.07729999721,3569.3,39.4,blank,blank,1
C10,0.07710000128,38168.5,39.5,blank,blank,1
C10,0.0773999989,38443.1,39.5,blank,blank,1
C10,0.07729999721,38717.6,39.5,blank,blank,1
C10,0.07729999721,38992.2,39.4,blank,blank,1
C10,0.07729999721,39266.8,39.6,blank,blank,1
C10,0.07699999957999999,39541.4,39.3,blank,blank,1
C10,0.07710000128,39816.0,39.7,blank,blank,1
C10,0.07729999721,40090.6,39.4,blank,blank,1
C10,0.07720000297,40365.2,39.7,blank,blank,1
C10,0.07720000297,40639.8,39.1,blank,blank,1
C10,0.0773999989,3843.9,39.1,blank,blank,1
C10,0.0773999989,40914.4,39.7,blank,blank,1
C10,0.07729999721,41189.0,39.2,blank,blank,1
C10,0.07729999721,41463.5,39.7,blank,blank,1
C10,0.0773999989,41738.1,39.1,blank,blank,1
C10,0.0773999989,42012.7,39.5,blank,blank,1
C10,0.07720000297,42287.3,39.4,blank,blank,1
C10,0.07720000297,42561.9,39.4,blank,blank,1
C10,0.07720000297,42836.5,39.7,blank,blank,1
C10,0.07720000297,43111.1,39.2,blank,blank,1
C10,0.0773999989,43385.7,39.7,blank,blank,1
C10,0.07729999721,4118.5,39.0,blank,blank,1
C10,0.07710000128,43660.3,39.2,blank,blank,1
C10,0.0773999989,43934.8,39.8,blank,blank,1
C10,0.07710000128,44209.4,39.3,blank,blank,1
C10,0.07729999721,44484.0,39.7,blank,blank,1
C10,0.07720000297,44758.7,39.1,blank,blank,1
C10,0.07720000297,45033.3,39.7,blank,blank,1
C10,0.07729999721,45308.0,39.0,blank,blank,1
C10,0.07720000297,45582.6,39.7,blank,blank,1
C10,0.0773999989,45857.1,39.0,blank,blank,1
C10,0.07729999721,46131.7,39.7,blank,blank,1
C10,0.07710000128,4393.1,39.4,blank,blank,1
C10,0.0775000006,46406.3,39.1,blank,blank,1
C10,0.07710000128,46680.9,39.7,blank,blank,1
C10,0.07729999721,46955.5,39.1,blank,blank,1
C10,0.07720000297,47230.1,39.7,blank,blank,1
C10,0.07720000297,47504.6,39.0,blank,blank,1
C10,0.07720000297,47779.2,39.6,blank,blank,1
C10,0.07720000297,48053.8,39.2,blank,blank,1
C10,0.07729999721,48328.4,39.6,blank,blank,1
C10,0.07699999957999999,48603.0,39.1,blank,blank,1
C10,0.07720000297,48877.6,39.7,blank,blank,1
C10,0.07729999721,4667.7,39.6,blank,blank,1
C10,0.07720000297,49152.1,39.1,blank,blank,1
C10,0.07720000297,49426.7,39.7,blank,blank,1
C10,0.07710000128,49701.3,39.1,blank,blank,1
C10,0.07710000128,49975.9,39.6,blank,blank,1
C10,0.07710000128,50250.5,39.2,blank,blank,1
C10,0.07720000297,50525.1,39.7,blank,blank,1
C10,0.07729999721,50799.7,39.1,blank,blank,1
C10,0.07729999721,51074.2,39.7,blank,blank,1
C10,0.07720000297,51348.8,39.1,blank,blank,1
C10,0.07720000297,51623.4,39.6,blank,blank,1
C10,0.07729999721,4942.3,39.6,blank,blank,1
C10,0.07720000297,51898.0,39.2,blank,blank,1
C10,0.07699999957999999,52172.6,39.7,blank,blank,1
C10,0.07710000128,52447.2,39.0,blank,blank,1
C10,0.07699999957999999,52721.8,39.7,blank,blank,1
C10,0.07720000297,52996.4,39.0,blank,blank,1
C10,0.07699999957999999,53271.0,39.7,blank,blank,1
C10,0.07720000297,53545.6,39.1,blank,blank,1
C10,0.07729999721,53820.1,39.7,blank,blank,1
C10,0.07710000128,54094.7,39.0,blank,blank,1
C10,0.07720000297,54369.3,39.6,blank,blank,1
C10,0.0773999989,274.2,36.4,blank,blank,1
C10,0.07729999721,5216.8,39.1,blank,blank,1
C10,0.07720000297,54643.9,39.1,blank,blank,1
C10,0.07729999721,54918.5,39.5,blank,blank,1
C10,0.07720000297,55193.1,39.5,blank,blank,1
C10,0.07720000297,55467.7,39.2,blank,blank,1
C10,0.07710000128,55742.3,39.8,blank,blank,1
C10,0.07729999721,56016.9,39.2,blank,blank,1
C10,0.07729999721,56291.5,39.8,blank,blank,1
C10,0.07720000297,56566.0,39.1,blank,blank,1
C10,0.0773999989,56840.6,39.6,blank,blank,1
C10,0.0773999989,57115.2,39.1,blank,blank,1
C10,0.07729999721,5491.4,39.2,blank,blank,1
C10,0.0775000006,57389.8,39.5,blank,blank,1
C10,0.07729999721,5766.0,39.6,blank,blank,1
C10,0.07729999721,6040.6,39.5,blank,blank,1
C10,0.07720000297,6315.2,39.1,blank,blank,1
C10,0.07720000297,6589.8,39.6,blank,blank,1
C10,0.07729999721,6864.4,39.5,blank,blank,1
C10,0.07699999957999999,7139.0,39.0,blank,blank,1
C10,0.07729999721,7413.6,39.4,blank,blank,1
C10,0.07720000297,7688.2,39.7,blank,blank,1
C10,0.0773999989,548.8,39.4,blank,blank,1
C10,0.07729999721,7962.7,39.0,blank,blank,1
C10,0.07710000128,8237.3,39.5,blank,blank,1
C10,0.0773999989,8511.9,39.7,blank,blank,1
C10,0.07710000128,8786.5,39.1,blank,blank,1
C10,0.07720000297,9061.1,39.6,blank,blank,1
C10,0.07710000128,9335.7,39.2,blank,blank,1
C10,0.0773999989,9610.2,39.4,blank,blank,1
C10,0.07760000229,9884.8,39.7,blank,blank,1
C10,0.0773999989,10159.4,39.2,blank,blank,1
C10,0.07720000297,10434.0,39.8,blank,blank,1
C10,0.07720000297,823.4,39.4,blank,blank,1
C10,0.07729999721,10708.6,39.1,blank,blank,1
C10,0.07729999721,10983.2,39.8,blank,blank,1
C10,0.07720000297,11257.8,39.1,blank,blank,1
C10,0.07729999721,11532.4,39.6,blank,blank,1
C10,0.07729999721,11807.0,39.1,blank,blank,1
C10,0.0775000006,12081.5,39.2,blank,blank,1
C10,0.0773999989,12356.1,39.7,blank,blank,1
C10,0.07729999721,12630.7,39.1,blank,blank,1
C10,0.07760000229,12905.3,39.5,blank,blank,1
C10,0.07710000128,13179.9,39.7,blank,blank,1
C10,0.07729999721,1098.0,38.9,blank,blank,1
C10,0.0773999989,13454.5,39.2,blank,blank,1
C10,0.07720000297,13729.1,39.7,blank,blank,1
C10,0.07729999721,14003.7,39.1,blank,blank,1
C10,0.07720000297,14278.3,39.6,blank,blank,1
C10,0.07720000297,14552.8,39.7,blank,blank,1
C10,0.07720000297,14827.4,39.3,blank,blank,1
C10,0.07710000128,15102.0,39.6,blank,blank,1
C10,0.07720000297,15376.6,39.1,blank,blank,1
C10,0.07699999957999999,15651.2,39.6,blank,blank,1
C10,0.07729999721,15925.8,39.1,blank,blank,1
C10,0.07729999721,1372.6,39.0,blank,blank,1
C10,0.07689999789,16200.4,39.5,blank,blank,1
C10,0.07720000297,16475.0,39.6,blank,blank,1
C10,0.07720000297,16749.6,39.5,blank,blank,1
C10,0.07720000297,17024.2,39.1,blank,blank,1
C10,0.07710000128,17298.8,39.5,blank,blank,1
C10,0.07729999721,17573.3,39.5,blank,blank,1
C10,0.07729999721,17847.9,39.5,blank,blank,1
C10,0.07729999721,18122.5,39.5,blank,blank,1
C10,0.0773999989,18397.1,39.4,blank,blank,1
C10,0.0773999989,18671.7,39.6,blank,blank,1
C10,0.07729999721,1647.2,39.3,blank,blank,1
C10,0.0773999989,18946.3,39.4,blank,blank,1
C10,0.07729999721,19220.9,39.7,blank,blank,1
C10,0.07729999721,19495.5,39.3,blank,blank,1
C10,0.07729999721,19770.1,39.6,blank,blank,1
C10,0.07729999721,20044.7,39.1,blank,blank,1
C10,0.07729999721,20319.2,39.7,blank,blank,1
C10,0.07720000297,20593.8,39.5,blank,blank,1
C10,0.07729999721,20868.4,39.7,blank,blank,1
C10,0.07729999721,21143.0,39.1,blank,blank,1
C10,0.07729999721,21417.6,39.8,blank,blank,1
C10,0.07729999721,1921.7,39.5,blank,blank,1
C10,0.07720000297,21692.2,39.1,blank,blank,1
C10,0.07729999721,21966.8,39.8,blank,blank,1
C10,0.07710000128,22241.4,39.2,blank,blank,1
C10,0.0773999989,22516.0,39.7,blank,blank,1
C10,0.07729999721,22790.6,39.4,blank,blank,1
C10,0.07729999721,23065.2,39.5,blank,blank,1
C10,0.07720000297,23339.7,39.3,blank,blank,1
C10,0.07729999721,23614.3,39.6,blank,blank,1
C10,0.0773999989,23889.2,39.1,blank,blank,1
C10,0.07699999957999999,24163.8,39.7,blank,blank,1
C10,0.07720000297,2196.3,39.6,blank,blank,1
C10,0.07710000128,24438.3,39.0,blank,blank,1
C10,0.07720000297,24712.9,39.7,blank,blank,1
C10,0.07710000128,24987.5,39.1,blank,blank,1
C10,0.07710000128,25262.1,39.8,blank,blank,1
C10,0.07720000297,25536.7,39.2,blank,blank,1
C10,0.07699999957999999,25811.3,39.7,blank,blank,1
C10,0.07720000297,26085.9,39.1,blank,blank,1
C10,0.07729999721,26360.5,39.7,blank,blank,1
C10,0.07710000128,26635.1,39.1,blank,blank,1
C10,0.07729999721,26909.7,39.7,blank,blank,1
C3,0.0773999989,0.0,22.3,blank,blank,2
C3,0.07689999789,2470.9,39.6,blank,blank,2
C3,0.07670000196,27184.3,39.1,blank,blank,2
C3,0.07670000196,27458.8,39.7,blank,blank,2
C3,0.07670000196,27733.4,39.1,blank,blank,2
C3,0.07689999789,28008.0,39.7,blank,blank,2
C3,0.07680000365,28282.6,39.0,blank,blank,2
