arrival_time,carbon_source,concentration_mM,departure_time,integrated_intensity,slope_mV_mM,intercept_mV_mM
15.1,glucose,0.5,16.1,45572.67822468792,39779.2638610146,44484.00668376233
24.3,acetate,1.5,25.6,17413.177531206653,5091.239843292799,16896.580312117512
15.1,glucose,0.75,16.1,74557.96116504857,39779.2638610146,44484.00668376233
24.3,acetate,2.25,25.6,28266.88349514564,5091.239843292799,16896.580312117512
15.1,glucose,1.0,16.1,104166.81553398055,39779.2638610146,44484.00668376233
24.3,acetate,3.0,25.6,40247.446601941745,5091.239843292799,16896.580312117512
15.1,glucose,1.25,16.1,99752.98613037451,39779.2638610146,44484.00668376233
24.3,acetate,3.75,25.6,38159.386962552,5091.239843292799,16896.580312117512
15.1,glucose,2.5,16.1,20806.687933425797,39779.2638610146,44484.00668376233
24.3,acetate,7.5,25.6,8278.206657420247,5091.239843292799,16896.580312117512
15.1,glucose,5.0,16.1,434571.99861303734,39779.2638610146,44484.00668376233
24.3,acetate,15.0,25.6,164965.13869625522,5091.239843292799,16896.580312117512
15.1,glucose,7.5,16.1,309319.14008321776,39779.2638610146,44484.00668376233
24.3,acetate,22.5,25.6,119153.9916782247,5091.239843292799,16896.580312117512
15.1,glucose,10.0,16.1,400832.8058252426,39779.2638610146,44484.00668376233
24.3,acetate,30.0,25.6,153989.41747572814,5091.239843292799,16896.580312117512
