,peak_id,retention_time,initial_time,final_time,peak_area,peak_height,date,carbon_source,concentration_mM
0,1,10.873,10.625,11.475,139586,8965,2021-02-15,glucose,2
1,2,13.436,12.55,14.267000000000001,503973,19444,2021-02-15,glucose,2
2,3,15.552,15.008,16.317,123576,5417,2021-02-15,glucose,2
0,1,10.835,10.575,11.425,40007,2438,2021-02-15,acetate,1.5
1,2,13.127,12.508,13.9,149049,7353,2021-02-15,acetate,1.5
2,3,24.873,24.375,25.483,13299,494,2021-02-15,acetate,1.5
0,1,10.876,10.625,11.542,130590,8270,2021-02-15,acetate,6
1,2,13.424000000000001,12.55,14.283,477451,18626,2021-02-15,acetate,6
2,3,24.909000000000002,24.3,25.642,44723,1610,2021-02-15,acetate,6
0,1,6.205,5.632999999999999,7.007999999999999,7880,225,2021-02-15,acetate,3
1,2,10.857000000000001,10.6,11.383,58216,3638,2021-02-15,acetate,3
2,3,13.218,12.542,13.967,214113,10080,2021-02-15,acetate,3
3,4,24.891,24.267,25.55,21628,758,2021-02-15,acetate,3
0,1,6.183,5.4670000000000005,6.9079999999999995,18889,522,2021-02-15,glucose,1
1,2,10.857000000000001,10.607999999999999,11.45,62596,3976,2021-02-15,glucose,1
2,3,13.231,12.55,14.533,230629,10629,2021-02-15,glucose,1
3,4,15.543,15.05,16.667,57415,2482,2021-02-15,glucose,1
0,1,10.862,10.607999999999999,11.667,108916,6721,2021-02-15,glucose,1.5
1,2,13.349,12.525,14.558,382031,15746,2021-02-15,glucose,1.5
2,3,15.545,15.008,16.408,96835,4202,2021-02-15,glucose,1.5
3,4,29.698,28.592,29.967,12431,134,2021-02-15,glucose,1.5
0,1,10.832,10.575,11.533,24800,1457,2021-02-15,acetate,0.75
1,2,13.052999999999999,12.467,14.0,89688,4499,2021-02-15,acetate,0.75
2,3,24.87,24.416999999999998,25.416999999999998,7350,285,2021-02-15,acetate,0.75
0,1,6.1770000000000005,5.417000000000001,7.117000000000001,20117,498,2021-02-15,glucose,0.5
1,2,10.833,10.583,11.3,41255,2624,2021-02-15,glucose,0.5
2,3,13.130999999999998,12.492,13.817,155745,7628,2021-02-15,glucose,0.5
3,4,15.512,14.958,16.467,38730,1642,2021-02-15,glucose,0.5
0,1,6.196000000000001,5.608,6.983,6090,163,2021-02-15,acetate,4.5
1,2,10.864,10.617,11.4,94151,5985,2021-02-15,acetate,4.5
2,3,13.332,12.533,14.075,350657,14841,2021-02-15,acetate,4.5
3,4,24.898000000000003,24.291999999999998,25.8,33501,1186,2021-02-15,acetate,4.5
0,1,10.831,10.583,11.292,30455,1940,2021-02-15,glucose,0.25
1,2,13.085,12.492,14.025,115479,5774,2021-02-15,glucose,0.25
2,3,15.513,15.042,16.367,28590,1220,2021-02-15,glucose,0.25
