time_min,intensity_mV,strain,date,replicate,sample_id,glucose_mM,acetate_mM
0.0,-136,NCM3722,2021-02-22,1,3,10.0,30.0
0.008329999999999999,-136,NCM3722,2021-02-22,1,3,10.0,30.0
0.016669999999999997,-1,NCM3722,2021-02-22,1,3,10.0,30.0
0.025,-10,NCM3722,2021-02-22,1,3,10.0,30.0
0.03333,-29,NCM3722,2021-02-22,1,3,10.0,30.0
0.04167,-52,NCM3722,2021-02-22,1,3,10.0,30.0
0.05,-73,NCM3722,2021-02-22,1,3,10.0,30.0
0.05832999999999999,-88,NCM3722,2021-02-22,1,3,10.0,30.0
0.06667000000000001,-95,NCM3722,2021-02-22,1,3,10.0,30.0
0.075,-96,NCM3722,2021-02-22,1,3,10.0,30.0
0.08333,-91,NCM3722,2021-02-22,1,3,10.0,30.0
0.09167,-82,NCM3722,2021-02-22,1,3,10.0,30.0
0.1,-69,NCM3722,2021-02-22,1,3,10.0,30.0
0.10833,-54,NCM3722,2021-02-22,1,3,10.0,30.0
0.11667000000000001,-38,NCM3722,2021-02-22,1,3,10.0,30.0
0.125,-21,NCM3722,2021-02-22,1,3,10.0,30.0
0.13333,-5,NCM3722,2021-02-22,1,3,10.0,30.0
0.14167000000000002,11,NCM3722,2021-02-22,1,3,10.0,30.0
0.15,25,NCM3722,2021-02-22,1,3,10.0,30.0
0.15833,39,NCM3722,2021-02-22,1,3,10.0,30.0
0.16667,51,NCM3722,2021-02-22,1,3,10.0,30.0
0.175,62,NCM3722,2021-02-22,1,3,10.0,30.0
0.18333,73,NCM3722,2021-02-22,1,3,10.0,30.0
0.19167,82,NCM3722,2021-02-22,1,3,10.0,30.0
0.2,91,NCM3722,2021-02-22,1,3,10.0,30.0
0.20833000000000002,99,NCM3722,2021-02-22,1,3,10.0,30.0
0.21666999999999997,106,NCM3722,2021-02-22,1,3,10.0,30.0
0.225,114,NCM3722,2021-02-22,1,3,10.0,30.0
0.23333,121,NCM3722,2021-02-22,1,3,10.0,30.0
0.24166999999999997,128,NCM3722,2021-02-22,1,3,10.0,30.0
0.25,135,NCM3722,2021-02-22,1,3,10.0,30.0
0.25833,142,NCM3722,2021-02-22,1,3,10.0,30.0
0.26666999999999996,149,NCM3722,2021-02-22,1,3,10.0,30.0
0.275,155,NCM3722,2021-02-22,1,3,10.0,30.0
0.28333,161,NCM3722,2021-02-22,1,3,10.0,30.0
0.29167,168,NCM3722,2021-02-22,1,3,10.0,30.0
0.3,174,NCM3722,2021-02-22,1,3,10.0,30.0
0.30833,180,NCM3722,2021-02-22,1,3,10.0,30.0
0.31667,186,NCM3722,2021-02-22,1,3,10.0,30.0
0.325,193,NCM3722,2021-02-22,1,3,10.0,30.0
0.33333,199,NCM3722,2021-02-22,1,3,10.0,30.0
0.34167,205,NCM3722,2021-02-22,1,3,10.0,30.0
0.35,211,NCM3722,2021-02-22,1,3,10.0,30.0
0.35833000000000004,217,NCM3722,2021-02-22,1,3,10.0,30.0
0.36667,224,NCM3722,2021-02-22,1,3,10.0,30.0
0.375,230,NCM3722,2021-02-22,1,3,10.0,30.0
0.38333,236,NCM3722,2021-02-22,1,3,10.0,30.0
0.39166999999999996,242,NCM3722,2021-02-22,1,3,10.0,30.0
0.4,248,NCM3722,2021-02-22,1,3,10.0,30.0
0.40833,254,NCM3722,2021-02-22,1,3,10.0,30.0
0.41667,260,NCM3722,2021-02-22,1,3,10.0,30.0
0.425,266,NCM3722,2021-02-22,1,3,10.0,30.0
0.43333,272,NCM3722,2021-02-22,1,3,10.0,30.0
0.44167,277,NCM3722,2021-02-22,1,3,10.0,30.0
0.45,283,NCM3722,2021-02-22,1,3,10.0,30.0
