peak_id,retention_time,initial_time,final_time,peak_area,peak_height,strain,date,replicate,sample_id,glucose_mM,acetate_mM
1,7.144,6.242000000000001,8.125,14910,259,NCM3722,2021-02-22,1,3,10.0,30.0
2,10.929,10.592,11.867,720514,45244,NCM3722,2021-02-22,1,3,10.0,30.0
3,13.974,12.583,14.892000000000001,1890915,51460,NCM3722,2021-02-22,1,3,10.0,30.0
4,15.565999999999999,14.892000000000001,17.383,440802,18505,NCM3722,2021-02-22,1,3,10.0,30.0
5,24.905,24.166999999999998,26.083000000000002,180833,6324,NCM3722,2021-02-22,1,3,10.0,30.0
6,29.835,28.675,29.967,8062,60,NCM3722,2021-02-22,1,3,10.0,30.0
1,7.141,6.375,7.817,10125,221,NCM3722,2021-02-22,1,2,10.0,30.0
2,10.902999999999999,10.6,11.875,478178,30588,NCM3722,2021-02-22,1,2,10.0,30.0
3,13.779000000000002,12.567,14.867,1251616,38018,NCM3722,2021-02-22,1,2,10.0,30.0
4,15.550999999999998,14.975,16.792,296688,12975,NCM3722,2021-02-22,1,2,10.0,30.0
5,24.894000000000002,24.2,25.658,117502,4210,NCM3722,2021-02-22,1,2,10.0,30.0
6,29.726,28.666999999999998,29.967,13020,191,NCM3722,2021-02-22,1,2,10.0,30.0
1,0.65,0.092,0.775,1353,36,NCM3722,2021-02-22,2,1,10.0,0.0
2,7.131,6.483,7.675,3826,98,NCM3722,2021-02-22,2,1,10.0,0.0
3,10.886,10.607999999999999,11.758,179298,11164,NCM3722,2021-02-22,2,1,10.0,0.0
4,13.432,12.575,14.325,459036,18259,NCM3722,2021-02-22,2,1,10.0,0.0
5,15.565999999999999,15.033,16.725,112147,4856,NCM3722,2021-02-22,2,1,10.0,0.0
6,29.616999999999997,28.717,29.967,12064,236,NCM3722,2021-02-22,2,1,10.0,0.0
1,7.1129999999999995,6.375,8.083,13462,281,NCM3722,2021-02-22,2,2,10.0,0.0
2,10.880999999999998,10.6,11.792,176336,10978,NCM3722,2021-02-22,2,2,10.0,0.0
3,13.423,12.583,14.5,453652,18115,NCM3722,2021-02-22,2,2,10.0,0.0
4,15.561,15.05,16.375,106900,4657,NCM3722,2021-02-22,2,2,10.0,0.0
5,29.71,28.717,29.967,9788,159,NCM3722,2021-02-22,2,2,10.0,0.0
1,7.1370000000000005,5.757999999999999,7.825,14360,311,NCM3722,2021-02-22,2,3,10.0,0.0
2,10.880999999999998,10.607999999999999,11.775,153377,9528,NCM3722,2021-02-22,2,3,10.0,0.0
3,13.388,12.558,14.317,399049,16417,NCM3722,2021-02-22,2,3,10.0,0.0
4,15.562999999999999,15.05,16.2,81588,3615,NCM3722,2021-02-22,2,3,10.0,0.0
5,29.719,28.717,29.967,8643,145,NCM3722,2021-02-22,2,3,10.0,0.0
1,7.184,6.2,7.9670000000000005,13826,283,NCM3722,2021-02-22,2,2,10.0,30.0
2,10.884,10.607999999999999,11.9,171750,10584,NCM3722,2021-02-22,2,2,10.0,30.0
3,13.425,12.575,14.642000000000001,454371,18055,NCM3722,2021-02-22,2,2,10.0,30.0
4,15.565,15.058,16.508,105681,4614,NCM3722,2021-02-22,2,2,10.0,30.0
5,24.910999999999998,24.316999999999997,25.616999999999997,41617,1498,NCM3722,2021-02-22,2,2,10.0,30.0
6,29.699,28.733,29.967,9418,174,NCM3722,2021-02-22,2,2,10.0,30.0
1,7.132000000000001,6.332999999999999,8.083,14564,301,NCM3722,2021-02-22,2,3,10.0,30.0
2,10.919,10.592,11.883,669798,42521,NCM3722,2021-02-22,2,3,10.0,30.0
3,13.935,12.592,14.85,1745139,48608,NCM3722,2021-02-22,2,3,10.0,30.0
4,15.556,14.982999999999999,16.992,395366,17257,NCM3722,2021-02-22,2,3,10.0,30.0
5,24.899,24.175,25.816999999999997,168357,5973,NCM3722,2021-02-22,2,3,10.0,30.0
6,29.794,28.691999999999997,29.967,13437,131,NCM3722,2021-02-22,2,3,10.0,30.0
1,0.633,0.083,0.775,4647,68,NCM3722,2021-02-22,2,1,10.0,30.0
2,7.16,6.525,7.8420000000000005,4758,115,NCM3722,2021-02-22,2,1,10.0,30.0
3,10.885,10.607999999999999,11.8,169357,10493,NCM3722,2021-02-22,2,1,10.0,30.0
4,13.423,12.567,14.425,448950,17927,NCM3722,2021-02-22,2,1,10.0,30.0
5,15.565,15.067,16.358,107099,4695,NCM3722,2021-02-22,2,1,10.0,30.0
6,24.909000000000002,24.333000000000002,25.6,40399,1472,NCM3722,2021-02-22,2,1,10.0,30.0
7,29.706999999999997,28.733,29.967,12007,208,NCM3722,2021-02-22,2,1,10.0,30.0
1,7.155,6.475,7.892,7160,170,NCM3722,2021-02-22,1,1,10.0,0.0
2,10.902000000000001,10.6,11.958,471244,29868,NCM3722,2021-02-22,1,1,10.0,0.0
3,13.772,12.558,14.95,1230163,37495,NCM3722,2021-02-22,1,1,10.0,0.0
4,15.552999999999999,14.95,16.767,302860,13151,NCM3722,2021-02-22,1,1,10.0,0.0
5,29.695999999999998,28.666999999999998,29.967,14457,198,NCM3722,2021-02-22,1,1,10.0,0.0
1,10.927999999999999,10.592,11.825,724391,45314,NCM3722,2021-02-22,1,3,10.0,0.0
2,13.978,12.607999999999999,14.917,1897853,51662,NCM3722,2021-02-22,1,3,10.0,0.0
3,15.567,14.917,16.6,382887,16230,NCM3722,2021-02-22,1,3,10.0,0.0
4,24.906,24.467,25.45,6288,239,NCM3722,2021-02-22,1,3,10.0,0.0
1,7.132000000000001,6.108,7.832999999999999,10444,214,NCM3722,2021-02-22,1,2,10.0,0.0
2,10.909,10.6,11.875,579262,36998,NCM3722,2021-02-22,1,2,10.0,0.0
3,13.862,12.592,14.892000000000001,1511520,43639,NCM3722,2021-02-22,1,2,10.0,0.0
4,15.549000000000001,14.892000000000001,17.067,366373,15780,NCM3722,2021-02-22,1,2,10.0,0.0
5,24.92,24.583000000000002,25.35,1600,67,NCM3722,2021-02-22,1,2,10.0,0.0
6,29.735,28.65,29.967,16343,186,NCM3722,2021-02-22,1,2,10.0,0.0
