# Data File Name,Prokaryote Total RNA Nano_2021-02-25_15-58-04.xad
# Data File Path,C:\Users\cremerlab\Desktop
# Date Created,"Thursday, February 25, 2021 11:58:03 PM"
# Date Last Modified,"Friday, February 26, 2021 12:13:24 AM"
# Version Created,B.02.11.SI811
# Version Last Modified,B.02.11.SI811
#  
# Assay Name,Prokaryote Total RNA Nano Series II
# Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
# Assay Title,Prokaryote Total RNA Nano
# Assay Version,2.5
#  
# Number of Samples Run,4
#  
# Sample Name,NCM3722_RNA_pilot
# Number of Events,1060
#  
Time,Value
17,1.624905E-03
17.05,-1.334372E-02
17.1,-1.020114E-03
17.15,-8.28205E-03
17.2,-7.731077E-03
17.25,-0.0232798
17.3,-5.524777E-02
17.35,-7.531434E-02
17.4,-7.271224E-02
17.45,-4.281211E-02
17.5,-1.531266E-02
17.55,-2.393153E-03
17.6,4.485765E-03
17.65,-5.966349E-03
17.7,-5.789069E-03
17.75,-3.684334E-03
17.8,-9.289248E-03
17.85,-1.920286E-02
17.9,-1.366833E-02
17.95,-1.469161E-03
18,2.288949E-02
18.05,3.034752E-02
18.1,2.090755E-02
18.15,1.714425E-02
18.2,-9.867805E-03
18.25,-1.973701E-02
18.3,-1.161708E-02
18.35,3.450525E-03
18.4,6.656334E-03
18.45,3.930286E-03
18.5,1.014745E-02
18.55,1.105606E-02
18.6,-3.005575E-03
18.65,-1.094763E-02
18.7,-1.531484E-02
18.75,-1.539866E-02
18.8,-9.873845E-03
18.85,3.862072E-03
18.9,0.0136013
18.95,2.094537E-02
19,8.557897E-03
19.05,-5.934137E-03
19.1,-4.58061E-03
19.15,-1.901133E-03
19.2,5.843236E-03
19.25,2.123271E-02
19.3,3.234071E-02
19.35,0.0382067
19.4,1.967592E-02
19.45,1.300162E-02
19.5,0.0091911
19.55,1.050712E-02
19.6,7.699302E-03
19.65,1.168422E-02
19.7,1.028046E-02
19.75,5.957449E-03
19.8,-2.156733E-02
19.85,-9.057699E-03
19.9,-3.684046E-03
19.95,5.453898E-03
20,1.395613E-02
20.05,2.251439E-02
20.1,2.032169E-02
20.15,2.191253E-02
20.2,3.267018E-02
20.25,3.981476E-02
20.3,4.070292E-02
20.35,0.0536481
20.4,5.742772E-02
20.45,3.749951E-02
20.5,2.710547E-02
20.55,2.288647E-02
20.6,0.0207333
20.65,3.752571E-02
20.7,6.987546E-02
20.75,8.950985E-02
20.8,6.583825E-02
20.85,0.059189
20.9,9.340176E-02
20.95,0.1402982
21,0.2586794
21.05,0.3091555
21.1,0.2639005
21.15,0.1690853
21.2,7.291465E-02
21.25,-1.309614E-02
21.3,-3.943373E-02
21.35,-1.779656E-02
