#Data File Name,Prokaryote Total RNA Nano_2021-02-25_15-58-04.xad
#Data File Path,C:\Users\cremerlab\Desktop
#Date Created,"Thursday, February 25, 2021 11:58:03 PM"
#Date Last Modified,"Friday, February 26, 2021 12:13:24 AM"
#Version Created,B.02.11.SI811
#Version Last Modified,B.02.11.SI811
# 
#Assay Name,Prokaryote Total RNA Nano Series II
#Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
#Assay Title,Prokaryote Total RNA Nano
#Assay Version,2.5
# 
#Number of Samples Run,4
# 
#Sample Name,Ladder
#Number of Events,1060
# 
Time,Value
17,-6.146271E-02
17.05,-4.768404E-02
17.1,-2.153933E-02
17.15,-0.0218767
17.2,-5.408741E-02
17.25,-7.192239E-02
17.3,-6.716321E-02
17.35,-4.704725E-02
17.4,-3.532222E-02
17.45,-2.377136E-02
17.5,-2.611602E-02
17.55,-3.828049E-02
17.6,-2.790131E-02
17.65,1.329995E-02
17.7,3.462703E-02
17.75,2.916279E-02
17.8,0.0123122
17.85,9.148367E-03
17.9,-8.222805E-03
17.95,-2.108484E-02
18,-2.946091E-02
18.05,-2.613307E-02
18.1,-3.039537E-02
18.15,-3.232507E-02
18.2,-1.930585E-02
18.25,-7.140838E-03
18.3,6.67303E-03
18.35,2.228726E-02
18.4,1.704058E-02
18.45,1.363854E-02
18.5,2.019342E-02
18.55,2.471273E-02
18.6,2.110767E-02
18.65,2.651856E-02
18.7,0.019993
18.75,1.862363E-03
18.8,-1.486916E-02
18.85,-2.217647E-02
18.9,-2.151413E-02
18.95,-0.0252704
19,-9.110795E-03
19.05,0.0259057
19.1,3.497325E-02
19.15,2.304089E-02
19.2,-8.097874E-03
19.25,-2.823006E-02
19.3,-2.346408E-02
19.35,-6.840794E-03
19.4,3.717702E-02
19.45,5.555106E-02
19.5,4.576986E-02
19.55,2.319458E-02
19.6,3.155672E-03
19.65,-3.862299E-05
19.7,2.916899E-03
19.75,1.275114E-02
19.8,3.349381E-02
19.85,2.120745E-02
19.9,1.174955E-02
19.95,-4.009022E-03
20,-6.50152E-03
20.05,-2.99613E-03
20.1,2.878777E-02
20.15,0.0609335
20.2,7.719998E-02
20.25,3.973007E-02
20.3,3.538628E-02
20.35,6.112348E-03
20.4,2.525856E-03
20.45,0.0466905
20.5,0.1164246
20.55,0.1533976
20.6,0.1460788
20.65,0.1000472
20.7,5.617029E-02
20.75,-4.812411E-03
20.8,-2.733153E-02
20.85,-2.095138E-02
20.9,-3.68077E-03
20.95,-1.590956E-03
21,-1.588856E-02
21.05,-0.0204646
21.1,-1.494434E-02
21.15,-1.395855E-02
21.2,-2.084487E-03
21.25,9.984027E-03
21.3,7.575899E-03
21.35,-1.024676E-02
21.4,-1.379893E-02
21.45,-8.375184E-03
21.5,-4.871757E-03
21.55,4.057593E-03
21.6,-6.939174E-04
21.65,-8.577396E-03
21.7,-6.932799E-03
21.75,8.379893E-03
21.8,9.701834E-03
21.85,1.844627E-03
21.9,-3.402776E-03
21.95,-1.442001E-03
22,-1.864854E-02
22.05,-4.80957E-03
22.1,-6.633457E-03
22.15,-7.303414E-02
22.2,-1.569399E-02
22.25,0.8648139
22.3,3.354389
22.35,7.610564
22.4,12.55762
22.45,16.69044
22.5,18.63899
22.55,17.80671
22.6,14.94969
22.65,11.38435
22.7,8.145123
22.75,5.563827
22.8,3.627528
22.85,2.266383
22.9,1.326118
22.95,0.7024129
23,0.3694452
23.05,0.2312523
23.1,0.3984704
23.15,0.7581256
23.2,1.013271
23.25,1.017692
23.3,0.7866771
23.35,0.4460722
23.4,0.153761
23.45,6.849911E-02
23.5,0.2020575
23.55,0.3225628
23.6,0.3589411
23.65,0.3483731
23.7,0.3036115
23.75,0.2602899
23.8,0.2458286
23.85,0.263436
23.9,0.2793274
23.95,0.2819958
24,0.2790629
24.05,0.2626331
24.1,0.2624068
24.15,0.2757817
24.2,0.3048747
24.25,0.308825
24.3,0.3142319
24.35,0.3246067
24.4,0.3276745
24.45,0.3338237
24.5,0.3423145
24.55,0.3314444
24.6,0.3447758
24.65,0.3496738
24.7,0.3666089
24.75,0.3287735
24.8,0.2879622
24.85,0.2451797
24.9,0.2091127
24.95,0.1852653
25,0.2033129
25.05,0.2106391
25.1,0.2231827
25.15,0.2282769
25.2,0.2386815
25.25,0.2291507
25.3,0.2080361
25.35,0.1859829
25.4,0.1690101
25.45,0.1576064
25.5,0.1598512
25.55,0.1678671
25.6,0.1801334
25.65,0.1798727
25.7,0.1702229
25.75,0.164399
25.8,0.1543656
25.85,0.1320516
25.9,0.1128511
25.95,0.1279423
26,0.1585188
26.05,0.1738413
26.1,0.1833308
26.15,0.1830035
26.2,0.1534177
26.25,0.1251689
26.3,0.1293427
26.35,0.1537875
26.4,0.1669104
26.45,0.1936057
26.5,0.2219364
26.55,0.2285706
26.6,0.1999999
26.65,0.180913
26.7,0.1832115
26.75,0.1976118
26.8,0.2023039
26.85,0.1988384
26.9,0.1945679
