time_min,intensity_mV,date,solute_concentration_mM
0.0,26,2021-03-15,15.0
0.008329999999999999,26,2021-03-15,15.0
0.016669999999999997,9,2021-03-15,15.0
0.025,6,2021-03-15,15.0
0.03333,22,2021-03-15,15.0
0.04167,48,2021-03-15,15.0
0.05,81,2021-03-15,15.0
0.05832999999999999,116,2021-03-15,15.0
0.06667000000000001,151,2021-03-15,15.0
0.075,182,2021-03-15,15.0
0.08333,208,2021-03-15,15.0
0.09167,228,2021-03-15,15.0
0.1,243,2021-03-15,15.0
0.10833,252,2021-03-15,15.0
0.11667000000000001,256,2021-03-15,15.0
0.125,257,2021-03-15,15.0
0.13333,253,2021-03-15,15.0
0.14167000000000002,247,2021-03-15,15.0
0.15,239,2021-03-15,15.0
0.15833,230,2021-03-15,15.0
0.16667,220,2021-03-15,15.0
0.175,209,2021-03-15,15.0
0.18333,198,2021-03-15,15.0
0.19167,187,2021-03-15,15.0
0.2,176,2021-03-15,15.0
0.20833000000000002,166,2021-03-15,15.0
0.21666999999999997,156,2021-03-15,15.0
0.225,146,2021-03-15,15.0
0.23333,137,2021-03-15,15.0
0.24166999999999997,127,2021-03-15,15.0
0.25,118,2021-03-15,15.0
0.25833,110,2021-03-15,15.0
0.26666999999999996,101,2021-03-15,15.0
0.275,92,2021-03-15,15.0
0.28333,84,2021-03-15,15.0
0.29167,76,2021-03-15,15.0
0.3,68,2021-03-15,15.0
0.30833,60,2021-03-15,15.0
0.31667,52,2021-03-15,15.0
0.325,45,2021-03-15,15.0
0.33333,38,2021-03-15,15.0
0.34167,31,2021-03-15,15.0
0.35,25,2021-03-15,15.0
0.35833000000000004,19,2021-03-15,15.0
0.36667,13,2021-03-15,15.0
0.375,8,2021-03-15,15.0
0.38333,3,2021-03-15,15.0
0.39166999999999996,-2,2021-03-15,15.0
0.4,-6,2021-03-15,15.0
0.40833,-11,2021-03-15,15.0
0.41667,-15,2021-03-15,15.0
0.425,-19,2021-03-15,15.0
0.43333,-23,2021-03-15,15.0
0.44167,-27,2021-03-15,15.0
0.45,-30,2021-03-15,15.0
0.45833,-34,2021-03-15,15.0
0.46667,-36,2021-03-15,15.0
0.475,-39,2021-03-15,15.0
0.48333000000000004,-42,2021-03-15,15.0
0.49167,-45,2021-03-15,15.0
0.5,-47,2021-03-15,15.0
0.5083300000000001,-49,2021-03-15,15.0
0.51667,-52,2021-03-15,15.0
0.525,-53,2021-03-15,15.0
0.53333,-55,2021-03-15,15.0
0.54167,-56,2021-03-15,15.0
0.55,-57,2021-03-15,15.0
0.55833,-58,2021-03-15,15.0
