peak_id,retention_time,initial_time,final_time,peak_area,peak_height,date,solute_concentration_mM
1,0.121,0.025,0.55,3298.0,262.0,2021-03-15,15.0
2,5.781,5.325,6.392,3306.0,97.0,2021-03-15,15.0
3,15.587,14.833,17.033,1017693.0,43108.0,2021-03-15,15.0
4,22.077,21.267,23.05,298657.0,11264.0,2021-03-15,15.0
5,24.969,24.283,26.258000000000003,131758.0,4484.0,2021-03-15,15.0
[LC Chromatogram(Detector B-Ch1)],,,,,,2021-03-15,15.0
Interval(msec),500,,,,,2021-03-15,15.0
# of Points,7201,,,,,2021-03-15,15.0
Start Time(min),0.000,,,,,2021-03-15,15.0
End Time(min),60.000,,,,,2021-03-15,15.0
Intensity Units,mV,,,,,2021-03-15,15.0
Intensity Multiplier,0.001,,,,,2021-03-15,15.0
R.Time (min),Intensity,,,,,2021-03-15,15.0
0.00000,26,,,,,2021-03-15,15.0
0.00833,26,,,,,2021-03-15,15.0
0.01667,9,,,,,2021-03-15,15.0
0.02500,6,,,,,2021-03-15,15.0
0.03333,22,,,,,2021-03-15,15.0
0.04167,48,,,,,2021-03-15,15.0
0.05000,81,,,,,2021-03-15,15.0
0.05833,116,,,,,2021-03-15,15.0
0.06667,151,,,,,2021-03-15,15.0
0.07500,182,,,,,2021-03-15,15.0
0.08333,208,,,,,2021-03-15,15.0
0.09167,228,,,,,2021-03-15,15.0
0.10000,243,,,,,2021-03-15,15.0
0.10833,252,,,,,2021-03-15,15.0
0.11667,256,,,,,2021-03-15,15.0
0.12500,257,,,,,2021-03-15,15.0
0.13333,253,,,,,2021-03-15,15.0
0.14167,247,,,,,2021-03-15,15.0
0.15000,239,,,,,2021-03-15,15.0
0.15833,230,,,,,2021-03-15,15.0
0.16667,220,,,,,2021-03-15,15.0
0.17500,209,,,,,2021-03-15,15.0
0.18333,198,,,,,2021-03-15,15.0
0.19167,187,,,,,2021-03-15,15.0
0.20000,176,,,,,2021-03-15,15.0
0.20833,166,,,,,2021-03-15,15.0
0.21667,156,,,,,2021-03-15,15.0
0.22500,146,,,,,2021-03-15,15.0
0.23333,137,,,,,2021-03-15,15.0
0.24167,127,,,,,2021-03-15,15.0
0.25000,118,,,,,2021-03-15,15.0
0.25833,110,,,,,2021-03-15,15.0
0.26667,101,,,,,2021-03-15,15.0
0.27500,92,,,,,2021-03-15,15.0
0.28333,84,,,,,2021-03-15,15.0
0.29167,76,,,,,2021-03-15,15.0
0.30000,68,,,,,2021-03-15,15.0
0.30833,60,,,,,2021-03-15,15.0
0.31667,52,,,,,2021-03-15,15.0
0.32500,45,,,,,2021-03-15,15.0
0.33333,38,,,,,2021-03-15,15.0
0.34167,31,,,,,2021-03-15,15.0
0.35000,25,,,,,2021-03-15,15.0
0.35833,19,,,,,2021-03-15,15.0
0.36667,13,,,,,2021-03-15,15.0
0.37500,8,,,,,2021-03-15,15.0
0.38333,3,,,,,2021-03-15,15.0
0.39167,-2,,,,,2021-03-15,15.0
0.40000,-6,,,,,2021-03-15,15.0
0.40833,-11,,,,,2021-03-15,15.0
0.41667,-15,,,,,2021-03-15,15.0
0.42500,-19,,,,,2021-03-15,15.0
0.43333,-23,,,,,2021-03-15,15.0
0.44167,-27,,,,,2021-03-15,15.0
0.45000,-30,,,,,2021-03-15,15.0
0.45833,-34,,,,,2021-03-15,15.0
0.46667,-36,,,,,2021-03-15,15.0
0.47500,-39,,,,,2021-03-15,15.0
0.48333,-42,,,,,2021-03-15,15.0
0.49167,-45,,,,,2021-03-15,15.0
0.50000,-47,,,,,2021-03-15,15.0
0.50833,-49,,,,,2021-03-15,15.0
0.51667,-52,,,,,2021-03-15,15.0
0.52500,-53,,,,,2021-03-15,15.0
0.53333,-55,,,,,2021-03-15,15.0
0.54167,-56,,,,,2021-03-15,15.0
0.55000,-57,,,,,2021-03-15,15.0
0.55833,-58,,,,,2021-03-15,15.0
0.56667,-59,,,,,2021-03-15,15.0
0.57500,-59,,,,,2021-03-15,15.0
0.58333,-60,,,,,2021-03-15,15.0
0.59167,-61,,,,,2021-03-15,15.0
0.60000,-61,,,,,2021-03-15,15.0
0.60833,-62,,,,,2021-03-15,15.0
0.61667,-63,,,,,2021-03-15,15.0
0.62500,-65,,,,,2021-03-15,15.0
0.63333,-66,,,,,2021-03-15,15.0
0.64167,-67,,,,,2021-03-15,15.0
0.65000,-70,,,,,2021-03-15,15.0
0.65833,-72,,,,,2021-03-15,15.0
0.66667,-74,,,,,2021-03-15,15.0
0.67500,-76,,,,,2021-03-15,15.0
0.68333,-78,,,,,2021-03-15,15.0
0.69167,-80,,,,,2021-03-15,15.0
0.70000,-81,,,,,2021-03-15,15.0
