[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\batch_template_3182021_001_001.lcd
Output Date,3/18/2021
Output Time,12:13:56 PM

[File Information]
Type,Data File
Generated,3/18/2021 11:28:37 AM
Generated by,System Administrator
Modified,3/18/2021 12:13:56 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,3/18/2021 11:28:55 AM
Sample Type,1:Standard
Level,1
Sample Name,2021-03-18_water001
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,1
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\batch_template_3182021_001_001.lcd
Method File,C:\LabSolutions\Data\Project1\organicacidsetc2.lcm
Batch File,C:\Users\cremerlab\Desktop\batch_template.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector B-Ch1)]
Interval(msec),500
# of Points,5401
Start Time(min),0.000
End Time(min),45.000
Intensity Units,mV
Intensity Multiplier,0.001
R.Time (min),Intensity
0.00000,-6
0.00833,-6
0.01667,-0
0.02500,2
0.03333,5
0.04167,8
0.05000,10
0.05833,10
0.06667,8
0.07500,6
0.08333,4
0.09167,3
0.10000,2
0.10833,2
0.11667,2
0.12500,1
0.13333,1
0.14167,2
0.15000,2
0.15833,2
0.16667,1
0.17500,0
0.18333,-0
0.19167,-1
0.20000,-2
0.20833,-4
0.21667,-6
0.22500,-7
0.23333,-8
0.24167,-9
0.25000,-9
0.25833,-8
0.26667,-7
0.27500,-6
0.28333,-6
0.29167,-6
0.30000,-7
0.30833,-8
0.31667,-9
0.32500,-10
0.33333,-11
0.34167,-12
0.35000,-13
0.35833,-14
0.36667,-15
0.37500,-15
0.38333,-15
0.39167,-16
0.40000,-17
0.40833,-17
0.41667,-18
0.42500,-18
0.43333,-18
0.44167,-19
0.45000,-19
0.45833,-19
0.46667,-19
0.47500,-20
0.48333,-20
0.49167,-20
0.50000,-20
0.50833,-20
0.51667,-21
0.52500,-21
0.53333,-21
0.54167,-21
0.55000,-21
0.55833,-20
0.56667,-19
0.57500,-18
0.58333,-16
0.59167,-13
0.60000,-11
0.60833,-9
0.61667,-7
0.62500,-5
0.63333,-5
0.64167,-6
0.65000,-8
0.65833,-11
0.66667,-15
0.67500,-20
0.68333,-25
0.69167,-31
0.70000,-36
0.70833,-42
0.71667,-47
0.72500,-51
0.73333,-55
0.74167,-58
0.75000,-60
0.75833,-61
0.76667,-62
0.77500,-62
0.78333,-62
0.79167,-62
0.80000,-62
0.80833,-61
0.81667,-61
0.82500,-60
0.83333,-59
0.84167,-58
0.85000,-57
0.85833,-56
0.86667,-55
0.87500,-55
0.88333,-54
0.89167,-53
0.90000,-53
0.90833,-53
0.91667,-53
0.92500,-53
0.93333,-53
0.94167,-54
0.95000,-54
0.95833,-55
0.96667,-55
0.97500,-55
0.98333,-56
0.99167,-57
1.00000,-57
1.00833,-58
1.01667,-59
1.02500,-60
1.03333,-62
1.04167,-63
1.05000,-64
1.05833,-65
1.06667,-66
1.07500,-67
1.08333,-69
1.09167,-70
1.10000,-72
1.10833,-73
1.11667,-75
1.12500,-77
1.13333,-79
1.14167,-81
1.15000,-83
1.15833,-85
1.16667,-87
1.17500,-89
1.18333,-91
1.19167,-94
1.20000,-96
1.20833,-98
1.21667,-100
1.22500,-102
1.23333,-105
1.24167,-107
1.25000,-110
1.25833,-112
1.26667,-115
1.27500,-118
1.28333,-120
1.29167,-123
1.30000,-126
1.30833,-128
1.31667,-131
1.32500,-134
1.33333,-137
1.34167,-139
1.35000,-142
1.35833,-145
1.36667,-148
1.37500,-152
1.38333,-155
1.39167,-158
1.40000,-162
1.40833,-165
1.41667,-168
1.42500,-171
1.43333,-174
1.44167,-178
