[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\batch_template_3182021_001_008.lcd
Output Date,3/18/2021
Output Time,5:31:22 PM

[File Information]
Type,Data File
Generated,3/18/2021 4:46:03 PM
Generated by,System Administrator
Modified,3/18/2021 5:31:22 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,3/18/2021 4:46:21 PM
Sample Type,1:Standard
Level,1
Sample Name,2021-03-18_DM_base001
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,20
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\batch_template_3182021_001_008.lcd
Method File,C:\LabSolutions\Data\Project1\organicacidsetc2.lcm
Batch File,C:\Users\cremerlab\Desktop\batch_template.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector B-Ch1)]
Interval(msec),500
# of Points,5401
Start Time(min),0.000
End Time(min),45.000
Intensity Units,mV
Intensity Multiplier,0.001
R.Time (min),Intensity
0.00000,-13
0.00833,-13
0.01667,-4
0.02500,-1
0.03333,-3
0.04167,-6
0.05000,-9
0.05833,-12
0.06667,-13
0.07500,-13
0.08333,-13
0.09167,-12
0.10000,-11
0.10833,-9
0.11667,-8
0.12500,-8
0.13333,-7
0.14167,-7
0.15000,-7
0.15833,-8
0.16667,-8
0.17500,-9
0.18333,-9
0.19167,-10
0.20000,-10
0.20833,-11
0.21667,-11
0.22500,-11
0.23333,-11
0.24167,-10
0.25000,-10
0.25833,-10
0.26667,-11
0.27500,-11
0.28333,-12
0.29167,-12
0.30000,-13
