,elapsed_time_hr,od_600nm,replicate,sampled,date,strain,sample_idx
0,0.0,0.10400000000000001,1,True,2021-03-31,NCM3722,1
1,0.13333333333333333,0.11699999999999999,1,False,2021-03-31,NCM3722,0
2,0.23333333333333334,0.127,1,False,2021-03-31,NCM3722,0
3,0.36666666666666664,0.147,1,True,2021-03-31,NCM3722,2
4,0.5,0.162,1,False,2021-03-31,NCM3722,0
5,0.6,0.17800000000000002,1,False,2021-03-31,NCM3722,0
6,0.7,0.19699999999999998,1,True,2021-03-31,NCM3722,3
7,0.7833333333333333,0.213,1,False,2021-03-31,NCM3722,0
8,0.8833333333333333,0.23399999999999999,1,False,2021-03-31,NCM3722,0
9,1.0,0.263,1,True,2021-03-31,NCM3722,4
10,1.1,0.289,1,False,2021-03-31,NCM3722,0
11,1.2,0.305,1,True,2021-03-31,NCM3722,5
12,1.3166666666666667,0.349,1,True,2021-03-31,NCM3722,6
13,1.4333333333333333,0.385,1,False,2021-03-31,NCM3722,0
14,1.5,0.41,1,True,2021-03-31,NCM3722,7
0,0.0,0.10099999999999999,2,True,2021-03-31,NCM3722,1
1,0.13333333333333333,0.113,2,False,2021-03-31,NCM3722,0
2,0.23333333333333334,0.126,2,False,2021-03-31,NCM3722,0
3,0.36666666666666664,0.14,2,False,2021-03-31,NCM3722,0
4,0.48333333333333334,0.157,2,True,2021-03-31,NCM3722,2
5,0.6,0.182,2,False,2021-03-31,NCM3722,0
6,0.7666666666666667,0.215,2,True,2021-03-31,NCM3722,3
7,0.8666666666666667,0.21899999999999997,2,False,2021-03-31,NCM3722,0
8,1.0,0.256,2,True,2021-03-31,NCM3722,4
9,1.0833333333333333,0.276,2,False,2021-03-31,NCM3722,0
10,1.2,0.302,2,True,2021-03-31,NCM3722,5
11,1.3166666666666667,0.336,2,False,2021-03-31,NCM3722,0
12,1.4166666666666667,0.34600000000000003,2,True,2021-03-31,NCM3722,6
13,1.5,0.382,2,False,2021-03-31,NCM3722,0
14,1.55,0.395,2,True,2021-03-31,NCM3722,7
0,0.0,0.105,3,True,2021-03-31,NCM3722,1
1,0.1,0.114,3,False,2021-03-31,NCM3722,0
2,0.23333333333333334,0.13699999999999998,3,False,2021-03-31,NCM3722,0
3,0.36666666666666664,0.14800000000000002,3,True,2021-03-31,NCM3722,2
4,0.4666666666666667,0.166,3,False,2021-03-31,NCM3722,0
5,0.5666666666666667,0.174,3,False,2021-03-31,NCM3722,0
6,0.65,0.18899999999999997,3,False,2021-03-31,NCM3722,0
7,0.75,0.19899999999999998,3,True,2021-03-31,NCM3722,3
8,0.9666666666666667,0.26,3,True,2021-03-31,NCM3722,4
9,1.0666666666666667,0.284,3,False,2021-03-31,NCM3722,0
10,1.2,0.314,3,True,2021-03-31,NCM3722,5
11,1.3,0.349,3,True,2021-03-31,NCM3722,6
12,1.3666666666666667,0.358,3,False,2021-03-31,NCM3722,0
13,1.4333333333333333,0.37799999999999995,3,False,2021-03-31,NCM3722,0
14,1.5,0.402,3,True,2021-03-31,NCM3722,7
0,0.0,0.10300000000000001,4,True,2021-03-31,NCM3722,1
1,0.16666666666666666,0.11900000000000001,4,False,2021-03-31,NCM3722,0
2,0.2833333333333333,0.13699999999999998,4,False,2021-03-31,NCM3722,0
3,0.38333333333333336,0.14800000000000002,4,True,2021-03-31,NCM3722,2
4,0.5166666666666667,0.16699999999999998,4,False,2021-03-31,NCM3722,0
5,0.65,0.18899999999999997,4,False,2021-03-31,NCM3722,0
6,0.75,0.207,4,True,2021-03-31,NCM3722,3
7,0.8333333333333334,0.228,4,False,2021-03-31,NCM3722,0
8,0.9333333333333333,0.242,4,True,2021-03-31,NCM3722,4
9,1.0333333333333334,0.267,4,False,2021-03-31,NCM3722,0
10,1.15,0.3,4,True,2021-03-31,NCM3722,5
11,1.25,0.325,4,False,2021-03-31,NCM3722,0
12,1.35,0.35,4,True,2021-03-31,NCM3722,6
13,1.4666666666666666,0.395,4,True,2021-03-31,NCM3722,7
