amplitude,area,peak_idx,retention_time,scale,skew,replicate,sample_idx,compound
14514.356099197386,1741722.7319036862,1,10.962905291936865,0.13505884685554298,1.5297597900349948,1,1,NaCl
43901.20608728249,5268144.726374686,3,15.170310401793902,0.29263966523067525,-3.6518059979070463,1,1,phosphate
14648.30237097547,1757796.2845170565,4,15.736394581810094,0.22089538954904936,-1.1159920213924672,1,1,glucose
15801.490704282385,1896178.8845138864,1,10.966245661858641,0.13592016396217851,1.5106740819683049,1,2,NaCl
46934.04627760811,5632085.553312974,2,15.188826062974051,0.29881533280954103,-3.82996899521818,1,2,phosphate
16082.340460713456,1929880.8552856147,3,15.741868712972453,0.23000505403319757,-1.1829427050147776,1,2,glucose
66.41215292994275,7969.45835159313,4,24.914095544290294,0.2374657610017604,1.019649332624113,1,2,acetate
17271.093152520625,2072531.1783024748,1,10.978013240177523,0.13539749639501258,1.369999570060913,1,3,NaCl
50750.08512941249,6090010.215529498,2,15.217474437741494,0.3098807593619981,-4.0939802723454735,1,3,phosphate
18181.90291336301,2181828.349603562,3,15.764144041536431,0.24921246266632632,-1.2926840283074699,1,3,glucose
95.79076561816049,11494.891874179139,4,24.930382893821015,0.23587625836874518,0.9665678984179873,1,3,acetate
17312.97194294615,2077556.6331535385,1,10.9764432079384,0.1352607244506575,1.3680462697500995,1,4,NaCl
50821.284044954926,6098554.085394591,2,15.217305726155196,0.30998675189368063,-4.100768538553975,1,4,phosphate
17898.71208815702,2147845.4505788423,3,15.765748483139129,0.2523051275162503,-1.329150428025777,1,4,glucose
123.2296717108315,14787.56060529975,4,24.93332782207528,0.23361438179418573,0.9497461934102448,1,4,acetate
17277.146420093057,2073257.570411167,1,10.975834546370328,0.13527520257463443,1.3709230321747996,1,5,NaCl
50773.668583609164,6092840.2300331,2,15.216497596374982,0.30990146803800916,-4.10796607574519,1,5,phosphate
17597.040176741586,2111644.82120899,3,15.766578704307111,0.25489736085844045,-1.3601996445181772,1,5,glucose
146.46981174035994,17576.377408843193,4,24.921705388556806,0.2402538139523718,1.0361544010127532,1,5,acetate
