#
# 2021-03-31_glucose_glycerol_acetate_calibration_30mM
# ------------------------------
# Acquired: 4/1/2021 4:05:17 PM
# Converted: 04/03/2021 09:04:55 AM
# Vial: 1
# Injection Volume: 20 uL
# Sample ID: 001
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,99,B
0.008329999999999999,99,B
0.016669999999999997,1,B
0.025,3,B
0.03333,4,B
0.04167,6,B
0.05,7,B
0.05832999999999999,8,B
0.06667000000000001,9,B
0.075,10,B
0.08333,11,B
0.09167,12,B
0.1,13,B
0.10833,14,B
0.11667000000000001,15,B
0.125,16,B
0.13333,17,B
0.14167000000000002,18,B
0.15,19,B
0.15833,20,B
0.16667,21,B
0.175,21,B
0.18333,22,B
0.19167,23,B
0.2,24,B
0.20833000000000002,24,B
0.21666999999999997,25,B
0.225,25,B
0.23333,25,B
0.24166999999999997,26,B
0.25,26,B
0.25833,27,B
0.26666999999999996,27,B
0.275,27,B
0.28333,27,B
0.29167,27,B
0.3,27,B
0.30833,27,B
0.31667,27,B
0.325,27,B
0.33333,28,B
0.34167,28,B
0.35,28,B
0.35833000000000004,28,B
0.36667,28,B
0.375,28,B
0.38333,29,B
0.39166999999999996,29,B
0.4,29,B
0.40833,28,B
0.41667,28,B
0.425,29,B
0.43333,29,B
0.44167,29,B
0.45,29,B
0.45833,29,B
0.46667,29,B
0.475,29,B
0.48333000000000004,29,B
0.49167,28,B
0.5,28,B
0.5083300000000001,28,B
0.51667,28,B
0.525,28,B
0.53333,28,B
0.54167,28,B
0.55,28,B
0.55833,28,B
0.56667,28,B
0.575,28,B
0.58333,28,B
0.59167,27,B
0.6,27,B
0.60833,27,B
0.6166699999999999,27,B
0.625,26,B
0.6333300000000001,26,B
0.64167,25,B
0.65,24,B
0.65833,24,B
0.66667,23,B
0.675,23,B
0.68333,23,B
0.69167,23,B
0.7,22,B
0.70833,22,B
0.71667,21,B
0.725,21,B
0.73333,20,B
0.7416699999999999,20,B
0.75,20,B
0.7583300000000001,19,B
0.76667,19,B
0.775,18,B
0.78333,18,B
0.79167,18,B
0.8,18,B
0.80833,17,B
0.81667,17,B
0.825,17,B
0.8333299999999999,17,B
0.84167,17,B
0.85,16,B
0.8583299999999999,16,B
0.86667,16,B
0.875,15,B
0.88333,15,B
0.8916700000000001,15,B
0.9,15,B
0.90833,15,B
0.9166700000000001,14,B
0.925,14,B
0.9333299999999999,13,B
0.9416700000000001,13,B
0.95,13,B
0.9583299999999999,12,B
0.96667,12,B
0.975,11,B
0.9833299999999999,11,B
0.99167,10,B
1.0,10,B
1.00833,10,B
1.01667,10,B
1.025,9,B
1.0333299999999999,8,B
1.04167,7,B
1.05,7,B
1.05833,7,B
1.06667,6,B
1.075,6,B
1.08333,6,B
1.0916700000000001,5,B
1.1,5,B
1.10833,5,B
1.11667,5,B
1.125,5,B
1.13333,5,B
1.14167,4,B
1.15,4,B
1.1583299999999999,4,B
1.16667,3,B
1.175,3,B
1.18333,2,B
1.19167,2,B
1.2,1,B
1.20833,0,B
1.2166700000000001,0,B
1.225,-1,B
1.23333,-1,B
1.24167,-1,B
1.25,-1,B
1.25833,-2,B
1.26667,-2,B
1.275,-2,B
1.2833299999999999,-2,B
1.29167,-2,B
1.3,-3,B
1.30833,-3,B
1.31667,-3,B
1.325,-3,B
1.33333,-3,B
1.3416700000000001,-3,B
1.35,-4,B
1.35833,-4,B
1.36667,-4,B
1.375,-5,B
1.38333,-5,B
1.39167,-5,B
1.4,-5,B
1.4083299999999999,-6,B
1.41667,-6,B
1.425,-7,B
1.43333,-7,B
1.44167,-8,B
1.45,-8,B
1.45833,-8,B
1.4666700000000001,-9,B
1.475,-9,B
1.48333,-9,B
1.49167,-10,B
1.5,-10,B
1.50833,-10,B
1.51667,-11,B
1.525,-11,B
1.5333299999999999,-11,B
1.54167,-11,B
1.55,-12,B
1.55833,-12,B
1.56667,-12,B
1.575,-12,B
1.58333,-12,B
1.5916700000000001,-12,B
1.6,-13,B
1.60833,-13,B
1.61667,-13,B
1.625,-14,B
1.63333,-14,B
1.64167,-14,B
1.65,-14,B
1.6583299999999999,-15,B
1.66667,-15,B
1.675,-15,B
1.68333,-16,B
1.69167,-16,B
1.7,-16,B
1.70833,-16,B
1.7166700000000001,-16,B
1.725,-16,B
1.73333,-16,B
1.74167,-16,B
1.75,-16,B
1.75833,-17,B
1.76667,-17,B
1.775,-17,B
1.7833299999999999,-18,B
1.79167,-18,B
1.8,-18,B
1.80833,-18,B
1.81667,-18,B
1.825,-18,B
1.83333,-18,B
1.8416700000000001,-18,B
1.85,-18,B
1.85833,-18,B
1.86667,-19,B
1.875,-19,B
1.88333,-19,B
1.89167,-19,B
1.9,-20,B
1.9083299999999999,-20,B
1.91667,-21,B
1.925,-21,B
1.93333,-22,B
1.94167,-22,B
1.95,-22,B
1.95833,-22,B
1.9666700000000001,-22,B
1.975,-22,B
1.98333,-22,B
1.99167,-22,B
2.0,-22,B
2.00833,-23,B
2.01667,-23,B
2.025,-23,B
2.03333,-23,B
2.04167,-23,B
2.05,-23,B
2.0583299999999998,-23,B
2.0666700000000002,-23,B
2.075,-23,B
2.08333,-24,B
2.09167,-24,B
2.1,-24,B
2.10833,-25,B
2.11667,-25,B
2.125,-25,B
2.13333,-25,B
