#
# 2021-04-02_DM_glucose_glycerol_acetate_calibration_30mM
# ------------------------------
# Acquired: 4/3/2021 11:27:56 PM
# Converted: 04/04/2021 03:04:57 PM
# Vial: 19
# Injection Volume: 20 uL
# Sample ID: 001
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,142,B
0.008329999999999999,142,B
0.016669999999999997,23,B
0.025,2,B
0.03333,3,B
0.04167,4,B
0.05,6,B
0.05832999999999999,7,B
0.06667000000000001,8,B
0.075,10,B
0.08333,11,B
0.09167,12,B
0.1,13,B
0.10833,14,B
0.11667000000000001,15,B
0.125,16,B
0.13333,17,B
0.14167000000000002,18,B
0.15,19,B
0.15833,19,B
0.16667,20,B
0.175,20,B
0.18333,21,B
0.19167,21,B
0.2,22,B
0.20833000000000002,22,B
0.21666999999999997,23,B
0.225,23,B
0.23333,24,B
0.24166999999999997,24,B
0.25,24,B
0.25833,25,B
0.26666999999999996,25,B
0.275,25,B
0.28333,25,B
0.29167,26,B
0.3,26,B
0.30833,26,B
0.31667,26,B
0.325,26,B
0.33333,26,B
0.34167,26,B
0.35,26,B
0.35833000000000004,26,B
0.36667,27,B
0.375,26,B
0.38333,26,B
0.39166999999999996,26,B
0.4,26,B
0.40833,26,B
0.41667,27,B
0.425,27,B
0.43333,27,B
0.44167,27,B
0.45,26,B
0.45833,26,B
0.46667,26,B
0.475,26,B
0.48333000000000004,26,B
0.49167,26,B
0.5,26,B
0.5083300000000001,26,B
0.51667,25,B
0.525,25,B
0.53333,25,B
0.54167,25,B
0.55,26,B
0.55833,25,B
0.56667,25,B
0.575,25,B
0.58333,25,B
0.59167,25,B
0.6,25,B
0.60833,25,B
0.6166699999999999,24,B
0.625,24,B
0.6333300000000001,23,B
0.64167,23,B
0.65,22,B
0.65833,21,B
0.66667,21,B
0.675,20,B
0.68333,20,B
0.69167,19,B
0.7,19,B
0.70833,18,B
0.71667,18,B
0.725,18,B
0.73333,17,B
0.7416699999999999,17,B
0.75,17,B
0.7583300000000001,16,B
0.76667,16,B
0.775,15,B
0.78333,15,B
0.79167,15,B
0.8,15,B
0.80833,15,B
0.81667,15,B
0.825,15,B
0.8333299999999999,15,B
0.84167,14,B
0.85,14,B
0.8583299999999999,14,B
0.86667,14,B
0.875,13,B
0.88333,13,B
0.8916700000000001,13,B
0.9,12,B
0.90833,12,B
0.9166700000000001,11,B
0.925,11,B
