gene,delta_pre,delta_5,delta_15,delta_30,delta_45,delta_acetate
aaeA,46,109,113,134,121,59
aaeB,116,214,190,214,122,87
aaeR,538,682,748,538,370,507
aaeX,14,26,28,10,10,5
aas,2009,1786,1621,1891,1591,1655
aat,818,589,671,727,807,807
abgA,43,206,152,193,114,95
abgB,64,168,134,165,110,93
abgR,426,979,952,774,806,1063
abgT,146,193,265,217,174,142
abpA,2037,3083,4229,3939,2613,2001
abpB,1893,2183,3508,4181,2938,2127
abrB,250,196,174,112,93,120
accA,12961,5132,4829,4944,6024,10265
accB,11552,2532,1852,2159,3545,10463
accC,22716,3016,2391,3788,6556,24541
accD,12713,9508,6680,6388,7645,14230
aceA,13781,484331,471991,651735,449335,342784
aceB,13336,444659,393555,471107,320185,238163
aceE,35636,8753,7699,11711,10072,28144
aceF,13483,3357,2991,5410,4314,12578
aceK,4870,75170,86275,104241,82280,58355
ackA,12097,7874,8552,12798,14582,12037
acnA,3671,32082,37267,59942,32364,9022
acnB,38086,50921,49689,75032,52742,99297
acpH,547,325,466,574,496,361
acpP,65830,28760,30427,33421,29625,77314
acpS,869,1189,915,1154,777,907
acpT,976,726,701,806,563,640
acrA,6097,6767,5664,7641,6345,5731
acrB,12808,10312,9387,14301,12227,12714
acrD,448,383,430,573,480,416
acrE,40,12,19,7,8,23
acrF,282,487,549,508,336,261
acrR,690,313,453,340,325,1085
acrZ,563,525,679,435,351,622
acs,1909,52596,37063,82677,71848,46962
actP,465,16392,14516,39721,38562,21855
ada,291,630,745,1110,798,280
add,615,3572,1872,1184,475,888
adeD,441,1754,1592,1434,731,842
adeP,8990,277,279,244,1480,3764
adeQ,34,207,284,227,107,62
adhE,25375,23964,29838,39881,45189,22279
adhP,1143,4775,7189,13774,15561,4148
adiA,148,272,266,202,154,128
adiC,55,141,195,143,62,78
adiY,29,218,365,327,76,32
adk,11796,3533,3220,4301,6613,13877
aegA,123,262,232,257,185,229
aer,402,1684,1285,1037,513,3835
aes,105,652,443,308,226,529
afuB,6,0,4,4,2,5
afuC,20,36,31,25,13,23
agaA,24,249,174,126,113,185
agaB,30,31,41,39,15,32
agaC,37,29,36,54,16,40
agaD,29,42,51,52,20,36
agaI,60,64,86,66,52,61
agaR,1611,2355,2167,1675,1336,1782
agaS,13,34,12,14,17,73
agaV,24,201,98,89,63,199
agaW,6,101,62,44,27,89
agp,774,21838,18328,22218,16966,9203
ahpC,87772,97425,85314,65423,47602,93684
ahpF,6178,5231,3661,4740,5259,7097
ahr,217,1853,1656,2102,1119,386
aidB,117,2677,2508,3708,1714,236
ais,10743,3476,3595,2361,2528,10822
alaA,3556,1992,2256,2973,3651,6016
alaC,1389,5893,4005,7474,5023,1291
alaE,195,65,67,38,25,19
alaS,41338,15441,12501,14311,17651,30545
aldA,11797,229741,154427,165244,113162,123382
aldB,60,5910,5873,11294,8653,1692
alkA,112,271,285,319,211,149
alkB,47,130,163,266,137,58
allA,46,10711,12434,7875,303,626
allB,93,4464,22196,68526,12319,1552
allC,241,500,510,461,432,341
allD,16,49,61,80,129,124
allE,408,1453,1662,1354,649,837
allR,3404,16297,18628,16912,5721,3259
allS,25,1342,1722,939,82,129
alpA,37,36,37,26,25,58
alr,2096,982,848,963,765,1447
alsA,34,365,472,434,442,212
alsB,241,1353,1747,1399,1099,779
alsC,25,154,202,245,186,94
alsE,55,164,211,275,208,161
alsK,59,227,254,330,330,189
alx,1153,212,202,249,317,522
amiA,1684,967,1380,1460,1195,1181
amiB,1184,1663,1779,2496,2120,1307
amiC,1824,1331,1013,743,808,2284
amiD,664,3642,3467,3780,1904,1045
amn,5403,9494,10487,8934,5847,5045
ampC,392,171,187,176,175,287
ampD,604,1259,1026,915,695,648
ampE,490,1898,1512,1381,813,681
ampG,2714,201,272,351,635,1423
ampH,918,1748,2014,2855,2714,1713
amtB,1839,271,206,201,133,137
amyA,1156,8335,10330,14379,9588,3909
anmK,720,1304,1025,886,905,1244
ansA,2933,695,701,911,1594,2004
ansB,264,1697,1292,1263,444,1012
ansP,1223,158,189,172,189,435
apaG,2169,1566,1650,2092,1891,1499
apaH,1195,636,805,1475,1235,983
aphA,1088,3549,3084,1864,1212,2696
appA,151,537,478,624,525,258
appB,84,110,128,164,255,93
appC,59,113,113,203,299,78
appX,31,77,94,97,75,43
appY,158,331,724,727,162,114
apt,7605,780,664,680,1891,3814
aqpZ,238,863,1199,1001,450,191
araA,41,445,282,425,413,287
araB,36,247,192,226,213,186
araC,561,5985,5924,5179,2171,2767
araD,16,141,66,116,124,113
araE,391,707,755,697,386,410
araF,56,2514,1869,2164,1798,2157
araG,44,1176,802,935,600,477
araH,64,1655,1311,1118,618,404
araJ,535,505,702,533,390,327
arcA,18376,74297,82081,74121,49479,31686
arcB,3268,6083,5467,4334,2619,4096
arfA,188,461,361,335,149,222
arfB,377,369,385,512,357,259
argA,2429,449,430,361,283,19581
argB,1865,488,355,532,408,5029
argC,2326,87,58,45,53,13158
argD,3134,168,174,201,209,5921
argE,4361,4722,3304,2367,1361,8824
argF,0,0,0,0,0,0
argG,14549,2627,2901,3903,2909,24138
argH,6062,1256,1014,1339,973,7827
argI,2453,130,87,61,50,13824
argK,28,48,46,32,23,20
argO,502,729,714,462,276,184
argP,2109,2901,2227,1562,1326,2031
argR,5514,1633,1646,1175,1604,7385
argS,7038,2106,1789,1940,3057,5764
argT,8375,71651,75810,76132,67753,31569
ariR,13,100,290,515,160,33
arnA,13115,9938,14426,22430,14574,23878
arnB,9571,21834,23998,24455,15310,21676
arnC,7708,9110,12389,13599,8407,13366
arnD,4703,2265,3778,6760,5595,8203
arnE,739,197,377,888,765,871
arnF,907,140,385,856,829,966
arnT,5546,1233,2690,5409,4650,7687
aroA,18650,1503,1726,2249,3775,6974
aroB,14000,6204,5541,5807,5056,8388
aroC,4367,2998,2432,2646,2831,4728
aroD,1392,1178,1154,1105,1081,1503
aroE,2669,1289,1514,2315,1779,1298
aroF,18011,12138,15121,30725,31796,15660
aroG,22582,7081,6786,8110,7803,12494
aroH,2770,834,1106,1782,2406,2521
aroK,11180,3200,3233,2772,2481,6562
aroL,8983,3104,3513,4417,4887,5804
aroM,2347,1413,2597,4286,5473,1363
aroP,22948,20393,19726,18308,13026,23253
arpA,61,45,124,136,102,84
arpB_1,8,6,22,18,26,10
arpB_2,30,14,30,33,40,22
arsB,121,125,136,104,50,122
arsC,170,294,264,265,141,160
arsR,80,62,46,19,31,65
artI,3060,3219,4241,5848,5554,5678
artJ,11909,198,242,252,258,34803
artM,2579,738,1261,2747,3380,2408
artP,3015,2343,3241,3871,3903,3252
artQ,1391,697,1026,1948,2029,1539
ascB,198,641,667,669,387,305
ascF,154,334,354,323,229,207
ascG,256,525,344,427,243,278
asd,15514,11251,9028,8753,7095,12437
aslA,262,653,785,647,318,213
aslB,127,169,99,110,104,172
asmA,3983,4931,4118,4140,3558,4822
asnA,1795,168,120,92,93,1033
asnB,6338,3208,2493,2105,1969,4380
asnC,348,304,307,271,220,282
asnS,24015,5546,5620,5591,7821,16431
aspA,12609,50311,33718,25447,25131,45835
aspC,22589,10660,9921,17075,16093,21074
aspS,8928,5782,4050,4776,5848,9087
asr,32,143,163,177,133,78
astA,142,3958,3818,7112,5227,294
astB,151,2796,3089,6705,4814,396
astC,273,9477,9462,14527,10553,542
astD,149,3242,3141,6889,5003,377
astE,161,1967,2425,5794,5028,368
atl,387,605,504,504,465,416
atoA,5,8,3,1,4,2
atoB,29,111,88,102,72,51
atoC,296,1030,1003,1000,904,1195
atoD,2,6,5,4,1,6
atoE,12,32,39,28,29,20
atoS,280,1063,1001,784,613,1131
atpA,66810,12987,12567,18950,28251,86969
atpB,42357,15364,15148,12033,13058,36365
atpC,17530,4152,3575,4975,8318,24597
atpD,38039,7577,7152,10355,16657,51192
atpE,34186,10586,10689,10224,11905,37912
atpF,31019,8490,7820,9422,10314,35813
atpG,25683,6073,5209,7234,9718,32395
atpH,16995,3955,4166,5223,5515,21663
atpI,9142,4422,4712,2969,3273,7136
avtA,10600,4822,4971,5676,6128,6540
azoR,1707,6833,1555,865,978,944
azuC,444,24,40,13,12,9
bacA,1279,906,866,724,348,845
baeR,624,749,681,729,654,531
baeS,216,127,182,309,357,227
bamA,29753,14913,14604,18472,17521,30573
bamB,7394,4155,4284,5523,4765,6345
bamC,8598,6167,4579,5558,5765,9913
bamD,13679,4706,4431,4619,6967,10089
bamE,6475,4985,4145,2844,3716,5870
barA,3232,1371,1671,1700,1576,2285
basR,2807,2285,2434,2364,1357,4143
basS,3641,1647,1839,2311,1697,4086
bax,16237,14869,17619,22610,32778,50211
bcp,14445,7855,9123,8138,7041,10255
bcr,1824,675,836,1006,1093,749
bcsA,1060,1513,2247,2879,1795,849
bcsB,1490,1789,2812,5237,3272,1921
bcsC,1547,2124,2849,5801,4151,2059
bcsE,3079,9917,10686,8336,4226,2728
bcsF,158,346,434,402,254,131
bcsG,1118,1710,2339,2895,1896,1148
bcsQ,391,1295,1564,1816,791,333
bcsZ,447,360,579,1318,910,496
bdcA,108,146,117,62,55,131
bdcR,555,418,378,316,298,611
bdm,40,179,316,257,103,143
bepA,1436,2353,1995,2256,2077,2083
betA,904,1258,969,1365,914,736
betB,761,1710,1156,1392,752,841
betI,627,1067,912,829,533,530
betT,1723,1577,1507,1556,1137,1081
bfd,2004,1014,988,601,991,919
bfr,2871,17840,28676,43687,22544,5897
bglA,2598,3020,2447,2451,1763,2577
bglB,48,91,97,76,21,46
bglF,29,44,55,46,13,30
bglG,35,79,73,71,41,92
bglH,47,153,271,230,76,59
bglJ,34,108,120,114,43,34
bglX,2172,2614,1833,1924,1500,2770
bhsA,475,193,184,179,92,89
bioA,1566,70,64,41,85,1023
bioB,1835,145,67,70,113,1461
bioC,721,40,39,33,45,406
bioD,935,70,55,66,65,669
bioF,1233,65,38,54,52,769
bioH,476,634,422,349,286,365
bipA,58324,6666,6738,8438,11360,23348
birA,1444,1064,967,779,525,883
bisC,1784,2581,1908,1873,1272,1491
blc,364,6300,8245,7582,3196,1111
blr,478,520,613,453,345,260
bluF,5249,1645,1734,1556,1873,2323
bluR,3081,3834,4795,4035,2411,2133
bolA,1852,79162,82270,37154,8555,4585
borD,21313,1194,1380,1023,1556,35283
brnQ,2756,1459,1291,1047,848,918
bsmA,1256,13161,10692,11024,9351,6998
bssR,665,7553,8624,11697,8634,2588
bssS,1255,39960,39554,15732,3766,1291
btuB,7755,2039,2097,2596,2477,7794
btuC,725,437,431,412,358,447
btuD,855,1141,1244,2404,2603,981
btuE,713,1861,2049,3077,2809,1535
btuF,1138,276,284,335,479,683
btuR,1131,1623,1033,839,1007,1608
cadA,63,94,102,92,60,51
cadB,16,27,33,22,7,10
cadC,515,458,703,678,347,269
caiA,233,306,327,377,244,244
caiB,132,175,176,198,108,85
caiC,347,380,470,586,320,242
caiD,22,84,69,157,57,34
caiE,38,87,101,158,88,44
caiF,413,703,943,788,303,426
caiT,22,41,49,49,24,26
can,38606,9444,8695,7736,11842,18043
carA,10231,42,63,70,1487,11157
carB,18606,262,210,298,1934,18645
cas1,189,577,590,611,333,206
cas2,78,191,210,211,125,81
cas3,398,866,1153,1131,487,451
casA,79,149,217,323,109,96
casB,65,204,306,371,158,110
casC,184,450,758,852,334,255
casD,165,418,559,505,242,182
casE,183,611,628,582,256,189
cbeA,1,3,1,4,6,0
cbl,2563,324,374,343,356,1189
cbpA,684,5023,5869,8616,6727,1744
cbpM,159,1264,1527,2208,1446,466
cbrA,55,86,94,60,36,58
cbrB,255,149,132,85,68,127
cbrC,337,548,485,222,101,231
cbtA,6,4,6,3,7,4
cca,2060,2289,2464,3189,2879,2620
ccmA,181,309,240,269,210,352
ccmB,83,68,78,92,120,136
ccmC,164,107,103,206,230,254
ccmD,17,10,17,20,21,33
ccmE,96,52,56,75,94,136
ccmF,229,98,125,215,301,338
ccmG,112,54,55,99,152,184
ccmH,365,145,156,259,352,495
cdaR,161,1209,861,1098,799,634
cdd,325,1989,1592,2127,1587,706
cdgI,51,277,463,478,227,34
cdh,901,394,385,269,189,508
cdsA,4311,2055,1977,1736,1431,2677
cedA,432,143,191,241,298,181
cfa,6336,26118,35372,37381,22440,6673
chaA,7148,2558,2540,2729,3355,3933
chaB,192,1650,2055,2113,1023,275
chaC,521,2570,3226,3586,2238,513
chbA,160,356,438,589,344,225
chbB,472,2012,1860,1290,661,883
chbC,232,795,943,1151,537,455
chbF,208,331,337,415,309,205
chbG,336,625,580,551,467,382
chbR,218,487,694,707,312,307
cheA,415,868,782,520,167,7543
cheB,82,229,192,165,41,1197
cheR,112,359,324,217,59,2126
cheW,259,636,635,495,138,5436
cheY,119,324,257,301,108,1946
cheZ,208,400,380,423,142,3279
chiA,918,947,1206,1185,719,649
chiP,377,742,678,490,376,1558
cho,645,337,346,466,400,446
chpB,121,571,431,375,147,142
chpS,57,327,179,185,54,101
cirA,12143,775,566,414,1548,4953
citC,0,2,2,3,0,1
citD,0,0,0,0,0,0
citE,1,3,0,1,0,1
citF,8,16,18,7,14,9
citG,4,3,4,7,11,0
citT,80,98,126,86,67,60
citX,6,1,3,0,2,10
clcA,1219,3377,4235,4480,2345,1296
clcB,235,68,80,98,114,120
clpA,10313,164445,96131,47817,17018,15963
clpB,7086,34522,25161,24552,20608,15082
clpP,5298,10214,9025,7652,4346,5446
clpS,2629,9996,5575,3408,2256,2183
clpX,14112,23142,23028,25909,17632,14396
clsA,2130,5569,4981,3692,2032,2151
clsB,182,1630,1864,2760,1259,400
clsC,691,1310,1688,2317,1399,654
cmk,7937,2482,2548,2819,3268,3161
cmoA,1773,715,973,1311,1110,707
cmoB,1893,843,1080,1919,1650,1096
cmoM,1184,1403,1162,803,744,1185
cmtA,38,80,126,154,60,54
cmtB,20,58,88,59,17,28
cnu,351,451,554,294,142,149
coaA,5815,2348,2289,1476,1711,4950
coaD,946,732,663,653,576,881
coaE,1290,1246,1309,1081,854,858
cobB,2489,2433,2405,3072,2684,3437
cobC,809,158,219,386,538,410
cobS,188,663,442,620,245,121
cobT,676,1826,1314,1549,693,578
cobU,284,770,488,429,208,243
codA,2950,688,485,522,729,2562
codB,1508,88,80,64,183,1063
cof,445,563,534,414,329,356
comR,512,663,699,637,546,1398
copA,9547,7831,3678,5753,7734,10178
corA,1469,3302,2367,1852,1227,2006
cpdA,3218,4644,4201,3204,3064,5646
cpdB,1745,7873,5391,4126,3417,6558
cpoB,15106,3420,4263,6169,6361,10277
cpsB,0,0,0,0,0,0
cpsG,0,0,0,0,0,0
cptA,1815,1155,1236,1340,1081,1677
cpxA,4491,3027,3231,4287,3858,4359
cpxP,10937,9131,6394,5966,10115,9464
cpxR,4086,5693,5477,5475,4123,4981
cra,3389,4972,4409,4372,4076,6271
crcB,762,437,564,599,400,262
creA,641,870,787,532,250,528
creB,443,673,567,498,289,448
creC,564,596,623,648,431,557
creD,230,387,401,266,156,176
crfC,560,3020,2265,1600,558,1897
crl,6791,10465,8893,6228,4762,7440
crp,16501,30189,29770,22137,17483,34814
crr,24025,45148,64118,58990,30391,25702
csdA,1480,973,804,874,885,1004
csdE,979,761,693,862,732,702
csgA,167,633,799,1040,762,411
csgB,29,131,149,171,93,52
csgC,43,50,72,58,22,119
csgD,76,353,605,777,597,105
csgE,32,52,152,211,201,26
csgF,26,23,70,129,129,18
csgG,79,156,199,256,201,80
csiD,270,31656,25661,14040,1710,1095
csiE,126,1749,2612,2725,2343,568
csiR,403,4328,5971,5292,1168,645
cspA,383234,1871,1725,1809,2476,7554
cspB,3924,728,558,337,159,234
cspC,43371,25116,31556,41275,36922,57491
cspD,1509,133561,117055,67036,45313,35999
cspE,245149,137560,189337,176320,163771,233609
cspF,727,28,33,29,57,41
cspG,3542,547,482,226,123,123
cspH,194,8,6,4,4,3
cspI,200,77,57,42,35,24
csrA,11410,32409,36905,28131,13374,13453
csrD,1691,2430,3264,3139,1926,1479
cstA,2379,61601,44144,48822,26402,33690
cueO,2761,3204,1302,1793,1350,2386
cueR,442,975,865,1917,2357,672
curA,123,1180,916,1500,955,340
cusA,2929,457,510,1436,1503,3571
cusB,5363,1152,1343,3002,2379,5271
cusC,14226,12621,10241,7383,6299,13195
cusF,5528,1872,2034,2800,1976,5553
cusR,1423,1703,1223,878,768,964
cusS,3404,1404,1607,1738,1961,2557
cutA,419,718,515,379,256,404
cutC,1469,1218,1105,1123,1582,1613
cvpA,17633,325,393,368,2655,8334
cvrA,2215,1360,1580,1731,1531,1564
cyaA,15035,11186,11711,10382,7638,7349
cyaY,1416,606,540,481,626,1298
cybB,5057,3030,2940,1983,1618,3045
cycA,5213,15251,13664,15501,14139,13176
cydA,11832,23502,25996,28641,17876,16137
cydB,6798,13557,14506,18168,12036,8921
cydC,1959,774,756,959,989,1922
cydD,1232,623,505,646,649,1267
cydX,452,1773,1683,1752,908,870
cynR,156,164,164,174,177,144
cynS,33,39,42,43,52,36
cynT,19,29,22,33,25,14
cynX,60,54,47,54,74,53
cyoA,38075,18935,15518,12559,15144,49377
cyoB,37435,14806,13080,13585,15290,44870
cyoC,8187,4120,3574,3719,3447,9721
cyoD,4502,3498,2640,2738,2085,6031
cyoE,13698,8666,7101,7576,6669,16912
cysA,6977,236,229,537,2151,7726
cysB,4797,2119,2444,2294,2096,5112
cysC,3432,77,88,268,723,1920
cysD,7651,150,217,516,1951,6541
cysE,2983,2727,2447,3555,3314,3563
cysG,1250,1741,1192,974,684,1211
cysH,8017,260,230,422,1766,7663
cysI,9567,113,128,449,2509,10396
cysJ,7926,91,108,380,2271,9085
cysK,57019,10710,10104,11856,23240,63053
cysM,5398,501,319,508,1009,3104
cysN,12296,527,593,1225,3394,9262
cysP,7382,167,237,535,2589,11006
cysQ,1007,11719,11013,10277,3797,1775
cysS,3599,2148,1507,1578,2237,3709
cysU,2633,61,84,199,666,2500
cysW,4793,129,112,265,1117,3872
cysZ,941,562,591,408,431,797
cytR,908,1453,1524,1988,1570,1525
dacA,9848,1569,1885,2392,3424,6393
dacB,2066,642,795,773,880,1246
dacC,2005,10785,12127,14207,7133,3810
dacD,328,333,357,323,221,185
dadA,1489,9308,5326,5067,3685,2251
dadX,880,5390,3396,4025,2586,1608
dam,2512,1108,1334,1540,1215,1748
damX,13334,9003,8725,11672,9697,13838
dapA,12796,12671,10172,9102,8866,14157
dapB,5524,2753,2311,3079,2458,4954
dapD,23705,12420,9204,8261,7476,19280
dapE,3870,6657,6357,6163,3099,1979
dapF,1464,1379,1136,1125,1134,1818
dauA,1036,321,319,317,444,723
dbpA,2166,999,1774,3272,4306,1270
dcd,3323,4260,2947,3179,2996,3889
dcm,2045,1129,947,929,1261,1801
dcp,4290,3490,2825,3571,3816,4949
dcrB,4487,4190,3154,2597,2684,5239
dctA,1461,13025,9125,10173,8475,9982
dctR,27,35,95,354,453,13
