gene,WT-pre,WT-5,WT-15,WT-60,WT-120,WT-acetate
aaeA,44,57,118,113,76,55
aaeB,75,41,198,197,154,128
aaeR,193,102,498,495,486,461
aaeX,2,4,18,21,20,6
aas,1073,363,1383,1466,1330,1213
aat,404,130,811,796,867,701
abgA,48,79,214,204,85,81
abgB,58,47,170,184,129,96
abgR,227,178,904,1050,1193,1039
abgT,70,45,185,243,187,180
abpA,602,365,2261,3177,2347,1772
abpB,539,487,2363,3279,2383,1709
abrB,71,47,196,156,151,161
accA,8245,1030,4122,5084,7489,7805
accB,9899,283,1127,1921,7242,7488
accC,17495,306,1323,3514,14224,15528
accD,11322,2400,8235,7649,11162,11313
aceA,981,28729,140759,195120,188406,75326
aceB,764,31515,152907,158014,137098,51109
aceE,34628,1219,5698,9015,10218,20479
aceF,16664,573,2652,4464,4931,9171
aceK,175,4197,23195,36761,44195,14511
ackA,7514,1158,6388,14442,10617,9336
acnA,2713,7877,27414,57634,12216,6573
acnB,37839,5768,23678,62403,79446,86426
acpH,212,40,282,474,544,323
acpP,20178,5803,32633,37775,49284,55276
acpS,654,235,780,1014,851,631
acpT,616,207,761,624,602,601
acrA,5757,1826,6573,7945,4694,4493
acrB,11690,2648,9491,14720,9950,9279
acrD,270,86,406,733,499,450
acrE,9,8,16,14,19,17
acrF,190,234,723,556,367,285
acrR,260,61,430,365,755,800
acrZ,142,170,813,517,889,768
acs,3386,17779,61307,101023,33508,28596
actP,453,2997,16217,48044,17190,13757
ada,212,221,816,1153,472,249
add,256,265,1615,2245,685,1076
adeD,201,326,1764,1596,561,548
adeP,5078,77,255,321,3186,3175
adeQ,11,55,214,285,75,43
adhE,8004,2751,18939,35405,31887,14112
adhP,446,745,5088,10751,6502,1626
adiA,59,55,249,243,265,168
adiC,25,19,146,133,61,38
adiY,8,38,237,196,48,39
adk,5815,553,2140,3584,9348,7609
aegA,131,116,406,501,255,250
aer,7451,14408,30329,3823,3682,12635
aes,40,184,738,431,335,443
afuB,3,0,3,5,5,3
afuC,12,8,31,28,17,21
agaA,25,77,234,127,73,121
agaB,5,9,29,33,19,30
agaC,6,7,35,63,20,39
agaD,6,3,48,65,24,26
agaI,28,9,48,67,53,55
agaR,1336,754,2213,1748,1960,1766
agaS,18,14,52,19,18,42
agaV,11,39,133,78,53,120
agaW,10,22,82,52,38,56
agp,668,7627,25485,30699,11965,7501
ahpC,24229,9020,39858,53465,73109,86275
ahpF,4378,1004,3291,5133,5553,5101
ahr,201,914,3733,4061,1492,625
aidB,97,1117,3818,2636,381,116
ais,1844,190,1438,2766,8453,10977
alaA,1668,319,1474,3562,5595,5584
alaC,736,1023,3770,6559,3081,1268
alaE,10,14,76,32,34,92
alaS,39860,3160,10479,15036,25018,22777
aldA,27709,97615,310226,303827,139634,126695
aldB,68,2502,7342,15791,3291,1138
alkA,83,100,403,378,201,133
alkB,31,13,122,239,116,53
allA,38,3328,14068,770,258,724
allB,41,510,14667,19035,635,3926
allC,87,120,526,577,292,415
allD,10,11,66,111,85,127
allE,71,152,1316,1277,671,825
allR,2858,5538,21731,8485,4318,3057
allS,13,290,1978,172,96,116
alpA,18,2,32,24,47,41
alr,1309,128,593,799,1370,1359
alsA,26,20,186,617,508,183
alsB,100,87,780,1778,1512,812
alsC,13,20,114,330,244,78
alsE,27,63,207,351,324,154
alsK,46,90,272,371,344,165
alx,659,46,276,359,354,469
amiA,595,188,1236,1673,1465,1261
amiB,1061,452,1433,2167,1262,931
amiC,1606,2478,7017,1083,1358,2826
amiD,472,820,3307,3223,838,742
amn,1651,664,5252,8377,6156,4795
ampC,108,20,137,183,256,212
ampD,377,390,1242,913,697,510
ampE,334,483,1891,1257,715,560
ampG,947,22,93,395,1055,1303
ampH,622,226,1499,3193,2123,1433
amtB,1824,144,310,201,164,202
amyA,2189,5515,17405,12307,5502,6353
anmK,535,723,1627,1340,1227,992
ansA,1377,127,570,915,1704,1479
ansB,169,382,1634,833,298,603
ansP,687,78,211,207,486,447
apaG,1273,298,1505,1915,1988,1392
apaH,750,122,595,1370,1364,845
aphA,644,542,3116,2896,2938,3947
appA,101,143,677,558,346,228
appB,45,26,99,134,120,65
appC,51,41,109,129,127,95
appX,19,24,108,100,56,35
appY,4,12,238,608,200,61
apt,4706,49,307,862,3375,3014
aqpZ,66,248,1488,1571,412,188
araA,48,190,590,420,228,184
araB,31,66,383,241,143,104
araC,402,1788,9026,5236,1887,1874
araD,13,25,82,155,80,68
araE,202,227,905,609,416,406
araF,72,1341,4814,3704,1678,2126
araG,64,960,2950,2096,737,717
araH,43,763,3111,2007,687,645
araJ,182,155,750,545,427,281
arcA,7511,17846,94411,75151,25715,24539
arcB,2004,1249,4405,4333,3683,4043
arfA,161,321,770,329,288,208
arfB,177,96,326,459,323,227
argA,1432,156,473,370,1357,10836
argB,1826,213,488,422,414,2691
argC,1050,18,69,58,1064,7457
argD,2470,79,203,227,745,4163
argE,2013,814,3693,2065,2253,5784
argF,0,0,0,0,0,0
argG,8236,610,2751,3275,3167,15005
argH,6029,402,1089,1051,836,4955
argI,2179,1269,3249,185,981,9576
argK,19,17,83,37,28,28
argO,132,172,997,431,331,186
argP,1297,460,2216,1410,1886,1711
argR,1658,374,1455,1392,4072,6084
argS,5743,446,1568,2067,4637,4227
argT,3538,12194,73115,95478,44874,35714
ariR,1,7,95,753,146,13
arnA,5324,914,5221,21470,18048,20080
arnB,3953,2401,13870,22980,16757,19725
arnC,2363,587,4373,12706,10899,11921
arnD,2340,321,1561,7428,6606,6968
arnE,446,49,220,905,1064,913
arnF,346,17,130,758,1320,982
arnT,2174,192,863,5773,7428,6884
aroA,7434,219,947,2651,7015,5389
aroB,8614,1250,5229,5357,6916,6925
aroC,4302,582,2169,2972,3576,3706
aroD,506,177,933,1310,1379,1375
aroE,1717,266,1529,2733,1781,1302
aroF,9221,7224,3420,25603,39722,8050
aroG,15312,441,2587,8286,11343,9960
aroH,1084,53,376,1724,3013,2145
aroK,4387,517,2751,2727,5085,5568
aroL,4310,937,1344,3257,7471,6568
aroM,745,294,1506,4373,4074,1148
aroP,10293,2791,6650,12590,13812,18804
arpA,3,4,28,67,129,34
arpB_1,1,1,9,27,32,4
arpB_2,5,1,18,62,88,26
arsB,57,33,108,84,82,112
arsC,55,62,301,202,145,144
arsR,22,16,48,27,56,79
artI,1221,282,1741,5484,3348,3633
artJ,1952,31,223,240,2513,24615
artM,1525,137,592,3045,2247,1556
artP,1266,417,2495,4002,2770,2585
artQ,686,54,444,2027,1411,1001
