[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\griffin\2021-04-05_NC_DM_calibration\2021-04-05_NC_DM_2.5mM_calibration_452021_013_013.lcd
Output Date,4/6/2021
Output Time,1:49:23 AM

[File Information]
Type,Data File
Generated,4/6/2021 1:09:03 AM
Generated by,System Administrator
Modified,4/6/2021 1:49:23 AM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,4/6/2021 1:09:23 AM
Sample Type,1:Standard
Level,4
Sample Name,2021-04-05_NC_glucose_glycerol_acetate_0mM
Sample ID,013
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,13
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\griffin\2021-04-05_NC_DM_calibration\2021-04-05_NC_DM_2.5mM_calibration_452021_013_013.lcd
Method File,C:\Users\cremerlab\Desktop\griffin\2021-04-05_NC_DM_calibration\2021-04-05_2.5mM_mobile.lcm
Batch File,C:\Users\cremerlab\Desktop\griffin\2021-04-05_NC_DM_calibration\2021-04-05_NC_DM_2.5mM_calibration.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[Peak Table(Detector A)]
# of Peaks,0

[Peak Table(Detector B)]
# of Peaks,2
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,11.006,10.600,12.192,1448992,84645,17.118,0.000,   ,,,0.000,9391,15.973,0.942,0.000,0.000,0,0,0.000,0.000
2,14.466,12.642,17.333,4354312,95115,45.780,0.000,   ,,,0.314,2838,52.855,0.612,4.492,0.000,0,0,0.000,0.000

[LC Chromatogram(Detector B-Ch1)]
Interval(msec),500
# of Points,4801
Start Time(min),0.000
End Time(min),40.000
Intensity Units,mV
Intensity Multiplier,0.001
R.Time (min),Intensity
0.00000,4
0.00833,4
0.01667,0
0.02500,0
0.03333,-0
0.04167,-0
0.05000,-1
0.05833,-1
0.06667,-1
0.07500,-1
0.08333,-2
0.09167,-2
0.10000,-2
0.10833,-2
0.11667,-2
0.12500,-2
0.13333,-2
0.14167,-3
0.15000,-3
0.15833,-4
0.16667,-4
0.17500,-5
0.18333,-5
0.19167,-6
0.20000,-6
0.20833,-7
0.21667,-8
0.22500,-9
0.23333,-9
