#
# 2021-04-05_NC_glucose_glycerol_acetate_0.3mM
# ------------------------------
# Acquired: 4/5/2021 11:48:41 PM
# Converted: 04/11/2021 12:04:12 PM
# Vial: 11
# Injection Volume: 20 uL
# Sample ID: 011
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,3,B
0.008329999999999999,3,B
0.016669999999999997,0,B
0.025,0,B
0.03333,1,B
0.04167,1,B
0.05,1,B
0.05832999999999999,1,B
0.06667000000000001,2,B
0.075,2,B
0.08333,2,B
0.09167,3,B
0.1,3,B
0.10833,4,B
0.11667000000000001,5,B
0.125,5,B
0.13333,6,B
0.14167000000000002,6,B
0.15,6,B
0.15833,7,B
0.16667,8,B
0.175,8,B
0.18333,8,B
0.19167,8,B
0.2,8,B
0.20833000000000002,8,B
0.21666999999999997,8,B
0.225,8,B
0.23333,7,B
0.24166999999999997,7,B
0.25,7,B
0.25833,7,B
0.26666999999999996,7,B
0.275,7,B
0.28333,7,B
0.29167,7,B
0.3,7,B
0.30833,6,B
0.31667,6,B
0.325,5,B
0.33333,4,B
0.34167,4,B
0.35,3,B
0.35833000000000004,3,B
0.36667,2,B
0.375,1,B
0.38333,0,B
0.39166999999999996,0,B
0.4,0,B
0.40833,0,B
0.41667,-1,B
0.425,-2,B
0.43333,-3,B
0.44167,-4,B
0.45,-4,B
0.45833,-5,B
0.46667,-5,B
0.475,-6,B
0.48333000000000004,-6,B
0.49167,-6,B
0.5,-7,B
0.5083300000000001,-7,B
0.51667,-7,B
0.525,-8,B
0.53333,-8,B
0.54167,-8,B
0.55,-8,B
0.55833,-8,B
0.56667,-8,B
0.575,-8,B
0.58333,-7,B
0.59167,-7,B
0.6,-7,B
0.60833,-6,B
0.6166699999999999,-6,B
0.625,-6,B
0.6333300000000001,-5,B
0.64167,-5,B
0.65,-5,B
0.65833,-4,B
0.66667,-3,B
0.675,-3,B
0.68333,-2,B
0.69167,-1,B
0.7,0,B
0.70833,1,B
0.71667,1,B
0.725,2,B
0.73333,3,B
0.7416699999999999,4,B
0.75,5,B
0.7583300000000001,6,B
0.76667,7,B
0.775,8,B
0.78333,9,B
0.79167,10,B
0.8,11,B
0.80833,11,B
0.81667,12,B
0.825,13,B
0.8333299999999999,13,B
0.84167,14,B
0.85,15,B
0.8583299999999999,15,B
0.86667,16,B
0.875,16,B
0.88333,17,B
0.8916700000000001,17,B
0.9,17,B
0.90833,17,B
0.9166700000000001,17,B
0.925,17,B
0.9333299999999999,17,B
0.9416700000000001,18,B
0.95,17,B
0.9583299999999999,17,B
0.96667,17,B
0.975,17,B
0.9833299999999999,17,B
0.99167,17,B
1.0,17,B
1.00833,17,B
1.01667,16,B
1.025,16,B
1.0333299999999999,16,B
1.04167,16,B
1.05,15,B
1.05833,15,B
1.06667,14,B
1.075,14,B
1.08333,14,B
1.0916700000000001,14,B
1.1,14,B
1.10833,14,B
1.11667,14,B
1.125,14,B
1.13333,13,B
1.14167,13,B
1.15,13,B
1.1583299999999999,12,B
1.16667,12,B
1.175,12,B
1.18333,12,B
1.19167,12,B
1.2,12,B
1.20833,12,B
1.2166700000000001,12,B
1.225,12,B
1.23333,12,B
1.24167,12,B
1.25,12,B
1.25833,12,B
1.26667,12,B
1.275,12,B
1.2833299999999999,13,B
1.29167,13,B
1.3,13,B
1.30833,13,B
1.31667,13,B
1.325,13,B
1.33333,13,B
1.3416700000000001,13,B
1.35,13,B
1.35833,13,B
1.36667,13,B
1.375,13,B
1.38333,13,B
1.39167,13,B
1.4,13,B
1.4083299999999999,13,B
1.41667,13,B
1.425,13,B
1.43333,12,B
1.44167,12,B
1.45,11,B
1.45833,11,B
1.4666700000000001,11,B
1.475,11,B
1.48333,10,B
1.49167,10,B
1.5,9,B
1.50833,9,B
1.51667,9,B
1.525,9,B
1.5333299999999999,8,B
1.54167,8,B
1.55,8,B
