#
# 2021-04-05_NC_glucose_glycerol_acetate_02mM
# ------------------------------
# Acquired: 4/5/2021 9:47:39 PM
# Converted: 04/11/2021 12:04:13 PM
# Vial: 8
# Injection Volume: 20 uL
# Sample ID: 008
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,-3,B
0.008329999999999999,-3,B
0.016669999999999997,0,B
0.025,-1,B
0.03333,-1,B
0.04167,-1,B
0.05,-1,B
0.05832999999999999,-1,B
0.06667000000000001,-1,B
0.075,-1,B
0.08333,-2,B
0.09167,-2,B
0.1,-2,B
0.10833,-2,B
0.11667000000000001,-2,B
0.125,-2,B
0.13333,-2,B
0.14167000000000002,-2,B
0.15,-3,B
0.15833,-3,B
0.16667,-3,B
0.175,-2,B
0.18333,-3,B
0.19167,-2,B
0.2,-2,B
0.20833000000000002,-2,B
0.21666999999999997,-2,B
0.225,-2,B
0.23333,-2,B
0.24166999999999997,-1,B
0.25,-2,B
0.25833,-2,B
0.26666999999999996,-2,B
0.275,-2,B
0.28333,-2,B
0.29167,-1,B
0.3,-1,B
0.30833,-1,B
0.31667,-1,B
0.325,0,B
0.33333,0,B
0.34167,0,B
0.35,0,B
0.35833000000000004,0,B
0.36667,0,B
0.375,0,B
0.38333,1,B
0.39166999999999996,1,B
0.4,1,B
0.40833,1,B
0.41667,1,B
0.425,1,B
0.43333,1,B
0.44167,1,B
0.45,1,B
0.45833,1,B
0.46667,1,B
0.475,1,B
0.48333000000000004,0,B
0.49167,0,B
0.5,0,B
0.5083300000000001,0,B
0.51667,0,B
0.525,0,B
0.53333,0,B
0.54167,0,B
0.55,0,B
0.55833,-1,B
0.56667,-2,B
0.575,-3,B
0.58333,-3,B
0.59167,-3,B
0.6,-3,B
0.60833,-4,B
0.6166699999999999,-5,B
0.625,-6,B
0.6333300000000001,-6,B
0.64167,-7,B
0.65,-8,B
0.65833,-9,B
0.66667,-10,B
0.675,-10,B
0.68333,-11,B
0.69167,-12,B
0.7,-13,B
0.70833,-13,B
0.71667,-14,B
0.725,-14,B
0.73333,-15,B
0.7416699999999999,-15,B
0.75,-16,B
0.7583300000000001,-17,B
0.76667,-18,B
0.775,-19,B
0.78333,-19,B
0.79167,-20,B
0.8,-21,B
0.80833,-21,B
0.81667,-21,B
0.825,-22,B
0.8333299999999999,-22,B
0.84167,-22,B
0.85,-23,B
0.8583299999999999,-23,B
0.86667,-23,B
0.875,-24,B
0.88333,-24,B
0.8916700000000001,-24,B
0.9,-24,B
0.90833,-24,B
0.9166700000000001,-24,B
0.925,-24,B
0.9333299999999999,-24,B
0.9416700000000001,-24,B
0.95,-24,B
0.9583299999999999,-24,B
0.96667,-25,B
0.975,-25,B
0.9833299999999999,-25,B
0.99167,-25,B
1.0,-25,B
1.00833,-25,B
1.01667,-24,B
1.025,-24,B
1.0333299999999999,-24,B
1.04167,-24,B
1.05,-24,B
1.05833,-24,B
1.06667,-24,B
1.075,-24,B
1.08333,-24,B
1.0916700000000001,-24,B
1.1,-24,B
1.10833,-24,B
1.11667,-24,B
1.125,-24,B
1.13333,-23,B
1.14167,-23,B
1.15,-22,B
1.1583299999999999,-22,B
1.16667,-21,B
1.175,-21,B
1.18333,-20,B
1.19167,-19,B
1.2,-18,B
1.20833,-18,B
1.2166700000000001,-17,B
1.225,-17,B
1.23333,-16,B
1.24167,-15,B
1.25,-14,B
1.25833,-14,B
1.26667,-13,B
1.275,-12,B
1.2833299999999999,-12,B
1.29167,-11,B
1.3,-10,B
1.30833,-9,B
1.31667,-9,B
1.325,-8,B
1.33333,-7,B
1.3416700000000001,-6,B
1.35,-5,B
1.35833,-5,B
1.36667,-4,B
1.375,-3,B
1.38333,-2,B
1.39167,-2,B
1.4,-1,B
1.4083299999999999,0,B
1.41667,1,B
1.425,2,B
1.43333,2,B
1.44167,2,B
1.45,3,B
1.45833,3,B
