#
# 2021-04-05_NC_glucose_glycerol_acetate_0mM
# ------------------------------
# Acquired: 4/6/2021 1:09:23 AM
# Converted: 04/11/2021 12:04:12 PM
# Vial: 13
# Injection Volume: 20 uL
# Sample ID: 013
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,4,B
0.008329999999999999,4,B
0.016669999999999997,0,B
0.025,0,B
0.03333,0,B
0.04167,0,B
0.05,-1,B
0.05832999999999999,-1,B
0.06667000000000001,-1,B
0.075,-1,B
0.08333,-2,B
0.09167,-2,B
0.1,-2,B
0.10833,-2,B
0.11667000000000001,-2,B
0.125,-2,B
0.13333,-2,B
0.14167000000000002,-3,B
0.15,-3,B
0.15833,-4,B
0.16667,-4,B
0.175,-5,B
0.18333,-5,B
0.19167,-6,B
0.2,-6,B
0.20833000000000002,-7,B
0.21666999999999997,-8,B
0.225,-9,B
0.23333,-9,B
0.24166999999999997,-10,B
0.25,-11,B
0.25833,-12,B
0.26666999999999996,-13,B
0.275,-14,B
0.28333,-15,B
0.29167,-16,B
0.3,-17,B
0.30833,-18,B
0.31667,-18,B
0.325,-19,B
0.33333,-20,B
0.34167,-21,B
0.35,-22,B
0.35833000000000004,-23,B
0.36667,-23,B
0.375,-24,B
0.38333,-24,B
0.39166999999999996,-25,B
0.4,-25,B
0.40833,-26,B
0.41667,-26,B
0.425,-26,B
0.43333,-26,B
0.44167,-27,B
0.45,-27,B
0.45833,-27,B
0.46667,-28,B
0.475,-28,B
0.48333000000000004,-28,B
0.49167,-28,B
0.5,-28,B
0.5083300000000001,-28,B
0.51667,-28,B
0.525,-29,B
0.53333,-29,B
0.54167,-29,B
0.55,-29,B
0.55833,-28,B
0.56667,-28,B
0.575,-27,B
0.58333,-27,B
0.59167,-27,B
0.6,-26,B
0.60833,-26,B
0.6166699999999999,-26,B
0.625,-25,B
0.6333300000000001,-25,B
0.64167,-25,B
0.65,-25,B
0.65833,-25,B
0.66667,-24,B
0.675,-24,B
0.68333,-24,B
0.69167,-23,B
0.7,-23,B
0.70833,-23,B
0.71667,-22,B
0.725,-22,B
0.73333,-21,B
0.7416699999999999,-20,B
0.75,-20,B
0.7583300000000001,-19,B
0.76667,-19,B
0.775,-19,B
0.78333,-19,B
0.79167,-18,B
0.8,-18,B
0.80833,-18,B
0.81667,-18,B
0.825,-17,B
0.8333299999999999,-17,B
0.84167,-17,B
0.85,-17,B
0.8583299999999999,-17,B
0.86667,-16,B
0.875,-16,B
0.88333,-15,B
0.8916700000000001,-15,B
0.9,-14,B
0.90833,-14,B
0.9166700000000001,-14,B
0.925,-14,B
0.9333299999999999,-14,B
0.9416700000000001,-13,B
0.95,-13,B
0.9583299999999999,-13,B
0.96667,-13,B
0.975,-13,B
0.9833299999999999,-13,B
0.99167,-13,B
1.0,-13,B
1.00833,-13,B
1.01667,-13,B
1.025,-13,B
1.0333299999999999,-13,B
1.04167,-13,B
1.05,-12,B
1.05833,-12,B
1.06667,-12,B
1.075,-12,B
1.08333,-12,B
1.0916700000000001,-12,B
1.1,-12,B
1.10833,-11,B
1.11667,-11,B
1.125,-11,B
1.13333,-10,B
1.14167,-10,B
1.15,-10,B
1.1583299999999999,-10,B
1.16667,-10,B
1.175,-10,B
1.18333,-10,B
1.19167,-9,B
1.2,-9,B
1.20833,-9,B
1.2166700000000001,-8,B
1.225,-8,B
1.23333,-7,B
1.24167,-7,B
1.25,-6,B
1.25833,-6,B
1.26667,-5,B
1.275,-5,B
1.2833299999999999,-4,B
1.29167,-4,B
1.3,-3,B
1.30833,-2,B
1.31667,-1,B
1.325,0,B
1.33333,0,B
1.3416700000000001,1,B
1.35,2,B
1.35833,3,B
1.36667,4,B
1.375,4,B
1.38333,5,B
1.39167,6,B
1.4,7,B
1.4083299999999999,8,B
1.41667,9,B
1.425,10,B
1.43333,11,B
1.44167,12,B
1.45,13,B
1.45833,14,B
1.4666700000000001,15,B
1.475,15,B
1.48333,16,B
1.49167,17,B
1.5,18,B
1.50833,19,B
1.51667,20,B
1.525,20,B
1.5333299999999999,21,B
1.54167,22,B
1.55,23,B
1.55833,23,B
1.56667,24,B
1.575,25,B
1.58333,25,B
1.5916700000000001,26,B
1.6,26,B
1.60833,27,B
1.61667,27,B
1.625,28,B
1.63333,28,B
1.64167,29,B
1.65,29,B
1.6583299999999999,29,B
1.66667,29,B
1.675,29,B
1.68333,30,B
1.69167,30,B
1.7,31,B
1.70833,31,B
1.7166700000000001,31,B
1.725,30,B
1.73333,30,B
1.74167,30,B
1.75,29,B
1.75833,29,B
1.76667,29,B
1.775,29,B
1.7833299999999999,29,B
1.79167,29,B
1.8,30,B
1.80833,29,B
1.81667,29,B
1.825,29,B
1.83333,29,B
1.8416700000000001,28,B
1.85,28,B
1.85833,28,B
1.86667,27,B
1.875,26,B
1.88333,26,B
1.89167,26,B
1.9,25,B
1.9083299999999999,25,B
1.91667,24,B
1.925,23,B
1.93333,23,B
1.94167,22,B
1.95,21,B
1.95833,20,B
1.9666700000000001,20,B
1.975,19,B
1.98333,19,B
1.99167,19,B
2.0,19,B
2.00833,18,B
2.01667,17,B
2.025,17,B
2.03333,16,B
2.04167,16,B
2.05,15,B
2.0583299999999998,15,B
2.0666700000000002,14,B
2.075,13,B
2.08333,12,B
2.09167,12,B
2.1,10,B
2.10833,9,B
2.11667,8,B
2.125,8,B
2.13333,7,B
2.14167,6,B
2.15,5,B
2.15833,4,B
2.16667,4,B
2.175,3,B
2.1833299999999998,3,B
2.1916700000000002,2,B
2.2,2,B
2.20833,1,B
2.21667,0,B
2.225,0,B
2.23333,0,B
2.24167,0,B
2.25,-1,B
2.25833,-1,B
2.26667,-1,B
2.275,-2,B
2.28333,-2,B
2.29167,-2,B
2.3,-3,B
2.3083299999999998,-3,B
2.3166700000000002,-3,B
2.325,-3,B
2.33333,-3,B
2.34167,-4,B
2.35,-4,B
2.35833,-4,B
2.36667,-4,B
2.375,-5,B
2.38333,-4,B
2.39167,-4,B
2.4,-4,B
2.40833,-4,B
2.41667,-4,B
2.425,-4,B
2.4333299999999998,-4,B
2.4416700000000002,-4,B
2.45,-4,B
2.45833,-3,B
2.46667,-3,B
2.475,-3,B
2.48333,-3,B
2.49167,-3,B
2.5,-3,B
2.50833,-3,B
2.51667,-2,B
2.525,-2,B
2.53333,-1,B
2.54167,-1,B
2.55,0,B
2.5583299999999998,0,B
2.5666700000000002,1,B
2.575,1,B
2.58333,2,B
2.59167,2,B
2.6,3,B
2.60833,3,B
2.61667,3,B
2.625,4,B
2.63333,4,B
2.64167,5,B
2.65,6,B
2.65833,6,B
2.66667,7,B
2.675,8,B
2.6833299999999998,8,B
2.6916700000000002,9,B
2.7,9,B
2.70833,10,B
2.71667,11,B
2.725,11,B
2.73333,12,B
2.74167,12,B
2.75,13,B
2.75833,14,B
2.76667,14,B
2.775,15,B
2.78333,15,B
2.79167,15,B
2.8,15,B
2.8083299999999998,15,B
2.8166700000000002,15,B
2.825,16,B
2.83333,16,B
2.84167,16,B
2.85,17,B
2.85833,17,B
2.86667,17,B
2.875,16,B
2.88333,16,B
2.89167,16,B
2.9,16,B
2.90833,15,B
2.91667,15,B
2.925,14,B
2.9333299999999998,14,B
2.9416700000000002,13,B
2.95,13,B
2.95833,12,B
2.96667,12,B
2.975,12,B
2.98333,11,B
2.99167,11,B
3.0,10,B
3.00833,9,B
3.01667,9,B
3.025,9,B
3.03333,8,B
3.04167,8,B
3.05,7,B
3.0583299999999998,7,B
3.0666700000000002,6,B
3.075,6,B
3.08333,5,B
3.09167,5,B
3.1,4,B
3.10833,4,B
3.11667,3,B
3.125,2,B
3.13333,2,B
3.14167,2,B
3.15,2,B
3.15833,2,B
3.16667,2,B
3.175,2,B
3.1833299999999998,1,B
3.1916700000000002,1,B
3.2,1,B
3.20833,1,B
3.21667,1,B
3.225,1,B
3.23333,2,B
3.24167,2,B
3.25,2,B
3.25833,3,B
3.26667,3,B
3.275,3,B
3.2833300000000003,3,B
3.29167,3,B
3.3,4,B
3.30833,4,B
3.31667,4,B
3.325,4,B
3.33333,4,B
