slope,intercept,sigma,buffer_base,compound,area_param
0.00730274,0.00175287,0.00470482,DM,acetate,rel_area_phosphate
0.00727026,0.0021305,0.00418244,DM,acetate,rel_area_phosphate
0.00718185,0.00343173,0.00433447,DM,acetate,rel_area_phosphate
0.00742419,-0.00388714,0.00501063,DM,acetate,rel_area_phosphate
0.00749076,-0.00400779,0.00440204,DM,acetate,rel_area_phosphate
0.00724656,0.000237627,0.00391896,DM,acetate,rel_area_phosphate
0.00738138,-0.0015629,0.0037305,DM,acetate,rel_area_phosphate
0.00747611,-0.00229053,0.00459597,DM,acetate,rel_area_phosphate
0.00746697,-0.00278142,0.00486431,DM,acetate,rel_area_phosphate
0.00748473,-0.00365441,0.00473219,DM,acetate,rel_area_phosphate
0.00725535,-0.00080221,0.0056139,DM,acetate,rel_area_phosphate
0.00736167,-0.00169475,0.00557397,DM,acetate,rel_area_phosphate
0.00737984,-0.000188954,0.0052077,DM,acetate,rel_area_phosphate
0.00735329,-0.000854423,0.00315977,DM,acetate,rel_area_phosphate
0.0073539,-0.000571905,0.00380555,DM,acetate,rel_area_phosphate
0.00734563,-0.00132428,0.00319977,DM,acetate,rel_area_phosphate
0.0074047,-0.00151025,0.00397015,DM,acetate,rel_area_phosphate
0.00735951,-0.00130262,0.00368073,DM,acetate,rel_area_phosphate
0.00734331,-0.0011277,0.00353882,DM,acetate,rel_area_phosphate
0.00746108,-0.00329672,0.00406229,DM,acetate,rel_area_phosphate
0.00750101,-0.00131903,0.00329569,DM,acetate,rel_area_phosphate
0.00726899,-0.00138583,0.00537768,DM,acetate,rel_area_phosphate
0.00726255,-0.00130738,0.00403854,DM,acetate,rel_area_phosphate
0.00734683,-0.000449493,0.00513474,DM,acetate,rel_area_phosphate
0.00741673,-0.00073223,0.0049575,DM,acetate,rel_area_phosphate
0.00728501,-0.00143053,0.00333845,DM,acetate,rel_area_phosphate
0.00729019,-0.00122822,0.00632836,DM,acetate,rel_area_phosphate
0.0073089,0.00105108,0.00478919,DM,acetate,rel_area_phosphate
0.00732652,0.00100051,0.0050726,DM,acetate,rel_area_phosphate
0.00721246,0.000888366,0.00546658,DM,acetate,rel_area_phosphate
0.0073711,-0.00193466,0.00445951,DM,acetate,rel_area_phosphate
0.00750718,-0.0026299,0.00360974,DM,acetate,rel_area_phosphate
0.0074371,-0.00351089,0.00328606,DM,acetate,rel_area_phosphate
0.00729988,0.00276339,0.00619213,DM,acetate,rel_area_phosphate
0.00759559,-0.00520722,0.0051037,DM,acetate,rel_area_phosphate
0.00749915,-0.005115,0.00447216,DM,acetate,rel_area_phosphate
0.00739356,0.00280563,0.00857417,DM,acetate,rel_area_phosphate
0.00753904,0.00113932,0.00733794,DM,acetate,rel_area_phosphate
0.00765789,-0.00205386,0.00577275,DM,acetate,rel_area_phosphate
0.00734786,9.03268e-05,0.00493095,DM,acetate,rel_area_phosphate
0.00734786,9.03268e-05,0.00493095,DM,acetate,rel_area_phosphate
0.00737616,-0.0022915,0.0034297,DM,acetate,rel_area_phosphate
0.00729706,0.000452958,0.004413,DM,acetate,rel_area_phosphate
0.00734701,-0.000807653,0.00504927,DM,acetate,rel_area_phosphate
0.00745077,-0.00282088,0.00333401,DM,acetate,rel_area_phosphate
0.00742277,-0.00146896,0.00297382,DM,acetate,rel_area_phosphate
0.00742277,-0.00146896,0.00297382,DM,acetate,rel_area_phosphate
0.00750773,-0.00275753,0.00302129,DM,acetate,rel_area_phosphate
0.00748033,-0.00198965,0.00318829,DM,acetate,rel_area_phosphate
0.00715818,0.000601452,0.0062368,DM,acetate,rel_area_phosphate
0.00724394,-0.00149949,0.00488127,DM,acetate,rel_area_phosphate
0.00734625,-0.00139879,0.00378634,DM,acetate,rel_area_phosphate
0.00739235,-0.000444848,0.00379259,DM,acetate,rel_area_phosphate
0.00741337,-0.00560644,0.0055882,DM,acetate,rel_area_phosphate
0.00752281,-0.00727168,0.00576763,DM,acetate,rel_area_phosphate
0.00751469,-0.00524087,0.00672562,DM,acetate,rel_area_phosphate
0.00739793,0.000988046,0.00566343,DM,acetate,rel_area_phosphate
0.00740231,-0.0018948,0.00616032,DM,acetate,rel_area_phosphate
0.00741533,-0.00274297,0.0031657,DM,acetate,rel_area_phosphate
0.0072855,0.000386374,0.00490061,DM,acetate,rel_area_phosphate
0.00740024,-0.00202234,0.00311735,DM,acetate,rel_area_phosphate
0.00741898,-0.00254806,0.00281716,DM,acetate,rel_area_phosphate
0.0074391,-0.00162061,0.0034432,DM,acetate,rel_area_phosphate
0.00724438,-0.000296085,0.00502047,DM,acetate,rel_area_phosphate
0.00747407,-0.000563052,0.00341286,DM,acetate,rel_area_phosphate
0.00747613,-0.000814186,0.00334341,DM,acetate,rel_area_phosphate
0.00731836,0.000420946,0.00420391,DM,acetate,rel_area_phosphate
