peak_idx,retention_time,arrival_time,departure_time,area,height,detector,carbon_conc_mM,buffer_base,compound
1,10.885,10.433,11.733,228955,13741,B,0.1,DM,NaCl
2,13.95,12.533,14.217,1751957,46233,B,0.1,DM,phosphate
3,14.332,14.217,15.0,164453,9723,B,0.1,DM,
4,15.668,15.308,16.183,10531,480,B,0.1,DM,glucose
5,19.101,18.817,19.517,1147,53,B,0.1,DM,
6,22.057,21.642,22.633000000000006,3477,130,B,0.1,DM,glycerol
1,11.004,10.608,12.342,1382701,80554,B,0.1,NC,NaCl
2,14.357,12.625,15.325,3558395,81327,B,0.1,NC,
3,15.652,15.325,16.392,15399,521,B,0.1,NC,glucose
4,22.057,21.692,22.575,2370,92,B,0.1,NC,glycerol
1,11.004,10.608,12.125,1371353,80328,B,0.5,NC,NaCl
2,14.354,12.625,15.225,3553425,81134,B,0.5,NC,
3,15.662,15.225,16.492,55804,2113,B,0.5,NC,glucose
4,22.05,21.558000000000003,22.7,13494,508,B,0.5,NC,glycerol
5,25.009,24.583,25.792,5430,190,B,0.5,NC,acetate
1,10.884,10.433,12.092,226564,13397,B,0.5,DM,NaCl
2,13.899,12.5,14.175,1564748,42636,B,0.5,DM,phosphate
3,14.323,14.175,15.017,147138,8059,B,0.5,DM,
4,15.671,15.208,16.4,46331,1964,B,0.5,DM,glucose
5,22.054,21.542,22.675,13760,522,B,0.5,DM,glycerol
6,25.033,24.558000000000003,25.675,5906,199,B,0.5,DM,acetate
1,10.888,10.425,11.925,234748,13961,B,0.0,DM,NaCl
2,13.944,12.558,14.208,1715435,45586,B,0.0,DM,phosphate
3,14.333,14.208,15.05,163595,9392,B,0.0,DM,
4,19.08,18.825,19.608,1054,48,B,0.0,DM,
1,11.0,10.6,12.492,1387138,80630,B,3.0,NC,NaCl
2,14.35,12.625,15.142,3560425,81209,B,3.0,NC,
3,15.66,15.142,17.567,301384,11747,B,3.0,NC,glucose
4,22.052,21.425,22.842,82886,3035,B,3.0,NC,glycerol
5,25.018,24.375,25.758000000000006,35877,1221,B,3.0,NC,acetate
1,10.880999999999998,10.425,11.7,224917,13392,B,2.0,DM,NaCl
2,13.897,12.55,14.175,1574817,42793,B,2.0,DM,phosphate
3,14.32,14.175,15.067,156091,8237,B,2.0,DM,
4,15.67,15.067,17.117,199632,7876,B,2.0,DM,glucose
5,22.057,21.467,22.817,56679,2072,B,2.0,DM,glycerol
6,25.031,24.475,25.875,23049,787,B,2.0,DM,acetate
1,11.01,10.592,12.2,1578035,92022,B,2.0,NC,NaCl
2,14.539,12.633,15.217,4938522,105786,B,2.0,NC,
3,15.661,15.217,17.375,307515,11922,B,2.0,NC,glucose
4,22.053,21.458,22.883000000000006,76771,2822,B,2.0,NC,glycerol
5,25.019,24.425,25.775,30600,1048,B,2.0,NC,acetate
1,10.882,10.408,11.975,251029,14831,B,3.0,DM,NaCl
2,13.959,12.55,14.225,1809165,47308,B,3.0,DM,phosphate
3,14.326,14.225,15.025,173890,10267,B,3.0,DM,
4,15.667,15.025,16.883,363813,14607,B,3.0,DM,glucose
5,22.056,21.442,23.0,98314,3575,B,3.0,DM,glycerol
6,25.028,24.408,25.817,38568,1310,B,3.0,DM,acetate
1,10.89,10.442,12.017,241680,14383,B,0.3,DM,NaCl
2,13.973,12.583,14.233,1820179,47578,B,0.3,DM,phosphate
3,14.337,14.233,15.033,170732,10359,B,0.3,DM,
4,15.675,15.233,16.292,34835,1489,B,0.3,DM,glucose
5,22.066,21.592,22.717,10141,375,B,0.3,DM,glycerol
