#
# 2021-04-05_DM_glucose_glycerol_acetate_0.1mM
# ------------------------------
# Acquired: 4/6/2021 9:54:00 AM
# Converted: 04/11/2021 12:04:13 PM
# Vial: 30
# Injection Volume: 20 uL
# Sample ID: 003
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,0,B
0.008329999999999999,0,B
0.016669999999999997,0,B
0.025,1,B
0.03333,0,B
0.04167,0,B
0.05,1,B
0.05832999999999999,1,B
0.06667000000000001,1,B
0.075,1,B
0.08333,1,B
0.09167,2,B
0.1,3,B
0.10833,3,B
0.11667000000000001,3,B
0.125,4,B
0.13333,4,B
0.14167000000000002,4,B
0.15,5,B
0.15833,5,B
0.16667,5,B
0.175,5,B
0.18333,6,B
0.19167,6,B
0.2,7,B
0.20833000000000002,7,B
0.21666999999999997,7,B
0.225,8,B
0.23333,8,B
0.24166999999999997,8,B
0.25,9,B
0.25833,9,B
0.26666999999999996,9,B
0.275,9,B
0.28333,9,B
0.29167,10,B
0.3,10,B
0.30833,10,B
0.31667,9,B
0.325,9,B
0.33333,9,B
0.34167,10,B
0.35,10,B
0.35833000000000004,10,B
0.36667,10,B
0.375,11,B
0.38333,11,B
0.39166999999999996,10,B
0.4,10,B
0.40833,10,B
0.41667,10,B
0.425,11,B
0.43333,11,B
0.44167,11,B
0.45,11,B
0.45833,11,B
0.46667,11,B
0.475,11,B
0.48333000000000004,12,B
0.49167,12,B
0.5,12,B
0.5083300000000001,12,B
0.51667,12,B
0.525,12,B
0.53333,13,B
0.54167,13,B
0.55,13,B
0.55833,13,B
0.56667,13,B
0.575,13,B
0.58333,13,B
0.59167,13,B
0.6,13,B
0.60833,13,B
0.6166699999999999,13,B
0.625,13,B
0.6333300000000001,14,B
0.64167,14,B
0.65,14,B
0.65833,13,B
0.66667,13,B
0.675,13,B
0.68333,13,B
0.69167,13,B
0.7,13,B
0.70833,13,B
0.71667,13,B
0.725,13,B
0.73333,13,B
0.7416699999999999,13,B
0.75,13,B
0.7583300000000001,13,B
0.76667,13,B
0.775,13,B
0.78333,13,B
0.79167,13,B
0.8,13,B
0.80833,13,B
0.81667,13,B
0.825,13,B
0.8333299999999999,12,B
0.84167,12,B
0.85,12,B
0.8583299999999999,12,B
0.86667,12,B
0.875,11,B
0.88333,11,B
0.8916700000000001,11,B
0.9,10,B
0.90833,10,B
0.9166700000000001,9,B
0.925,9,B
0.9333299999999999,8,B
0.9416700000000001,8,B
0.95,7,B
0.9583299999999999,7,B
0.96667,7,B
0.975,7,B
0.9833299999999999,7,B
0.99167,6,B
1.0,6,B
1.00833,6,B
1.01667,5,B
1.025,5,B
1.0333299999999999,5,B
1.04167,4,B
1.05,4,B
1.05833,4,B
1.06667,3,B
1.075,3,B
1.08333,3,B
1.0916700000000001,2,B
1.1,2,B
1.10833,2,B
1.11667,2,B
1.125,2,B
1.13333,2,B
1.14167,2,B
1.15,2,B
1.1583299999999999,2,B
1.16667,2,B
1.175,2,B
1.18333,1,B
1.19167,1,B
1.2,1,B
1.20833,1,B
1.2166700000000001,1,B
1.225,1,B
1.23333,1,B
1.24167,1,B
1.25,1,B
1.25833,1,B
1.26667,1,B
1.275,1,B
1.2833299999999999,1,B
1.29167,1,B
1.3,1,B
1.30833,2,B
1.31667,2,B
1.325,2,B
1.33333,2,B
1.3416700000000001,2,B
1.35,3,B
1.35833,3,B
1.36667,3,B
1.375,4,B
1.38333,4,B
1.39167,4,B
1.4,5,B
1.4083299999999999,5,B
1.41667,5,B
1.425,5,B
1.43333,6,B
1.44167,6,B
1.45,6,B
1.45833,6,B
1.4666700000000001,6,B
1.475,6,B
1.48333,6,B
1.49167,6,B
1.5,7,B
1.50833,7,B
1.51667,8,B
1.525,8,B
1.5333299999999999,8,B
1.54167,8,B
1.55,8,B
1.55833,8,B
1.56667,8,B
1.575,9,B
1.58333,9,B
1.5916700000000001,9,B
1.6,9,B
1.60833,9,B
1.61667,9,B
1.625,9,B
1.63333,9,B
1.64167,9,B
1.65,9,B
1.6583299999999999,9,B
1.66667,9,B
1.675,9,B
1.68333,9,B
1.69167,9,B
1.7,9,B
1.70833,9,B
1.7166700000000001,9,B
1.725,9,B
1.73333,9,B
1.74167,9,B
1.75,10,B
1.75833,10,B
1.76667,10,B
1.775,9,B
1.7833299999999999,9,B
1.79167,9,B
1.8,9,B
1.80833,9,B
1.81667,9,B
1.825,8,B
1.83333,8,B
1.8416700000000001,8,B
1.85,8,B
1.85833,8,B
1.86667,7,B
1.875,7,B
1.88333,7,B
1.89167,7,B
1.9,7,B
1.9083299999999999,7,B
1.91667,7,B
1.925,7,B
1.93333,6,B
1.94167,7,B
1.95,7,B
1.95833,7,B
1.9666700000000001,6,B
1.975,7,B
1.98333,7,B
1.99167,7,B
2.0,7,B
2.00833,7,B
2.01667,7,B
2.025,7,B
2.03333,7,B
2.04167,7,B
2.05,7,B
2.0583299999999998,7,B
2.0666700000000002,7,B
2.075,7,B
2.08333,7,B
2.09167,8,B
2.1,8,B
2.10833,7,B
2.11667,7,B
2.125,8,B
2.13333,8,B
2.14167,9,B
2.15,9,B
2.15833,10,B
2.16667,10,B
2.175,10,B
2.1833299999999998,11,B
2.1916700000000002,11,B
2.2,12,B
2.20833,12,B
2.21667,13,B
2.225,13,B
2.23333,13,B
2.24167,13,B
2.25,14,B
2.25833,14,B
2.26667,15,B
2.275,15,B
2.28333,15,B
2.29167,15,B
2.3,16,B
2.3083299999999998,16,B
2.3166700000000002,16,B
2.325,16,B
2.33333,16,B
2.34167,16,B
2.35,16,B
2.35833,16,B
2.36667,16,B
2.375,16,B
2.38333,16,B
2.39167,15,B
2.4,15,B
2.40833,15,B
2.41667,15,B
2.425,15,B
2.4333299999999998,15,B
2.4416700000000002,14,B
2.45,14,B
2.45833,14,B
2.46667,13,B
2.475,13,B
2.48333,12,B
2.49167,12,B
2.5,11,B
2.50833,11,B
2.51667,11,B
2.525,10,B
2.53333,10,B
2.54167,9,B
2.55,9,B
2.5583299999999998,8,B
2.5666700000000002,8,B
2.575,7,B
2.58333,7,B
2.59167,6,B
2.6,6,B
2.60833,5,B
2.61667,5,B
2.625,5,B
2.63333,4,B
2.64167,4,B
2.65,4,B
2.65833,3,B
2.66667,3,B
2.675,3,B
2.6833299999999998,2,B
2.6916700000000002,2,B
2.7,1,B
2.70833,1,B
2.71667,1,B
2.725,1,B
2.73333,1,B
2.74167,1,B
2.75,1,B
2.75833,0,B
2.76667,0,B
2.775,0,B
2.78333,0,B
2.79167,0,B
2.8,-1,B
2.8083299999999998,-1,B
2.8166700000000002,-1,B
2.825,-1,B
2.83333,0,B
2.84167,0,B
2.85,0,B
2.85833,0,B
2.86667,0,B
2.875,0,B
2.88333,0,B
2.89167,0,B
2.9,1,B
2.90833,2,B
2.91667,2,B
2.925,2,B
2.9333299999999998,3,B
2.9416700000000002,3,B
2.95,3,B
2.95833,4,B
2.96667,4,B
2.975,5,B
2.98333,5,B
2.99167,6,B
3.0,6,B
3.00833,7,B
3.01667,7,B
3.025,7,B
3.03333,8,B
3.04167,8,B
3.05,8,B
3.0583299999999998,9,B
3.0666700000000002,10,B
3.075,10,B
3.08333,11,B
3.09167,11,B
3.1,11,B
3.10833,11,B
3.11667,12,B
3.125,12,B
3.13333,12,B
3.14167,13,B
3.15,13,B
3.15833,14,B
3.16667,14,B
3.175,14,B
3.1833299999999998,15,B
3.1916700000000002,15,B
3.2,15,B
3.20833,15,B
3.21667,15,B
3.225,15,B
3.23333,15,B
3.24167,15,B
3.25,15,B
3.25833,15,B
3.26667,15,B
3.275,14,B
3.2833300000000003,14,B
3.29167,14,B
3.3,14,B
3.30833,14,B
3.31667,14,B
3.325,14,B
3.33333,13,B
3.3416699999999997,13,B
3.35,13,B
3.3583300000000005,12,B
3.3666699999999996,12,B
3.375,12,B
3.3833300000000004,12,B
3.3916699999999995,12,B
3.4,12,B
3.4083300000000003,12,B
3.41667,11,B
3.425,11,B
3.43333,11,B
3.44167,11,B
3.45,10,B
3.45833,10,B
3.4666699999999997,10,B
3.475,10,B
3.4833300000000005,9,B
3.4916699999999996,9,B
3.5,9,B
3.5083300000000004,8,B
3.5166699999999995,8,B
3.525,8,B
3.5333300000000003,8,B
3.54167,8,B
3.55,8,B
3.55833,8,B
3.56667,8,B
3.575,8,B
3.58333,8,B
3.5916699999999997,8,B
3.6,8,B
3.6083300000000005,8,B
3.6166699999999996,9,B
3.625,9,B
3.6333300000000004,9,B
3.6416699999999995,10,B
3.65,10,B
3.6583300000000003,10,B
3.66667,10,B
3.675,10,B
3.68333,11,B
3.69167,11,B
3.7,11,B
3.70833,11,B
3.7166699999999997,10,B
3.725,10,B
