#
# 2021-04-05_DM_glucose_glycerol_acetate_10mM
# ------------------------------
# Acquired: 4/6/2021 5:11:39 AM
# Converted: 04/11/2021 12:04:11 PM
# Vial: 23
# Injection Volume: 20 uL
# Sample ID: 005
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,4,B
0.008329999999999999,4,B
0.016669999999999997,0,B
0.025,1,B
0.03333,1,B
0.04167,1,B
0.05,2,B
0.05832999999999999,2,B
0.06667000000000001,2,B
0.075,2,B
0.08333,2,B
0.09167,2,B
0.1,2,B
0.10833,2,B
0.11667000000000001,2,B
0.125,2,B
0.13333,2,B
0.14167000000000002,2,B
0.15,2,B
0.15833,2,B
0.16667,2,B
0.175,2,B
0.18333,2,B
0.19167,1,B
0.2,1,B
0.20833000000000002,1,B
0.21666999999999997,0,B
0.225,-1,B
0.23333,-1,B
0.24166999999999997,-1,B
0.25,-1,B
0.25833,-2,B
0.26666999999999996,-2,B
0.275,-2,B
0.28333,-3,B
0.29167,-3,B
0.3,-4,B
0.30833,-5,B
0.31667,-6,B
0.325,-7,B
0.33333,-8,B
0.34167,-9,B
0.35,-9,B
0.35833000000000004,-10,B
0.36667,-10,B
0.375,-11,B
0.38333,-11,B
0.39166999999999996,-11,B
0.4,-11,B
0.40833,-12,B
0.41667,-12,B
0.425,-12,B
0.43333,-12,B
0.44167,-12,B
0.45,-12,B
0.45833,-13,B
0.46667,-13,B
0.475,-13,B
0.48333000000000004,-13,B
0.49167,-13,B
0.5,-13,B
0.5083300000000001,-13,B
0.51667,-13,B
0.525,-13,B
0.53333,-13,B
0.54167,-13,B
0.55,-14,B
0.55833,-14,B
0.56667,-14,B
0.575,-14,B
0.58333,-14,B
0.59167,-14,B
0.6,-14,B
0.60833,-14,B
0.6166699999999999,-14,B
0.625,-15,B
0.6333300000000001,-14,B
0.64167,-14,B
0.65,-14,B
0.65833,-14,B
0.66667,-14,B
0.675,-14,B
0.68333,-14,B
0.69167,-13,B
0.7,-13,B
0.70833,-13,B
0.71667,-13,B
0.725,-13,B
0.73333,-13,B
0.7416699999999999,-13,B
0.75,-13,B
0.7583300000000001,-13,B
0.76667,-13,B
0.775,-13,B
0.78333,-13,B
0.79167,-13,B
0.8,-12,B
0.80833,-12,B
0.81667,-11,B
0.825,-11,B
0.8333299999999999,-11,B
0.84167,-11,B
0.85,-11,B
0.8583299999999999,-11,B
0.86667,-11,B
0.875,-11,B
0.88333,-11,B
0.8916700000000001,-11,B
0.9,-11,B
0.90833,-12,B
0.9166700000000001,-12,B
0.925,-11,B
0.9333299999999999,-11,B
0.9416700000000001,-11,B
0.95,-11,B
0.9583299999999999,-11,B
0.96667,-11,B
0.975,-11,B
0.9833299999999999,-11,B
0.99167,-11,B
1.0,-11,B
1.00833,-11,B
1.01667,-12,B
1.025,-12,B
1.0333299999999999,-12,B
1.04167,-12,B
1.05,-13,B
1.05833,-12,B
1.06667,-12,B
1.075,-12,B
1.08333,-12,B
1.0916700000000001,-13,B
1.1,-13,B
1.10833,-14,B
1.11667,-15,B
1.125,-16,B
1.13333,-16,B
1.14167,-16,B
1.15,-16,B
1.1583299999999999,-17,B
1.16667,-17,B
1.175,-18,B
1.18333,-18,B
1.19167,-18,B
1.2,-19,B
1.20833,-19,B
1.2166700000000001,-20,B
1.225,-21,B
1.23333,-22,B
1.24167,-22,B
1.25,-22,B
1.25833,-23,B
1.26667,-23,B
1.275,-24,B
1.2833299999999999,-24,B
1.29167,-25,B
1.3,-25,B
1.30833,-25,B
1.31667,-26,B
1.325,-26,B
1.33333,-27,B
1.3416700000000001,-27,B
1.35,-27,B
1.35833,-28,B
1.36667,-29,B
1.375,-29,B
1.38333,-30,B
1.39167,-30,B
1.4,-30,B
1.4083299999999999,-31,B
1.41667,-31,B
1.425,-32,B
1.43333,-32,B
1.44167,-32,B
1.45,-32,B
1.45833,-32,B
1.4666700000000001,-32,B
1.475,-32,B
1.48333,-32,B
1.49167,-33,B
1.5,-33,B
1.50833,-32,B
1.51667,-32,B
1.525,-32,B
1.5333299999999999,-32,B
1.54167,-32,B
1.55,-31,B
1.55833,-31,B
1.56667,-30,B
1.575,-30,B
1.58333,-29,B
1.5916700000000001,-28,B
1.6,-27,B
1.60833,-26,B
1.61667,-25,B
1.625,-24,B
1.63333,-24,B
1.64167,-23,B
1.65,-22,B
1.6583299999999999,-22,B
1.66667,-21,B
1.675,-20,B
1.68333,-19,B
1.69167,-18,B
1.7,-17,B
1.70833,-16,B
1.7166700000000001,-15,B
1.725,-14,B
1.73333,-13,B
1.74167,-12,B
1.75,-11,B
1.75833,-10,B
1.76667,-8,B
1.775,-7,B
1.7833299999999999,-6,B
1.79167,-5,B
1.8,-4,B
1.80833,-3,B
1.81667,-2,B
1.825,-1,B
1.83333,-1,B
1.8416700000000001,0,B
1.85,1,B
1.85833,2,B
1.86667,3,B
1.875,4,B
1.88333,4,B
1.89167,5,B
1.9,6,B
1.9083299999999999,6,B
1.91667,6,B
1.925,7,B
1.93333,7,B
1.94167,8,B
1.95,8,B
1.95833,8,B
1.9666700000000001,8,B
1.975,8,B
1.98333,8,B
1.99167,8,B
2.0,8,B
2.00833,8,B
2.01667,8,B
2.025,8,B
2.03333,8,B
2.04167,8,B
2.05,7,B
2.0583299999999998,7,B
2.0666700000000002,6,B
2.075,6,B
2.08333,6,B
2.09167,5,B
2.1,5,B
2.10833,5,B
2.11667,4,B
2.125,4,B
2.13333,4,B
2.14167,3,B
2.15,3,B
2.15833,2,B
2.16667,2,B
2.175,1,B
2.1833299999999998,1,B
2.1916700000000002,1,B
2.2,0,B
2.20833,-1,B
2.21667,-1,B
2.225,-1,B
2.23333,-2,B
2.24167,-2,B
2.25,-2,B
2.25833,-3,B
2.26667,-3,B
2.275,-3,B
2.28333,-3,B
2.29167,-3,B
2.3,-3,B
2.3083299999999998,-4,B
2.3166700000000002,-4,B
2.325,-4,B
2.33333,-4,B
2.34167,-4,B
2.35,-4,B
2.35833,-4,B
2.36667,-4,B
2.375,-4,B
2.38333,-3,B
2.39167,-3,B
2.4,-3,B
2.40833,-3,B
2.41667,-3,B
2.425,-3,B
2.4333299999999998,-3,B
2.4416700000000002,-3,B
2.45,-3,B
2.45833,-3,B
2.46667,-2,B
2.475,-2,B
2.48333,-2,B
2.49167,-2,B
2.5,-2,B
2.50833,-2,B
2.51667,-2,B
2.525,-2,B
2.53333,-2,B
2.54167,-2,B
2.55,-3,B
2.5583299999999998,-3,B
2.5666700000000002,-3,B
2.575,-3,B
2.58333,-3,B
2.59167,-4,B
2.6,-4,B
2.60833,-4,B
2.61667,-5,B
2.625,-6,B
2.63333,-7,B
2.64167,-7,B
2.65,-7,B
2.65833,-8,B
2.66667,-8,B
2.675,-9,B
2.6833299999999998,-9,B
2.6916700000000002,-10,B
2.7,-10,B
2.70833,-11,B
2.71667,-11,B
2.725,-11,B
2.73333,-12,B
2.74167,-13,B
2.75,-14,B
2.75833,-15,B
2.76667,-15,B
2.775,-16,B
2.78333,-16,B
2.79167,-16,B
2.8,-17,B
2.8083299999999998,-18,B
2.8166700000000002,-19,B
2.825,-19,B
2.83333,-20,B
2.84167,-20,B
2.85,-20,B
2.85833,-20,B
2.86667,-20,B
2.875,-20,B
2.88333,-21,B
2.89167,-21,B
2.9,-22,B
2.90833,-22,B
2.91667,-23,B
2.925,-23,B
2.9333299999999998,-23,B
2.9416700000000002,-23,B
2.95,-23,B
2.95833,-23,B
2.96667,-23,B
2.975,-22,B
2.98333,-22,B
2.99167,-22,B
3.0,-21,B
3.00833,-21,B
3.01667,-21,B
3.025,-21,B
3.03333,-21,B
3.04167,-21,B
3.05,-21,B
3.0583299999999998,-21,B
3.0666700000000002,-21,B
3.075,-20,B
3.08333,-20,B
3.09167,-20,B
3.1,-20,B
3.10833,-20,B
3.11667,-19,B
3.125,-19,B
3.13333,-19,B
3.14167,-19,B
3.15,-19,B
3.15833,-19,B
3.16667,-19,B
3.175,-19,B
3.1833299999999998,-19,B
3.1916700000000002,-18,B
3.2,-18,B
3.20833,-17,B
3.21667,-17,B
