#
# 2021-04-05_NC_glucose_glycerol_acetate_0.1mM
# ------------------------------
# Acquired: 4/6/2021 12:29:01 AM
# Converted: 04/11/2021 12:04:12 PM
# Vial: 12
# Injection Volume: 20 uL
# Sample ID: 012
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,3,B
0.008329999999999999,3,B
0.016669999999999997,1,B
0.025,0,B
0.03333,0,B
0.04167,0,B
0.05,0,B
0.05832999999999999,0,B
0.06667000000000001,0,B
0.075,0,B
0.08333,0,B
0.09167,1,B
0.1,1,B
0.10833,2,B
0.11667000000000001,2,B
0.125,2,B
0.13333,2,B
0.14167000000000002,3,B
0.15,3,B
0.15833,3,B
0.16667,3,B
0.175,4,B
0.18333,4,B
0.19167,4,B
0.2,4,B
0.20833000000000002,5,B
0.21666999999999997,5,B
0.225,5,B
0.23333,6,B
0.24166999999999997,6,B
0.25,6,B
0.25833,6,B
0.26666999999999996,7,B
0.275,7,B
0.28333,6,B
0.29167,6,B
0.3,6,B
0.30833,7,B
0.31667,6,B
0.325,6,B
0.33333,7,B
0.34167,7,B
0.35,7,B
0.35833000000000004,7,B
0.36667,7,B
0.375,7,B
0.38333,6,B
0.39166999999999996,6,B
0.4,6,B
0.40833,5,B
0.41667,5,B
0.425,5,B
0.43333,4,B
0.44167,4,B
0.45,4,B
0.45833,4,B
0.46667,3,B
0.475,3,B
0.48333000000000004,3,B
0.49167,3,B
0.5,3,B
0.5083300000000001,2,B
0.51667,2,B
0.525,1,B
0.53333,0,B
0.54167,0,B
0.55,-1,B
0.55833,-1,B
0.56667,-1,B
0.575,-2,B
0.58333,-2,B
0.59167,-2,B
0.6,-3,B
0.60833,-3,B
0.6166699999999999,-3,B
0.625,-4,B
0.6333300000000001,-4,B
0.64167,-4,B
0.65,-4,B
0.65833,-5,B
0.66667,-5,B
0.675,-5,B
0.68333,-5,B
0.69167,-4,B
0.7,-4,B
0.70833,-4,B
0.71667,-4,B
0.725,-3,B
0.73333,-3,B
0.7416699999999999,-3,B
0.75,-3,B
0.7583300000000001,-3,B
0.76667,-2,B
0.775,-2,B
0.78333,-2,B
0.79167,-2,B
0.8,-2,B
0.80833,-1,B
0.81667,-1,B
0.825,-2,B
0.8333299999999999,-1,B
0.84167,-1,B
0.85,-1,B
0.8583299999999999,-1,B
0.86667,-1,B
0.875,-1,B
0.88333,-1,B
0.8916700000000001,0,B
0.9,0,B
0.90833,0,B
0.9166700000000001,1,B
0.925,1,B
0.9333299999999999,1,B
0.9416700000000001,1,B
0.95,1,B
0.9583299999999999,1,B
0.96667,1,B
0.975,0,B
0.9833299999999999,0,B
0.99167,0,B
1.0,0,B
1.00833,0,B
1.01667,-1,B
1.025,-1,B
1.0333299999999999,-1,B
1.04167,-1,B
1.05,-1,B
1.05833,-1,B
1.06667,-1,B
1.075,-2,B
1.08333,-2,B
1.0916700000000001,-2,B
1.1,-3,B
1.10833,-3,B
1.11667,-3,B
1.125,-3,B
1.13333,-3,B
1.14167,-3,B
1.15,-3,B
1.1583299999999999,-3,B
1.16667,-3,B
1.175,-2,B
1.18333,-3,B
1.19167,-3,B
1.2,-3,B
1.20833,-3,B
1.2166700000000001,-3,B
1.225,-3,B
1.23333,-3,B
1.24167,-3,B
1.25,-3,B
1.25833,-3,B
1.26667,-3,B
1.275,-2,B
1.2833299999999999,-2,B
1.29167,-2,B
1.3,-2,B
1.30833,-2,B
1.31667,-2,B
1.325,-2,B
1.33333,-2,B
1.3416700000000001,-2,B
1.35,-2,B
1.35833,-2,B
1.36667,-1,B
1.375,-1,B
1.38333,-1,B
1.39167,-1,B
1.4,-1,B
1.4083299999999999,-1,B
1.41667,-1,B
1.425,-1,B
1.43333,-1,B
1.44167,-1,B
1.45,-1,B
1.45833,-1,B
1.4666700000000001,-1,B
1.475,-1,B
1.48333,-1,B
1.49167,-1,B
