#
# 2021-04-05_NC_glucose_glycerol_acetate_01mM
# ------------------------------
# Acquired: 4/5/2021 10:27:59 PM
# Converted: 04/11/2021 12:04:13 PM
# Vial: 9
# Injection Volume: 20 uL
# Sample ID: 009
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,0,B
0.008329999999999999,0,B
0.016669999999999997,1,B
0.025,1,B
0.03333,2,B
0.04167,3,B
0.05,3,B
0.05832999999999999,3,B
0.06667000000000001,4,B
0.075,5,B
0.08333,5,B
0.09167,6,B
0.1,7,B
0.10833,8,B
0.11667000000000001,9,B
0.125,10,B
0.13333,10,B
0.14167000000000002,11,B
0.15,11,B
0.15833,12,B
0.16667,12,B
0.175,12,B
0.18333,13,B
0.19167,14,B
0.2,14,B
0.20833000000000002,14,B
0.21666999999999997,15,B
0.225,15,B
0.23333,16,B
0.24166999999999997,16,B
0.25,17,B
0.25833,17,B
0.26666999999999996,17,B
0.275,18,B
0.28333,18,B
0.29167,19,B
0.3,19,B
0.30833,19,B
0.31667,19,B
0.325,19,B
0.33333,19,B
0.34167,19,B
0.35,19,B
0.35833000000000004,19,B
0.36667,20,B
0.375,20,B
0.38333,20,B
0.39166999999999996,20,B
0.4,21,B
0.40833,21,B
0.41667,21,B
0.425,21,B
0.43333,21,B
0.44167,22,B
0.45,22,B
0.45833,23,B
0.46667,23,B
0.475,23,B
0.48333000000000004,23,B
0.49167,24,B
0.5,24,B
0.5083300000000001,24,B
0.51667,24,B
0.525,24,B
0.53333,25,B
0.54167,25,B
0.55,25,B
0.55833,25,B
0.56667,25,B
0.575,26,B
0.58333,26,B
0.59167,27,B
0.6,27,B
0.60833,27,B
0.6166699999999999,26,B
0.625,26,B
0.6333300000000001,26,B
0.64167,26,B
0.65,26,B
0.65833,25,B
0.66667,25,B
0.675,25,B
0.68333,25,B
0.69167,24,B
0.7,24,B
0.70833,24,B
0.71667,24,B
0.725,23,B
0.73333,23,B
0.7416699999999999,22,B
0.75,22,B
0.7583300000000001,22,B
0.76667,22,B
0.775,21,B
0.78333,21,B
0.79167,21,B
0.8,20,B
0.80833,20,B
0.81667,20,B
0.825,21,B
0.8333299999999999,21,B
0.84167,21,B
0.85,21,B
0.8583299999999999,20,B
0.86667,20,B
0.875,20,B
0.88333,21,B
0.8916700000000001,21,B
0.9,21,B
0.90833,21,B
0.9166700000000001,21,B
0.925,20,B
0.9333299999999999,20,B
0.9416700000000001,20,B
0.95,20,B
0.9583299999999999,20,B
0.96667,21,B
0.975,21,B
0.9833299999999999,21,B
0.99167,21,B
1.0,21,B
1.00833,21,B
1.01667,22,B
1.025,22,B
1.0333299999999999,22,B
1.04167,22,B
1.05,22,B
1.05833,22,B
1.06667,22,B
1.075,22,B
1.08333,23,B
1.0916700000000001,23,B
1.1,23,B
1.10833,23,B
1.11667,23,B
1.125,22,B
1.13333,22,B
1.14167,22,B
1.15,22,B
1.1583299999999999,22,B
1.16667,22,B
1.175,22,B
1.18333,23,B
1.19167,23,B
1.2,23,B
1.20833,22,B
1.2166700000000001,22,B
1.225,22,B
1.23333,22,B
1.24167,22,B
1.25,22,B
1.25833,23,B
1.26667,23,B
1.275,23,B
1.2833299999999999,23,B
1.29167,22,B
1.3,22,B
1.30833,22,B
1.31667,22,B
1.325,21,B
1.33333,20,B
1.3416700000000001,20,B
1.35,20,B
1.35833,20,B
1.36667,20,B
1.375,19,B
1.38333,19,B
1.39167,18,B
1.4,18,B
1.4083299999999999,17,B
1.41667,17,B
1.425,17,B
1.43333,16,B
1.44167,16,B
1.45,16,B
1.45833,16,B
1.4666700000000001,15,B
1.475,15,B
1.48333,15,B
1.49167,14,B
1.5,13,B
1.50833,13,B
1.51667,12,B
1.525,12,B
1.5333299999999999,11,B
1.54167,11,B
1.55,10,B
1.55833,10,B
1.56667,9,B
1.575,9,B
1.58333,9,B
1.5916700000000001,9,B
1.6,8,B
1.60833,8,B
1.61667,8,B
1.625,7,B
1.63333,7,B
1.64167,6,B
1.65,6,B
1.6583299999999999,5,B
1.66667,5,B
1.675,5,B
1.68333,4,B
1.69167,4,B
1.7,3,B
1.70833,3,B
1.7166700000000001,2,B
1.725,2,B
1.73333,1,B
1.74167,1,B
1.75,1,B
1.75833,0,B
1.76667,0,B
1.775,0,B
1.7833299999999999,0,B
1.79167,0,B
1.8,-1,B
1.80833,-1,B
1.81667,-2,B
1.825,-2,B
1.83333,-2,B
1.8416700000000001,-2,B
1.85,-3,B
1.85833,-3,B
1.86667,-3,B
1.875,-3,B
1.88333,-3,B
1.89167,-2,B
1.9,-2,B
1.9083299999999999,-1,B
1.91667,-1,B
1.925,-1,B
1.93333,-1,B
1.94167,-1,B
1.95,-1,B
1.95833,-1,B
1.9666700000000001,-1,B
1.975,0,B
1.98333,0,B
1.99167,0,B
2.0,0,B
2.00833,0,B
2.01667,0,B
2.025,1,B
2.03333,1,B
2.04167,1,B
2.05,1,B
2.0583299999999998,2,B
2.0666700000000002,2,B
2.075,2,B
2.08333,3,B
2.09167,3,B
2.1,3,B
2.10833,4,B
2.11667,4,B
2.125,4,B
2.13333,5,B
2.14167,5,B
2.15,6,B
2.15833,6,B
2.16667,6,B
2.175,7,B
2.1833299999999998,6,B
2.1916700000000002,6,B
2.2,6,B
2.20833,6,B
2.21667,6,B
2.225,7,B
2.23333,7,B
2.24167,7,B
2.25,7,B
2.25833,7,B
2.26667,7,B
2.275,6,B
2.28333,6,B
2.29167,6,B
2.3,6,B
2.3083299999999998,6,B
2.3166700000000002,6,B
2.325,6,B
2.33333,6,B
2.34167,6,B
2.35,6,B
2.35833,5,B
2.36667,6,B
2.375,6,B
2.38333,6,B
2.39167,6,B
2.4,5,B
2.40833,6,B
2.41667,6,B
2.425,6,B
2.4333299999999998,6,B
2.4416700000000002,6,B
2.45,6,B
2.45833,6,B
2.46667,7,B
2.475,7,B
2.48333,7,B
2.49167,8,B
2.5,8,B
2.50833,8,B
2.51667,8,B
2.525,8,B
2.53333,9,B
2.54167,9,B
2.55,9,B
2.5583299999999998,10,B
2.5666700000000002,10,B
2.575,11,B
2.58333,11,B
2.59167,11,B
2.6,12,B
2.60833,12,B
2.61667,13,B
2.625,14,B
2.63333,14,B
2.64167,14,B
2.65,15,B
2.65833,16,B
2.66667,16,B
2.675,17,B
2.6833299999999998,17,B
2.6916700000000002,18,B
2.7,18,B
2.70833,19,B
2.71667,19,B
2.725,19,B
2.73333,19,B
2.74167,20,B
2.75,20,B
2.75833,20,B
2.76667,20,B
2.775,21,B
2.78333,21,B
2.79167,22,B
2.8,22,B
2.8083299999999998,23,B
2.8166700000000002,23,B
2.825,24,B
2.83333,24,B
2.84167,24,B
2.85,24,B
2.85833,24,B
2.86667,25,B
2.875,25,B
2.88333,25,B
2.89167,25,B
2.9,25,B
2.90833,25,B
2.91667,26,B
2.925,26,B
2.9333299999999998,26,B
2.9416700000000002,26,B
2.95,26,B
2.95833,26,B
2.96667,26,B
2.975,26,B
2.98333,26,B
2.99167,26,B
3.0,26,B
3.00833,26,B
3.01667,26,B
3.025,25,B
3.03333,25,B
3.04167,25,B
3.05,25,B
3.0583299999999998,26,B
3.0666700000000002,25,B
3.075,25,B
3.08333,25,B
3.09167,25,B
3.1,25,B
3.10833,25,B
3.11667,26,B
3.125,26,B
3.13333,26,B
3.14167,26,B
3.15,26,B
3.15833,25,B
3.16667,25,B
3.175,25,B
3.1833299999999998,25,B
3.1916700000000002,25,B
3.2,25,B
3.20833,25,B
3.21667,25,B
3.225,25,B
3.23333,25,B
3.24167,25,B
3.25,24,B
3.25833,24,B
3.26667,24,B
3.275,24,B
3.2833300000000003,24,B
3.29167,23,B
3.3,23,B
3.30833,22,B
3.31667,22,B
3.325,22,B
3.33333,21,B
3.3416699999999997,21,B
3.35,20,B
3.3583300000000005,19,B
3.3666699999999996,19,B
3.375,18,B
3.3833300000000004,18,B
3.3916699999999995,17,B
3.4,17,B
3.4083300000000003,16,B
3.41667,15,B
3.425,15,B
3.43333,14,B
3.44167,13,B
3.45,13,B
3.45833,12,B
3.4666699999999997,12,B
3.475,12,B
3.4833300000000005,11,B
3.4916699999999996,10,B
3.5,9,B
3.5083300000000004,8,B
3.5166699999999995,7,B
3.525,6,B
3.5333300000000003,6,B
3.54167,5,B
3.55,5,B
3.55833,4,B
3.56667,4,B
3.575,3,B
3.58333,3,B
3.5916699999999997,3,B
3.6,3,B
3.6083300000000005,3,B
3.6166699999999996,3,B
3.625,2,B
3.6333300000000004,2,B
3.6416699999999995,2,B
3.65,2,B
3.6583300000000003,2,B
3.66667,2,B
3.675,2,B
3.68333,2,B
3.69167,2,B
3.7,2,B
3.70833,2,B
3.7166699999999997,2,B
