clock_time,replicate,od_600nm,sampled,strain,medium_base,carbon_source,date
13:04,1,0.03,FALSE,REL606,DM,glucose,2021-04-04
13:04,2,0.042,FALSE,REL606,DM,glucose,2021-04-04
13:05,3,0.041,FALSE,REL606,DM,glucose,2021-04-04
13:21,1,0.039,FALSE,REL606,DM,glucose,2021-04-04
13:22,2,0.047,FALSE,REL606,DM,glucose,2021-04-04
13:22,3,0.052,FALSE,REL606,DM,glucose,2021-04-04
13:39,1,0.044,FALSE,REL606,DM,glucose,2021-04-04
13:39,2,0.057,FALSE,REL606,DM,glucose,2021-04-04
13:39,3,0.061,FALSE,REL606,DM,glucose,2021-04-04
13:55,1,0.057,FALSE,REL606,DM,glucose,2021-04-04
13:56,2,0.074,FALSE,REL606,DM,glucose,2021-04-04
13:56,3,0.079,FALSE,REL606,DM,glucose,2021-04-04
14:08,1,0.063,FALSE,REL606,DM,glucose,2021-04-04
14:08,2,0.083,FALSE,REL606,DM,glucose,2021-04-04
14:09,3,0.092,FALSE,REL606,DM,glucose,2021-04-04
14:18,1,0.074,FALSE,REL606,DM,glucose,2021-04-04
14:19,2,0.098,TRUE,REL606,DM,glucose,2021-04-04
14:20,3,0.103,TRUE,REL606,DM,glucose,2021-04-04
14:31,1,0.094,FALSE,REL606,DM,glucose,2021-04-04
14:32,2,0.109,FALSE,REL606,DM,glucose,2021-04-04
14:32,3,0.123,FALSE,REL606,DM,glucose,2021-04-04
14:42,1,0.102,TRUE,REL606,DM,glucose,2021-04-04
14:42,2,0.125,FALSE,REL606,DM,glucose,2021-04-04
14:43,3,0.15,TRUE,REL606,DM,glucose,2021-04-04
14:52,1,0.113,FALSE,REL606,DM,glucose,2021-04-04
14:53,2,0.153,TRUE,REL606,DM,glucose,2021-04-04
14:54,3,0.161,FALSE,REL606,DM,glucose,2021-04-04
15:03,1,0.127,FALSE,REL606,DM,glucose,2021-04-04
15:03,2,0.175,FALSE,REL606,DM,glucose,2021-04-04
15:04,3,0.183,FALSE,REL606,DM,glucose,2021-04-04
15:12,1,0.153,TRUE,REL606,DM,glucose,2021-04-04
15:13,2,0.197,TRUE,REL606,DM,glucose,2021-04-04
15:14,3,0.208,TRUE,REL606,DM,glucose,2021-04-04
15:21,1,0.16,FALSE,REL606,DM,glucose,2021-04-04
15:22,2,0.215,FALSE,REL606,DM,glucose,2021-04-04
15:22,3,0.238,FALSE,REL606,DM,glucose,2021-04-04
15:31,1,0.185,FALSE,REL606,DM,glucose,2021-04-04
15:32,2,0.24,FALSE,REL606,DM,glucose,2021-04-04
15:32,3,0.268,TRUE,REL606,DM,glucose,2021-04-04
15:40,1,0.205,TRUE,REL606,DM,glucose,2021-04-04
15:40,2,0.276,TRUE,REL606,DM,glucose,2021-04-04
15:41,3,0.295,TRUE,REL606,DM,glucose,2021-04-04
15:47,1,0.229,FALSE,REL606,DM,glucose,2021-04-04
15:48,2,0.303,TRUE,REL606,DM,glucose,2021-04-04
15:49,3,0.337,FALSE,REL606,DM,glucose,2021-04-04
15:55,1,0.251,TRUE,REL606,DM,glucose,2021-04-04
15:56,2,0.336,FALSE,REL606,DM,glucose,2021-04-04
15:56,3,0.366,TRUE,REL606,DM,glucose,2021-04-04
16:00,1,0.268,FALSE,REL606,DM,glucose,2021-04-04
16:01,2,0.356,TRUE,REL606,DM,glucose,2021-04-04
16:02,3,0.395,TRUE,REL606,DM,glucose,2021-04-04
16:05,1,0.284,FALSE,REL606,DM,glucose,2021-04-04
16:06,2,0.377,FALSE,REL606,DM,glucose,2021-04-04
16:10,1,0.297,TRUE,REL606,DM,glucose,2021-04-04
16:10,2,0.404,TRUE,REL606,DM,glucose,2021-04-04
16:16,1,0.331,FALSE,REL606,DM,glucose,2021-04-04
16:21,1,0.352,TRUE,REL606,DM,glucose,2021-04-04
16:27,1,0.38,FALSE,REL606,DM,glucose,2021-04-04
16:29,1,0.391,TRUE,REL606,DM,glucose,2021-04-04
