#
# 2021-04-04_REL606_replicate_001_timepoint_007
# ------------------------------
# Acquired: 4/6/2021 9:18:20 PM
# Converted: 04/07/2021 12:04:09 PM
# Vial: 7
# Injection Volume: 20 uL
# Sample ID: 007
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,8,B
0.008329999999999999,8,B
0.016669999999999997,1,B
0.025,0,B
0.03333,0,B
0.04167,1,B
0.05,1,B
0.05832999999999999,1,B
0.06667000000000001,1,B
0.075,1,B
0.08333,1,B
0.09167,1,B
0.1,1,B
0.10833,2,B
0.11667000000000001,2,B
0.125,2,B
0.13333,2,B
0.14167000000000002,2,B
0.15,2,B
0.15833,2,B
0.16667,3,B
0.175,3,B
0.18333,3,B
0.19167,2,B
0.2,2,B
0.20833000000000002,2,B
0.21666999999999997,2,B
0.225,2,B
0.23333,2,B
0.24166999999999997,2,B
0.25,1,B
0.25833,1,B
0.26666999999999996,1,B
0.275,0,B
0.28333,0,B
0.29167,0,B
0.3,0,B
0.30833,0,B
0.31667,0,B
0.325,-1,B
0.33333,-1,B
0.34167,-1,B
0.35,-1,B
0.35833000000000004,-2,B
0.36667,-2,B
0.375,-2,B
0.38333,-3,B
0.39166999999999996,-3,B
0.4,-3,B
0.40833,-3,B
0.41667,-4,B
0.425,-4,B
0.43333,-4,B
0.44167,-5,B
0.45,-5,B
0.45833,-5,B
0.46667,-6,B
0.475,-6,B
0.48333000000000004,-6,B
0.49167,-6,B
0.5,-6,B
0.5083300000000001,-6,B
0.51667,-6,B
0.525,-7,B
0.53333,-7,B
0.54167,-7,B
0.55,-6,B
0.55833,-6,B
0.56667,-6,B
0.575,-6,B
0.58333,-7,B
0.59167,-6,B
0.6,-6,B
0.60833,-6,B
0.6166699999999999,-6,B
0.625,-6,B
0.6333300000000001,-6,B
0.64167,-7,B
0.65,-7,B
0.65833,-7,B
0.66667,-7,B
0.675,-7,B
0.68333,-7,B
0.69167,-7,B
0.7,-6,B
0.70833,-6,B
0.71667,-6,B
0.725,-7,B
0.73333,-7,B
0.7416699999999999,-6,B
0.75,-6,B
0.7583300000000001,-6,B
0.76667,-7,B
0.775,-7,B
0.78333,-7,B
0.79167,-7,B
0.8,-6,B
0.80833,-6,B
0.81667,-6,B
0.825,-6,B
0.8333299999999999,-6,B
0.84167,-6,B
0.85,-6,B
0.8583299999999999,-6,B
0.86667,-6,B
0.875,-5,B
0.88333,-5,B
0.8916700000000001,-5,B
0.9,-4,B
0.90833,-4,B
0.9166700000000001,-4,B
0.925,-4,B
0.9333299999999999,-4,B
0.9416700000000001,-3,B
0.95,-3,B
0.9583299999999999,-3,B
0.96667,-3,B
0.975,-3,B
0.9833299999999999,-3,B
0.99167,-3,B
1.0,-3,B
1.00833,-3,B
1.01667,-3,B
1.025,-3,B
1.0333299999999999,-2,B
1.04167,-2,B
1.05,-2,B
1.05833,-2,B
1.06667,-3,B
1.075,-3,B
1.08333,-3,B
1.0916700000000001,-3,B
1.1,-3,B
1.10833,-3,B
1.11667,-3,B
1.125,-3,B
1.13333,-3,B
1.14167,-3,B
1.15,-2,B
1.1583299999999999,-2,B
1.16667,-2,B
1.175,-2,B
1.18333,-2,B
1.19167,-2,B
1.2,-1,B
1.20833,-1,B
1.2166700000000001,-2,B
1.225,-2,B
1.23333,-2,B
1.24167,-2,B
1.25,-2,B
1.25833,-2,B
1.26667,-2,B
1.275,-2,B
1.2833299999999999,-2,B
1.29167,-2,B
1.3,-2,B
1.30833,-2,B
1.31667,-2,B
1.325,-2,B
1.33333,-2,B
1.3416700000000001,-3,B
1.35,-3,B
1.35833,-3,B
1.36667,-3,B
1.375,-3,B
1.38333,-3,B
1.39167,-3,B
1.4,-3,B
1.4083299999999999,-3,B
1.41667,-3,B
1.425,-3,B
1.43333,-3,B
1.44167,-3,B
1.45,-3,B
1.45833,-3,B
1.4666700000000001,-3,B
1.475,-3,B
1.48333,-4,B
1.49167,-4,B
1.5,-4,B
1.50833,-4,B
1.51667,-4,B
1.525,-4,B
1.5333299999999999,-4,B
1.54167,-4,B
1.55,-4,B
1.55833,-4,B
1.56667,-4,B
1.575,-4,B
1.58333,-5,B
1.5916700000000001,-5,B
1.6,-6,B
1.60833,-6,B
1.61667,-6,B
1.625,-6,B
1.63333,-6,B
1.64167,-6,B
1.65,-6,B
1.6583299999999999,-6,B
1.66667,-6,B
1.675,-6,B
1.68333,-6,B
1.69167,-5,B
1.7,-5,B
1.70833,-5,B
1.7166700000000001,-5,B
1.725,-5,B
1.73333,-5,B
1.74167,-6,B
1.75,-6,B
1.75833,-6,B
1.76667,-6,B
1.775,-6,B
1.7833299999999999,-6,B
1.79167,-6,B
1.8,-6,B
1.80833,-6,B
1.81667,-6,B
1.825,-6,B
1.83333,-6,B
1.8416700000000001,-6,B
1.85,-6,B
1.85833,-6,B
1.86667,-6,B
1.875,-6,B
1.88333,-6,B
1.89167,-6,B
1.9,-5,B
1.9083299999999999,-5,B
1.91667,-5,B
1.925,-5,B
1.93333,-4,B
1.94167,-4,B
1.95,-4,B
1.95833,-4,B
1.9666700000000001,-4,B
1.975,-3,B
1.98333,-3,B
1.99167,-3,B
2.0,-3,B
2.00833,-3,B
2.01667,-3,B
2.025,-4,B
2.03333,-4,B
2.04167,-4,B
2.05,-4,B
2.0583299999999998,-4,B
2.0666700000000002,-3,B
2.075,-3,B
2.08333,-3,B
2.09167,-3,B
2.1,-3,B
2.10833,-3,B
2.11667,-3,B
2.125,-3,B
2.13333,-3,B
2.14167,-3,B
2.15,-4,B
2.15833,-4,B
2.16667,-4,B
2.175,-3,B
2.1833299999999998,-3,B
2.1916700000000002,-3,B
2.2,-3,B
2.20833,-3,B
2.21667,-3,B
2.225,-3,B
2.23333,-3,B
2.24167,-3,B
2.25,-3,B
2.25833,-3,B
2.26667,-3,B
2.275,-3,B
2.28333,-3,B
2.29167,-2,B
2.3,-2,B
2.3083299999999998,-1,B
2.3166700000000002,-1,B
2.325,-1,B
2.33333,-1,B
2.34167,-1,B
2.35,-1,B
2.35833,-1,B
2.36667,-1,B
2.375,-1,B
2.38333,-1,B
2.39167,-1,B
2.4,-1,B
2.40833,-1,B
2.41667,-1,B
2.425,-1,B
2.4333299999999998,0,B
2.4416700000000002,0,B
2.45,0,B
2.45833,0,B
2.46667,-1,B
2.475,-1,B
2.48333,-1,B
2.49167,-1,B
2.5,-1,B
2.50833,-1,B
2.51667,-1,B
2.525,-2,B
2.53333,-2,B
2.54167,-2,B
2.55,-3,B
2.5583299999999998,-3,B
2.5666700000000002,-3,B
2.575,-3,B
2.58333,-4,B
2.59167,-4,B
2.6,-4,B
2.60833,-5,B
2.61667,-5,B
2.625,-6,B
2.63333,-6,B
2.64167,-6,B
2.65,-7,B
2.65833,-7,B
2.66667,-7,B
2.675,-8,B
2.6833299999999998,-8,B
2.6916700000000002,-8,B
2.7,-8,B
2.70833,-9,B
2.71667,-9,B
2.725,-9,B
2.73333,-10,B
2.74167,-10,B
2.75,-10,B
2.75833,-10,B
2.76667,-10,B
2.775,-11,B
2.78333,-11,B
2.79167,-11,B
2.8,-11,B
2.8083299999999998,-11,B
2.8166700000000002,-11,B
2.825,-11,B
2.83333,-12,B
2.84167,-12,B
2.85,-12,B
2.85833,-11,B
2.86667,-11,B
2.875,-11,B
2.88333,-12,B
2.89167,-12,B
2.9,-12,B
2.90833,-12,B
2.91667,-12,B
2.925,-12,B
2.9333299999999998,-11,B
2.9416700000000002,-11,B
2.95,-11,B
2.95833,-11,B
2.96667,-11,B
2.975,-11,B
2.98333,-10,B
2.99167,-10,B
3.0,-10,B
3.00833,-10,B
3.01667,-10,B
3.025,-10,B
3.03333,-9,B
3.04167,-10,B
3.05,-9,B
3.0583299999999998,-9,B
3.0666700000000002,-9,B
3.075,-9,B
3.08333,-9,B
3.09167,-8,B
3.1,-8,B
3.10833,-8,B
3.11667,-7,B
3.125,-7,B
3.13333,-7,B
3.14167,-8,B
3.15,-7,B
3.15833,-7,B
3.16667,-7,B
3.175,-7,B
3.1833299999999998,-7,B
3.1916700000000002,-7,B
3.2,-7,B
3.20833,-7,B
3.21667,-7,B
3.225,-7,B
3.23333,-8,B
3.24167,-8,B
3.25,-8,B
3.25833,-8,B
3.26667,-8,B
3.275,-8,B
3.2833300000000003,-8,B
3.29167,-8,B
3.3,-9,B
3.30833,-8,B
3.31667,-9,B
3.325,-9,B
3.33333,-9,B
3.3416699999999997,-8,B
3.35,-8,B
3.3583300000000005,-8,B
3.3666699999999996,-9,B
3.375,-9,B
3.3833300000000004,-8,B
3.3916699999999995,-8,B
3.4,-8,B
3.4083300000000003,-8,B
3.41667,-8,B
3.425,-9,B
3.43333,-9,B
3.44167,-10,B
3.45,-10,B
3.45833,-11,B
3.4666699999999997,-11,B
3.475,-11,B
3.4833300000000005,-11,B
3.4916699999999996,-11,B
3.5,-12,B
3.5083300000000004,-12,B
3.5166699999999995,-12,B
3.525,-12,B
3.5333300000000003,-11,B
3.54167,-11,B
3.55,-11,B
3.55833,-11,B
3.56667,-11,B
3.575,-11,B
3.58333,-11,B
3.5916699999999997,-11,B
3.6,-11,B
3.6083300000000005,-11,B
3.6166699999999996,-11,B
3.625,-11,B
3.6333300000000004,-11,B
3.6416699999999995,-11,B
3.65,-10,B
3.6583300000000003,-10,B
3.66667,-10,B
3.675,-9,B
3.68333,-9,B
3.69167,-9,B
3.7,-8,B
3.70833,-8,B
3.7166699999999997,-8,B
3.725,-8,B
3.7333300000000005,-8,B
3.7416699999999996,-7,B
3.75,-7,B
3.7583300000000004,-7,B
3.7666699999999995,-6,B
3.775,-5,B
3.7833300000000003,-5,B
3.79167,-4,B
3.8,-4,B
3.80833,-4,B
3.81667,-4,B
3.825,-4,B
3.83333,-3,B
3.8416699999999997,-3,B
3.85,-2,B
3.8583300000000005,-2,B
3.8666699999999996,-1,B
3.875,-1,B
3.8833300000000004,-1,B
3.8916699999999995,0,B
3.9,0,B
3.9083300000000003,1,B
3.91667,1,B
3.925,1,B
3.93333,1,B
3.94167,1,B
3.95,1,B
3.95833,1,B
3.9666699999999997,2,B
3.975,2,B
3.9833300000000005,2,B
3.9916699999999996,2,B
4.0,3,B
4.00833,3,B
4.0166699999999995,4,B
4.025,4,B
4.03333,4,B
4.04167,5,B
4.05,5,B
4.058330000000001,5,B
4.066669999999999,5,B
4.075,6,B
4.08333,6,B
4.09167,6,B
4.1,6,B
4.1083300000000005,6,B
4.11667,6,B
4.125,5,B
4.13333,5,B
4.1416699999999995,5,B
4.15,5,B
4.15833,5,B
4.16667,5,B
4.175,5,B
4.183330000000001,5,B
4.191669999999999,5,B
4.2,5,B
4.20833,4,B
4.21667,4,B
4.225,4,B
4.2333300000000005,4,B
4.24167,4,B
4.25,4,B
4.25833,4,B
4.2666699999999995,4,B
4.275,4,B
4.28333,4,B
4.29167,4,B
4.3,3,B
4.308330000000001,3,B
4.316669999999999,2,B
4.325,2,B
4.33333,2,B
4.34167,1,B
4.35,1,B
4.3583300000000005,1,B
4.36667,1,B
4.375,0,B
4.38333,0,B
