well,od_600nm,time_s,temp_C,instrument,strain,replicate
B10,0.07829999924,0.0,36.5,infinite,blank,0
B10,0.07819999754,2655.5,37.1,infinite,blank,0
B10,0.0775000006,29214.6,37.1,infinite,blank,0
B10,0.07729999721,29509.7,37.6,infinite,blank,0
B10,0.0775000006,29804.8,37.2,infinite,blank,0
B10,0.0775000006,30099.9,37.3,infinite,blank,0
B10,0.07760000229,30395.0,37.6,infinite,blank,0
B10,0.0775000006,30690.0,37.1,infinite,blank,0
B10,0.0773999989,30985.1,37.5,infinite,blank,0
B10,0.0773999989,31280.2,37.5,infinite,blank,0
B10,0.0775000006,31575.3,37.2,infinite,blank,0
B10,0.07729999721,31870.4,37.7,infinite,blank,0
B10,0.0781000033,2950.6,37.1,infinite,blank,0
B10,0.0773999989,32165.5,37.2,infinite,blank,0
B10,0.0773999989,32460.6,37.2,infinite,blank,0
B10,0.07769999653,32755.7,37.5,infinite,blank,0
B10,0.0773999989,33050.8,37.5,infinite,blank,0
B10,0.07760000229,33345.9,36.9,infinite,blank,0
B10,0.0775000006,33641.0,37.5,infinite,blank,0
B10,0.07769999653,33936.1,37.5,infinite,blank,0
B10,0.0775000006,34231.2,37.0,infinite,blank,0
B10,0.07760000229,34526.3,37.4,infinite,blank,0
B10,0.07760000229,34821.4,37.6,infinite,blank,0
B10,0.07829999924,3245.7,37.3,infinite,blank,0
B10,0.07769999653,35116.5,37.1,infinite,blank,0
B10,0.0775000006,35411.6,37.5,infinite,blank,0
B10,0.07760000229,35706.7,37.5,infinite,blank,0
B10,0.0775000006,36001.8,36.9,infinite,blank,0
B10,0.07760000229,36296.9,37.4,infinite,blank,0
B10,0.0775000006,36592.0,37.6,infinite,blank,0
B10,0.07729999721,36887.1,37.0,infinite,blank,0
B10,0.0773999989,37182.1,37.4,infinite,blank,0
B10,0.07760000229,37477.2,37.5,infinite,blank,0
B10,0.07729999721,37772.3,36.9,infinite,blank,0
B10,0.0781000033,3540.8,37.4,infinite,blank,0
B10,0.0775000006,38067.4,37.3,infinite,blank,0
B10,0.0773999989,38362.5,37.6,infinite,blank,0
B10,0.07729999721,38657.6,37.0,infinite,blank,0
B10,0.07720000297,38952.7,37.2,infinite,blank,0
B10,0.0773999989,39247.8,37.6,infinite,blank,0
B10,0.07720000297,39542.9,37.0,infinite,blank,0
B10,0.07729999721,39838.0,37.3,infinite,blank,0
B10,0.07729999721,40133.1,37.6,infinite,blank,0
B10,0.0775000006,40428.1,37.1,infinite,blank,0
B10,0.0773999989,40723.2,37.2,infinite,blank,0
B10,0.07819999754,3835.8,37.6,infinite,blank,0
B10,0.07760000229,41018.3,37.5,infinite,blank,0
B10,0.0773999989,41313.4,37.3,infinite,blank,0
B10,0.0775000006,41608.5,37.0,infinite,blank,0
B10,0.0773999989,41903.6,37.4,infinite,blank,0
B10,0.0773999989,42198.7,37.5,infinite,blank,0
B10,0.0773999989,42493.8,37.0,infinite,blank,0
B10,0.07760000229,42788.9,37.4,infinite,blank,0
B10,0.0775000006,43084.0,37.6,infinite,blank,0
B10,0.0773999989,43379.1,37.0,infinite,blank,0
B10,0.0773999989,43674.2,37.3,infinite,blank,0
B10,0.07779999822,4130.9,37.1,infinite,blank,0
B10,0.07779999822,43969.2,37.4,infinite,blank,0
B10,0.0775000006,44264.3,37.6,infinite,blank,0
B10,0.07760000229,44559.4,36.9,infinite,blank,0
B10,0.0775000006,44854.5,37.4,infinite,blank,0
B10,0.07769999653,45149.6,37.6,infinite,blank,0
B10,0.0775000006,45444.7,37.1,infinite,blank,0
B10,0.07760000229,45739.8,37.2,infinite,blank,0
B10,0.07720000297,46034.9,37.6,infinite,blank,0
B10,0.0773999989,46330.0,37.5,infinite,blank,0
B10,0.07720000297,46625.1,36.9,infinite,blank,0
B10,0.0781000033,4426.0,37.3,infinite,blank,0
B10,0.07729999721,46920.2,37.5,infinite,blank,0
B10,0.07729999721,47215.2,37.5,infinite,blank,0
B10,0.0773999989,47510.3,37.1,infinite,blank,0
B10,0.0773999989,47805.4,37.4,infinite,blank,0
B10,0.07720000297,48100.5,37.6,infinite,blank,0
B10,0.07729999721,48395.6,37.1,infinite,blank,0
B10,0.0773999989,48690.7,37.5,infinite,blank,0
B10,0.07710000128,48985.8,37.5,infinite,blank,0
B10,0.0775000006,49280.9,37.1,infinite,blank,0
B10,0.07729999721,49576.0,37.6,infinite,blank,0
