well,od_600nm,time_s,temp_C,instrument,media,strain,replicate
B10,0.07789999992,0.0,36.5,infinite,water,blank,0
B10,0.07859999686000001,3623.8,37.2,infinite,water,blank,0
B10,0.07789999992,39865.2,37.4,infinite,water,blank,0
B10,0.07840000092999999,40267.9,37.3,infinite,water,blank,0
B10,0.07760000229,40670.6,36.9,infinite,water,blank,0
B10,0.07850000262,41073.2,37.5,infinite,water,blank,0
B10,0.0781000033,41475.9,37.5,infinite,water,blank,0
B10,0.07800000161000001,41878.6,37.0,infinite,water,blank,0
B10,0.07800000161000001,42281.3,37.5,infinite,water,blank,0
B10,0.07779999822,42684.0,37.4,infinite,water,blank,0
B10,0.0781000033,43086.6,37.1,infinite,water,blank,0
B10,0.07760000229,43489.3,37.5,infinite,water,blank,0
B10,0.07789999992,4026.5,37.2,infinite,water,blank,0
B10,0.0775000006,43892.0,37.1,infinite,water,blank,0
B10,0.07760000229,44294.7,37.3,infinite,water,blank,0
B10,0.07840000092999999,44697.4,37.6,infinite,water,blank,0
B10,0.07760000229,45100.0,37.1,infinite,water,blank,0
B10,0.07779999822,45502.7,37.1,infinite,water,blank,0
B10,0.07819999754,45905.4,37.6,infinite,water,blank,0
B10,0.0781000033,46308.1,37.1,infinite,water,blank,0
B10,0.07840000092999999,46710.8,37.4,infinite,water,blank,0
B10,0.0773999989,47113.5,37.5,infinite,water,blank,0
B10,0.07829999924,47516.1,36.9,infinite,water,blank,0
B10,0.07829999924,4429.1,37.4,infinite,water,blank,0
B10,0.07769999653,47918.8,37.6,infinite,water,blank,0
B10,0.07779999822,48321.5,37.0,infinite,water,blank,0
B10,0.0773999989,48724.2,37.4,infinite,water,blank,0
B10,0.07800000161000001,49126.8,37.0,infinite,water,blank,0
B10,0.07800000161000001,49529.5,37.6,infinite,water,blank,0
B10,0.07840000092999999,49932.2,37.0,infinite,water,blank,0
B10,0.07769999653,50334.9,37.5,infinite,water,blank,0
B10,0.07800000161000001,50737.6,37.0,infinite,water,blank,0
B10,0.07850000262,51140.3,37.3,infinite,water,blank,0
B10,0.07869999856000001,51542.9,37.5,infinite,water,blank,0
B10,0.07800000161000001,4831.8,37.6,infinite,water,blank,0
B10,0.07829999924,51945.6,37.0,infinite,water,blank,0
B10,0.0775000006,52348.3,37.6,infinite,water,blank,0
B10,0.07840000092999999,52751.0,37.0,infinite,water,blank,0
B10,0.07829999924,53153.7,37.6,infinite,water,blank,0
B10,0.07819999754,53556.4,37.0,infinite,water,blank,0
B10,0.07760000229,53959.0,37.6,infinite,water,blank,0
B10,0.07869999856000001,54361.7,37.0,infinite,water,blank,0
B10,0.07850000262,54764.4,37.6,infinite,water,blank,0
B10,0.07819999754,55167.1,37.1,infinite,water,blank,0
B10,0.07789999992,55569.8,37.6,infinite,water,blank,0
B10,0.07840000092999999,5234.5,37.6,infinite,water,blank,0
B10,0.0781000033,55972.4,37.0,infinite,water,blank,0
B10,0.07840000092999999,56375.1,37.6,infinite,water,blank,0
B10,0.07789999992,56777.8,37.0,infinite,water,blank,0
B10,0.07760000229,57180.5,37.6,infinite,water,blank,0
B10,0.07819999754,57583.2,37.0,infinite,water,blank,0
B10,0.07890000194,57985.9,37.4,infinite,water,blank,0
B10,0.07800000161000001,58388.5,37.3,infinite,water,blank,0
B10,0.07850000262,5637.2,37.3,infinite,water,blank,0
B10,0.0773999989,6039.9,37.0,infinite,water,blank,0
B10,0.07779999822,6442.6,37.3,infinite,water,blank,0
B10,0.07760000229,6845.2,37.6,infinite,water,blank,0
B10,0.07880000025,7247.9,37.6,infinite,water,blank,0
B10,0.07840000092999999,402.3,37.2,infinite,water,blank,0
B10,0.07729999721,7650.6,36.9,infinite,water,blank,0
B10,0.07840000092999999,8053.3,37.5,infinite,water,blank,0
B10,0.07769999653,8456.0,37.6,infinite,water,blank,0
B10,0.07829999924,8858.6,36.9,infinite,water,blank,0
B10,0.0775000006,9261.3,37.5,infinite,water,blank,0
B10,0.07760000229,9664.0,37.1,infinite,water,blank,0
B10,0.07850000262,10066.7,37.3,infinite,water,blank,0
B10,0.07800000161000001,10469.3,37.3,infinite,water,blank,0
B10,0.0781000033,10872.0,37.2,infinite,water,blank,0
B10,0.0781000033,11274.7,37.4,infinite,water,blank,0
B10,0.07779999822,805.0,37.3,infinite,water,blank,0
B10,0.07789999992,11677.4,37.1,infinite,water,blank,0
B10,0.07840000092999999,12080.1,37.7,infinite,water,blank,0
B10,0.07800000161000001,12482.8,37.1,infinite,water,blank,0
B10,0.07800000161000001,12885.4,37.6,infinite,water,blank,0
B10,0.07800000161000001,13288.1,37.1,infinite,water,blank,0
B10,0.07779999822,13690.8,37.7,infinite,water,blank,0
B10,0.07769999653,14093.5,37.3,infinite,water,blank,0
B10,0.07800000161000001,14496.2,37.4,infinite,water,blank,0
B10,0.07819999754,14898.9,36.9,infinite,water,blank,0
B10,0.07760000229,15301.5,37.6,infinite,water,blank,0
B10,0.07829999924,1207.7,37.0,infinite,water,blank,0
B10,0.07760000229,15704.2,37.0,infinite,water,blank,0
B10,0.07869999856000001,16106.9,37.5,infinite,water,blank,0
B10,0.0781000033,16509.6,37.2,infinite,water,blank,0
B10,0.07850000262,16912.3,37.6,infinite,water,blank,0
B10,0.07769999653,17314.9,37.1,infinite,water,blank,0
B10,0.07789999992,17717.6,37.6,infinite,water,blank,0
B10,0.07829999924,18120.3,37.2,infinite,water,blank,0
B10,0.07850000262,18523.0,37.6,infinite,water,blank,0
B10,0.07829999924,18925.7,37.2,infinite,water,blank,0
B10,0.0781000033,19328.3,37.5,infinite,water,blank,0
B10,0.07859999686000001,1610.4,37.2,infinite,water,blank,0
B10,0.07819999754,19731.0,37.1,infinite,water,blank,0
B10,0.07779999822,20133.7,37.5,infinite,water,blank,0
B10,0.07869999856000001,20536.4,37.3,infinite,water,blank,0
B10,0.07840000092999999,20939.1,37.3,infinite,water,blank,0
B10,0.07779999822,21341.7,37.5,infinite,water,blank,0
B10,0.07800000161000001,21744.4,37.4,infinite,water,blank,0
