Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146
Time [s],0,402.3,805,1207.7,1610.4,2013.1,2415.7,2818.4,3221.1,3623.8,4026.5,4429.1,4831.8,5234.5,5637.2,6039.9,6442.6,6845.2,7247.9,7650.6,8053.3,8456,8858.6,9261.3,9664,10066.7,10469.3,10872,11274.7,11677.4,12080.1,12482.8,12885.4,13288.1,13690.8,14093.5,14496.2,14898.9,15301.5,15704.2,16106.9,16509.6,16912.3,17314.9,17717.6,18120.3,18523,18925.7,19328.3,19731,20133.7,20536.4,20939.1,21341.7,21744.4,22147.1,22549.8,22952.5,23355.1,23758,24160.7,24563.3,24966,25368.7,25771.4,26174.1,26576.7,26979.4,27382.1,27784.8,28187.5,28590.1,28992.8,29395.5,29798.2,30200.9,30603.5,31006.2,31408.9,31811.6,32214.3,32616.9,33019.6,33422.3,33825,34227.7,34630.4,35033,35435.7,35838.4,36241.1,36643.8,37046.4,37449.1,37851.8,38254.5,38657.1,39059.8,39462.5,39865.2,40267.9,40670.6,41073.2,41475.9,41878.6,42281.3,42684,43086.6,43489.3,43892,44294.7,44697.4,45100,45502.7,45905.4,46308.1,46710.8,47113.5,47516.1,47918.8,48321.5,48724.2,49126.8,49529.5,49932.2,50334.9,50737.6,51140.3,51542.9,51945.6,52348.3,52751,53153.7,53556.4,53959,54361.7,54764.4,55167.1,55569.8,55972.4,56375.1,56777.8,57180.5,57583.2,57985.9,58388.5
Temp. [°C],36.5,37.2,37.3,37,37.2,37,37.5,37.3,37.2,37.2,37.2,37.4,37.6,37.6,37.3,37,37.3,37.6,37.6,36.9,37.5,37.6,36.9,37.5,37.1,37.3,37.3,37.2,37.4,37.1,37.7,37.1,37.6,37.1,37.7,37.3,37.4,36.9,37.6,37,37.5,37.2,37.6,37.1,37.6,37.2,37.6,37.2,37.5,37.1,37.5,37.3,37.3,37.5,37.4,37.3,37.6,37.2,37.6,37,37.6,37.2,37.5,37.1,37.6,36.9,37.6,36.9,37.6,36.9,37.6,37,37.6,37.1,37.4,37.2,37.4,37.5,36.9,37.4,37.5,36.9,37.5,37.6,37,37.2,37.6,37.4,37,37.4,37.6,37.2,36.9,37.3,37.5,37.2,37.3,37.6,37.2,37.4,37.3,36.9,37.5,37.5,37,37.5,37.4,37.1,37.5,37.1,37.3,37.6,37.1,37.1,37.6,37.1,37.4,37.5,36.9,37.6,37,37.4,37,37.6,37,37.5,37,37.3,37.5,37,37.6,37,37.6,37,37.6,37,37.6,37.1,37.6,37,37.6,37,37.6,37,37.4,37.3
B2,0.07689999789,0.07689999789,0.07699999958,0.07699999958,0.07689999789,0.07729999721,0.07710000128,0.07710000128,0.07720000297,0.07680000365,0.07710000128,0.07689999789,0.07670000196,0.07689999789,0.07720000297,0.07710000128,0.07689999789,0.07689999789,0.07680000365,0.07689999789,0.07670000196,0.07689999789,0.07670000196,0.07689999789,0.07670000196,0.07689999789,0.07689999789,0.07710000128,0.07720000297,0.07670000196,0.07689999789,0.07710000128,0.07699999958,0.07699999958,0.07689999789,0.07680000365,0.07710000128,0.07689999789,0.07710000128,0.07699999958,0.07699999958,0.07699999958,0.07699999958,0.07689999789,0.07729999721,0.07729999721,0.07720000297,0.07689999789,0.07720000297,0.07689999789,0.07680000365,0.07710000128,0.07710000128,0.07710000128,0.07699999958,0.07680000365,0.07699999958,0.07699999958,0.07699999958,0.07670000196,0.07699999958,0.07689999789,0.07680000365,0.07710000128,0.07710000128,0.07689999789,0.07689999789,0.07680000365,0.07699999958,0.07699999958,0.07699999958,0.07680000365,0.07710000128,0.07689999789,0.07699999958,0.07689999789,0.07680000365,0.07710000128,0.07689999789,0.07680000365,0.07689999789,0.07699999958,0.07670000196,0.07689999789,0.07710000128,0.07689999789,0.07710000128,0.07689999789,0.07720000297,0.07710000128,0.07710000128,0.07720000297,0.07689999789,0.07720000297,0.07699999958,0.07710000128,0.07710000128,0.07699999958,0.07699999958,0.07710000128,0.07710000128,0.07710000128,0.07699999958,0.07699999958,0.07710000128,0.07689999789,0.07689999789,0.07689999789,0.07689999789,0.07699999958,0.07689999789,0.07699999958,0.07680000365,0.07689999789,0.07689999789,0.07710000128,0.07689999789,0.07699999958,0.07670000196,0.07689999789,0.07689999789,0.07699999958,0.07699999958,0.07720000297,0.07710000128,0.07710000128,0.07710000128,0.07710000128,0.07699999958,0.07710000128,0.07710000128,0.07699999958,0.07710000128,0.07699999958,0.07710000128,0.07699999958,0.07710000128,0.07699999958,0.07699999958,0.07699999958,0.07689999789,0.07689999789,0.07699999958,0.07699999958,0.07699999958,0.07699999958
B3,0.07710000128,0.07729999721,0.07769999653,0.07760000229,0.07819999754,0.07819999754,0.07789999992,0.07829999924,0.07779999822,0.07779999822,0.07840000093,0.07800000161,0.0773999989,0.07819999754,0.07880000025,0.0781000033,0.07829999924,0.07829999924,0.07779999822,0.07829999924,0.0781000033,0.07789999992,0.0781000033,0.07769999653,0.07729999721,0.07779999822,0.07819999754,0.07800000161,0.07819999754,0.07760000229,0.07779999822,0.07850000262,0.07789999992,0.0781000033,0.07779999822,0.07769999653,0.07769999653,0.07779999822,0.07779999822,0.07829999924,0.07840000093,0.07800000161,0.07819999754,0.0773999989,0.0781000033,0.0781000033,0.07829999924,0.07869999856,0.07800000161,0.07800000161,0.07850000262,0.07850000262,0.0781000033,0.07769999653,0.0781000033,0.0781000033,0.07779999822,0.07800000161,0.0781000033,0.07779999822,0.07819999754,0.0773999989,0.07800000161,0.07850000262,0.0775000006,0.07760000229,0.07789999992,0.07769999653,0.07769999653,0.07829999924,0.07800000161,0.07800000161,0.07779999822,0.0781000033,0.07769999653,0.07779999822,0.0781000033,0.07760000229,0.07800000161,0.07819999754,0.0773999989,0.07769999653,0.07789999992,0.07760000229,0.07819999754,0.07819999754,0.07840000093,0.07769999653,0.07800000161,0.0781000033,0.07850000262,0.07789999992,0.07800000161,0.07769999653,0.07840000093,0.0775000006,0.07760000229,0.07819999754,0.07840000093,0.07800000161,0.07850000262,0.07829999924,0.07789999992,0.07800000161,0.07760000229,0.07789999992,0.07779999822,0.07779999822,0.07760000229,0.07779999822,0.07819999754,0.07769999653,0.0773999989,0.0781000033,0.07779999822,0.07769999653,0.07800000161,0.07819999754,0.07760000229,0.07800000161,0.07760000229,0.07840000093,0.07769999653,0.07800000161,0.07779999822,0.07869999856,0.07789999992,0.07819999754,0.07779999822,0.07779999822,0.07779999822,0.07869999856,0.07789999992,0.07840000093,0.0775000006,0.07850000262,0.07769999653,0.0781000033,0.07789999992,0.07760000229,0.07779999822,0.07789999992,0.07779999822,0.0781000033,0.07800000161,0.07819999754
B4,0.07880000025,0.07819999754,0.07970000058,0.0802000016,0.08100000024,0.08049999923,0.07989999652,0.07989999652,0.07959999889,0.07959999889,0.08070000261,0.07959999889,0.07940000296,0.08039999753,0.08100000024,0.07940000296,0.07930000126,0.08100000024,0.07940000296,0.07989999652,0.0800999999,0.07959999889,0.07989999652,0.07999999821,0.07980000228,0.07959999889,0.07970000058,0.07970000058,0.07980000228,0.0794999972,0.0802000016,0.07989999652,0.07980000228,0.0800999999,0.07970000058,0.07930000126,0.07919999957,0.07970000058,0.07989999652,0.0800999999,0.07959999889,0.07989999652,0.07980000228,0.07989999652,0.07970000058,0.07989999652,0.0800999999,0.08030000329,0.07980000228,0.0800999999,0.08049999923,0.07989999652,0.07959999889,0.07980000228,0.07919999957,0.0800999999,0.07880000025,0.07989999652,0.07970000058,0.07909999788,0.08049999923,0.07900000364,0.0802000016,0.07959999889,0.07989999652,0.07959999889,0.07909999788,0.0794999972,0.07900000364,0.07989999652,0.07900000364,0.07880000025,0.07909999788,0.07940000296,0.07900000364,0.07989999652,0.07930000126,0.07940000296,0.07989999652,0.07959999889,0.07980000228,0.07900000364,0.0802000016,0.07989999652,0.07989999652,0.07989999652,0.08039999753,0.07930000126,0.0800999999,0.07970000058,0.08039999753,0.07999999821,0.08060000092,0.07930000126,0.0800999999,0.07940000296,0.0794999972,0.0802000016,0.07989999652,0.07959999889,0.07970000058,0.07980000228,0.07940000296,0.07980000228,0.07999999821,0.0794999972,0.07989999652,0.07930000126,0.07959999889,0.07959999889,0.07999999821,0.07909999788,0.07900000364,0.07980000228,0.07980000228,0.07999999821,0.0802000016,0.0802000016,0.07940000296,0.0794999972,0.0800999999,0.07930000126,0.07970000058,0.07959999889,0.07980000228,0.0794999972,0.0794999972,0.08030000329,0.07890000194,0.07959999889,0.07959999889,0.08030000329,0.07930000126,0.07989999652,0.07959999889,0.08030000329,0.07930000126,0.07900000364,0.0800999999,0.07900000364,0.07890000194,0.07919999957,0.07980000228,0.07980000228,0.07919999957,0.07970000058
B5,0.07720000297,0.07720000297,0.0775000006,0.07829999924,0.07859999686,0.07869999856,0.07850000262,0.07890000194,0.07819999754,0.07840000093,0.07900000364,0.07909999788,0.07769999653,0.0781000033,0.07919999957,0.07840000093,0.07859999686,0.07909999788,0.0781000033,0.07869999856,0.07859999686,0.07819999754,0.07819999754,0.07900000364,0.0781000033,0.07890000194,0.07829999924,0.0781000033,0.07909999788,0.07840000093,0.07880000025,0.07930000126,0.07840000093,0.07850000262,0.07850000262,0.0781000033,0.07800000161,0.07829999924,0.07880000025,0.07880000025,0.0781000033,0.07840000093,0.07890000194,0.07819999754,0.07890000194,0.07850000262,0.07869999856,0.07859999686,0.07850000262,0.07850000262,0.07890000194,0.07880000025,0.0781000033,0.07819999754,0.07800000161,0.07800000161,0.07779999822,0.07829999924,0.07850000262,0.07829999924,0.07850000262,0.07850000262,0.07880000025,0.07850000262,0.07840000093,0.07829999924,0.07829999924,0.07769999653,0.07859999686,0.07829999924,0.07819999754,0.07779999822,0.07829999924,0.07840000093,0.07779999822,0.07859999686,0.07829999924,0.07880000025,0.07840000093,0.07829999924,0.07819999754,0.07819999754,0.07800000161,0.07840000093,0.07909999788,0.07850000262,0.0781000033,0.07829999924,0.07829999924,0.07859999686,0.07880000025,0.07819999754,0.07840000093,0.07819999754,0.07869999856,0.07819999754,0.07800000161,0.07880000025,0.07900000364,0.07789999992,0.07819999754,0.07900000364,0.07890000194,0.07840000093,0.07859999686,0.07829999924,0.07829999924,0.07829999924,0.07829999924,0.07819999754,0.0781000033,0.07800000161,0.07769999653,0.07789999992,0.0781000033,0.07880000025,0.07779999822,0.07869999856,0.07769999653,0.07789999992,0.07850000262,0.07829999924,0.07819999754,0.07850000262,0.07859999686,0.07829999924,0.0781000033,0.07919999957,0.0775000006,0.07880000025,0.07819999754,0.07869999856,0.0781000033,0.07840000093,0.0781000033,0.07869999856,0.07840000093,0.0781000033,0.07829999924,0.07789999992,0.07800000161,0.07819999754,0.07859999686,0.07850000262,0.07840000093,0.07859999686
B6,0.07639999688,0.07670000196,0.07680000365,0.07710000128,0.07769999653,0.07769999653,0.07670000196,0.07729999721,0.07720000297,0.07699999958,0.07670000196,0.07769999653,0.07660000026,0.07760000229,0.07729999721,0.0773999989,0.07779999822,0.07660000026,0.07769999653,0.07729999721,0.07710000128,0.07710000128,0.07699999958,0.07720000297,0.07699999958,0.0775000006,0.07789999992,0.0775000006,0.07789999992,0.07670000196,0.07710000128,0.07769999653,0.0775000006,0.07729999721,0.0781000033,0.07680000365,0.07689999789,0.07760000229,0.0773999989,0.07699999958,0.0773999989,0.07689999789,0.07760000229,0.07689999789,0.07710000128,0.07789999992,0.07710000128,0.0775000006,0.07699999958,0.07689999789,0.07760000229,0.07769999653,0.0773999989,0.07720000297,0.07720000297,0.07670000196,0.07660000026,0.07680000365,0.07729999721,0.07660000026,0.07710000128,0.07670000196,0.07660000026,0.07720000297,0.07699999958,0.07699999958,0.07670000196,0.07710000128,0.07670000196,0.07670000196,0.0775000006,0.07680000365,0.07689999789,0.07710000128,0.07660000026,0.0773999989,0.07710000128,0.07729999721,0.07729999721,0.07699999958,0.07680000365,0.07699999958,0.07699999958,0.07689999789,0.0775000006,0.07670000196,0.07840000093,0.07720000297,0.07710000128,0.0775000006,0.07710000128,0.0773999989,0.07670000196,0.07720000297,0.0773999989,0.07660000026,0.0773999989,0.0775000006,0.07760000229,0.07670000196,0.0775000006,0.07769999653,0.07729999721,0.07649999857,0.07699999958,0.07720000297,0.07680000365,0.07689999789,0.07649999857,0.07689999789,0.07649999857,0.07710000128,0.07639999688,0.07760000229,0.07689999789,0.07699999958,0.07729999721,0.07729999721,0.07670000196,0.07680000365,0.07729999721,0.07720000297,0.07649999857,0.07710000128,0.07760000229,0.07710000128,0.07710000128,0.07769999653,0.07710000128,0.07670000196,0.07670000196,0.07729999721,0.07680000365,0.07699999958,0.07670000196,0.0775000006,0.07680000365,0.07670000196,0.07699999958,0.07729999721,0.07680000365,0.07729999721,0.07689999789,0.07720000297,0.07720000297,0.07639999688
B7,0.07660000026,0.0773999989,0.07670000196,0.07829999924,0.07760000229,0.0781000033,0.07710000128,0.07779999822,0.07769999653,0.0773999989,0.07769999653,0.0773999989,0.07710000128,0.07760000229,0.07829999924,0.07729999721,0.0775000006,0.0773999989,0.07720000297,0.07760000229,0.07689999789,0.07699999958,0.07760000229,0.07779999822,0.07689999789,0.07760000229,0.07819999754,0.07729999721,0.07760000229,0.07699999958,0.07769999653,0.07789999992,0.0773999989,0.07760000229,0.07829999924,0.07699999958,0.07699999958,0.07710000128,0.07729999721,0.07729999721,0.07699999958,0.07729999721,0.07710000128,0.07680000365,0.0773999989,0.07729999721,0.07779999822,0.07729999721,0.0775000006,0.07760000229,0.07769999653,0.07760000229,0.0775000006,0.07729999721,0.07729999721,0.07689999789,0.07699999958,0.07710000128,0.0775000006,0.07720000297,0.07689999789,0.0775000006,0.07720000297,0.07760000229,0.07710000128,0.07699999958,0.07689999789,0.07729999721,0.07680000365,0.07680000365,0.07699999958,0.07670000196,0.07670000196,0.07769999653,0.07710000128,0.0773999989,0.07729999721,0.07779999822,0.07689999789,0.07699999958,0.07649999857,0.07760000229,0.07699999958,0.0775000006,0.07769999653,0.07710000128,0.07760000229,0.07699999958,0.07699999958,0.07729999721,0.07729999721,0.07729999721,0.07720000297,0.07720000297,0.07729999721,0.07680000365,0.07720000297,0.07769999653,0.07769999653,0.07689999789,0.07800000161,0.07769999653,0.07699999958,0.07689999789,0.07670000196,0.0773999989,0.07689999789,0.07720000297,0.07680000365,0.07720000297,0.07720000297,0.07720000297,0.07699999958,0.07789999992,0.07689999789,0.07779999822,0.07819999754,0.0775000006,0.07660000026,0.07729999721,0.0773999989,0.0773999989,0.07720000297,0.07760000229,0.07769999653,0.07720000297,0.07729999721,0.07760000229,0.07760000229,0.0775000006,0.07680000365,0.07729999721,0.07699999958,0.07699999958,0.07680000365,0.07779999822,0.0775000006,0.07720000297,0.0773999989,0.07680000365,0.07720000297,0.07680000365,0.0773999989,0.07729999721,0.07699999958,0.07699999958
B8,0.07760000229,0.07800000161,0.0775000006,0.07880000025,0.07869999856,0.07869999856,0.07850000262,0.07800000161,0.07880000025,0.07720000297,0.07850000262,0.07859999686,0.07829999924,0.0775000006,0.07840000093,0.07789999992,0.07729999721,0.07829999924,0.07760000229,0.07800000161,0.07760000229,0.0781000033,0.07840000093,0.07720000297,0.0781000033,0.0773999989,0.07819999754,0.07850000262,0.07819999754,0.07760000229,0.07760000229,0.0781000033,0.07840000093,0.07800000161,0.07859999686,0.07729999721,0.0775000006,0.07729999721,0.0775000006,0.07819999754,0.07729999721,0.07789999992,0.07800000161,0.07710000128,0.07769999653,0.07789999992,0.07769999653,0.07819999754,0.07800000161,0.0781000033,0.07859999686,0.07760000229,0.07850000262,0.07789999992,0.07779999822,0.0775000006,0.07710000128,0.07800000161,0.07769999653,0.07729999721,0.07760000229,0.07769999653,0.07789999992,0.07769999653,0.07779999822,0.07829999924,0.0775000006,0.0773999989,0.07769999653,0.07800000161,0.07800000161,0.07710000128,0.07729999721,0.07859999686,0.07720000297,0.07789999992,0.07720000297,0.07909999788,0.07769999653,0.07769999653,0.07720000297,0.07760000229,0.0775000006,0.07779999822,0.07789999992,0.07760000229,0.07840000093,0.0781000033,0.07729999721,0.07779999822,0.07760000229,0.07819999754,0.07769999653,0.07819999754,0.07789999992,0.07789999992,0.0773999989,0.07829999924,0.0781000033,0.0773999989,0.07779999822,0.07800000161,0.07769999653,0.07760000229,0.0773999989,0.07760000229,0.07760000229,0.0773999989,0.0775000006,0.07710000128,0.0775000006,0.07720000297,0.07789999992,0.07859999686,0.0781000033,0.07829999924,0.07840000093,0.07800000161,0.07729999721,0.0781000033,0.07829999924,0.0775000006,0.07800000161,0.07729999721,0.07880000025,0.0773999989,0.07769999653,0.07840000093,0.07819999754,0.07800000161,0.07729999721,0.07850000262,0.0773999989,0.07710000128,0.07699999958,0.07769999653,0.0775000006,0.0775000006,0.0781000033,0.0773999989,0.07779999822,0.07729999721,0.07800000161,0.07840000093,0.07729999721,0.07760000229
B9,0.07779999822,0.0781000033,0.07800000161,0.07829999924,0.0781000033,0.07840000093,0.07829999924,0.07850000262,0.07850000262,0.07760000229,0.07859999686,0.07779999822,0.07769999653,0.07789999992,0.0781000033,0.07840000093,0.0775000006,0.07880000025,0.0781000033,0.07800000161,0.07760000229,0.0773999989,0.07800000161,0.07800000161,0.07800000161,0.07789999992,0.07819999754,0.07769999653,0.0781000033,0.0781000033,0.0781000033,0.0781000033,0.07800000161,0.07779999822,0.07859999686,0.0775000006,0.07789999992,0.07840000093,0.07760000229,0.07779999822,0.07760000229,0.07850000262,0.07840000093,0.07769999653,0.0775000006,0.07800000161,0.07840000093,0.07859999686,0.07869999856,0.07880000025,0.07829999924,0.07819999754,0.07829999924,0.07829999924,0.07800000161,0.0775000006,0.0775000006,0.07800000161,0.0775000006,0.0773999989,0.07789999992,0.07850000262,0.0773999989,0.07800000161,0.0773999989,0.07859999686,0.0775000006,0.07779999822,0.07760000229,0.07789999992,0.07829999924,0.07710000128,0.0773999989,0.07819999754,0.07760000229,0.07760000229,0.0775000006,0.07859999686,0.07769999653,0.07829999924,0.07699999958,0.07800000161,0.0775000006,0.07800000161,0.07829999924,0.0773999989,0.07760000229,0.07819999754,0.07829999924,0.07760000229,0.07769999653,0.07800000161,0.07880000025,0.07800000161,0.07760000229,0.07769999653,0.0781000033,0.07819999754,0.07800000161,0.07779999822,0.0781000033,0.0781000033,0.07769999653,0.07760000229,0.07840000093,0.07760000229,0.0773999989,0.0773999989,0.0775000006,0.07789999992,0.07760000229,0.0781000033,0.07729999721,0.07829999924,0.07779999822,0.07829999924,0.07850000262,0.07769999653,0.0775000006,0.07769999653,0.07800000161,0.07729999721,0.07769999653,0.07769999653,0.07829999924,0.07729999721,0.07769999653,0.07859999686,0.0773999989,0.07789999992,0.07760000229,0.07800000161,0.0781000033,0.0773999989,0.07760000229,0.0781000033,0.07779999822,0.07729999721,0.07819999754,0.07729999721,0.0775000006,0.07720000297,0.07779999822,0.07840000093,0.07789999992,0.0775000006
