Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
Time [s],0,395.842,791.227,1186.634,1582.103,1977.575,2373.006,2768.437,3163.835,3559.387,3954.907,4350.259,4745.706,5141.164,5536.627,5932.033,6327.445,6722.978,7118.523,7513.919,7909.435,8304.906,8700.327,9095.758,9491.201,9886.688,10282.094,10677.525,11073.053,11468.559,11863.904,12259.44,12654.92,13050.38,13445.788,13841.236,14236.689,14632.103,15027.517,15423.035,15818.546,16213.933,16609.46,17004.944,17400.328,17795.794,18191.248,18586.721,18982.121,19377.536,19773.025,20168.51,20563.921,20959.44,21354.91,21750.387,22145.83,22541.257,22936.741,23332.236,23727.655,24123.117,24518.6,24913.996,25309.459,25704.878,26100.394,26495.885,26891.262,27286.734,27682.221,28077.679,28473.057,28868.496,29263.989,29659.494,30054.944,30450.46,30845.939,31241.424,31636.881,32032.253,32427.734,32823.236,33218.655,33614.112,34009.584,34405.064,34800.476,35195.883,35591.433,35986.921,36382.343,36777.818,37173.212,37568.697,37964.135,38359.53,38754.987,39150.493,39545.915,39941.427,40336.868,40732.405,41127.827,41523.247,41918.727,42314.255,42709.665,43105.218,43500.674,43896.035,44291.543,44686.987,45082.457,45477.896,45873.349,46268.84,46664.274,47059.725,47455.245,47850.738,48246.14,48641.623,49037.094,49432.502,49827.966,50223.451,50618.873,51014.346,51409.781,51805.226,52200.647,52596.081,52991.538,53386.954,53782.41,54177.944,54573.403,54968.807,55364.29,55759.655,56155.072,56550.54
Temp. [°C],36.8,36.9,37,37,37.1,37.1,37,37.1,37,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1,37,37.1,37,37.1,37.1,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37.1,37,37,37.1,37,37.1,37.1,37,37,37,37.1,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37.1,37,37,37.1,37,37.1,37.1,37,37,37,37.1,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37.1,37.1,37.1,37,37.1,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1,37,37.1,37.1,37,37.1,37.1,37,37,37,37,37.1,37.1,37.1,37,37.1,37.1,37.1,37.1,37.1,37.1,37,37.1,37.1,37.1,37.1,37.1,37.1,37,37.1,37,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1
A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
