well,od_600nm,time_s,temp_C,instrument,strain,gluc_conc_mM,replicate
B10,0.07769999653,0.0,36.5,infinite,blank,0,0
B10,0.07840000092999999,3623.9,37.4,infinite,blank,0,0
B10,0.07710000128,39866.6,36.9,infinite,blank,0,0
B10,0.07720000297,40269.3,37.5,infinite,blank,0,0
B10,0.0781000033,40672.0,37.1,infinite,blank,0,0
B10,0.07779999822,41074.7,37.4,infinite,blank,0,0
B10,0.07720000297,41477.4,37.6,infinite,blank,0,0
B10,0.0773999989,41880.1,37.1,infinite,blank,0,0
B10,0.0773999989,42282.8,37.4,infinite,blank,0,0
B10,0.0775000006,42685.5,37.4,infinite,blank,0,0
B10,0.0773999989,43088.2,36.9,infinite,blank,0,0
B10,0.0773999989,43490.9,37.4,infinite,blank,0,0
B10,0.07890000194,4026.6,37.6,infinite,blank,0,0
B10,0.07859999686000001,43893.6,37.6,infinite,blank,0,0
B10,0.0773999989,44296.3,37.0,infinite,blank,0,0
B10,0.07769999653,44699.0,37.6,infinite,blank,0,0
B10,0.07729999721,45101.7,37.2,infinite,blank,0,0
B10,0.07900000364,45504.4,37.2,infinite,blank,0,0
B10,0.07840000092999999,45907.1,37.6,infinite,blank,0,0
B10,0.07720000297,46309.8,37.0,infinite,blank,0,0
B10,0.07720000297,46712.5,37.4,infinite,blank,0,0
B10,0.07760000229,47115.2,37.5,infinite,blank,0,0
B10,0.07710000128,47517.9,37.1,infinite,blank,0,0
B10,0.07800000161000001,4429.3,37.6,infinite,blank,0,0
B10,0.0775000006,47920.6,37.3,infinite,blank,0,0
B10,0.07699999957999999,48323.3,37.6,infinite,blank,0,0
B10,0.07729999721,48726.0,36.9,infinite,blank,0,0
B10,0.07729999721,49128.7,37.6,infinite,blank,0,0
B10,0.07789999992,49531.4,37.0,infinite,blank,0,0
B10,0.07819999754,49934.1,37.3,infinite,blank,0,0
B10,0.07760000229,50336.8,37.4,infinite,blank,0,0
B10,0.07710000128,50739.5,37.1,infinite,blank,0,0
B10,0.07720000297,51142.2,37.4,infinite,blank,0,0
B10,0.07729999721,51544.9,37.1,infinite,blank,0,0
B10,0.07869999856000001,4832.0,37.6,infinite,blank,0,0
B10,0.07760000229,51947.6,37.2,infinite,blank,0,0
B10,0.0773999989,52350.3,37.6,infinite,blank,0,0
B10,0.07789999992,52753.0,37.0,infinite,blank,0,0
B10,0.07720000297,53155.7,37.5,infinite,blank,0,0
B10,0.07769999653,53558.4,37.4,infinite,blank,0,0
B10,0.0773999989,53961.1,36.9,infinite,blank,0,0
B10,0.07760000229,54363.8,37.6,infinite,blank,0,0
B10,0.0773999989,54766.5,37.1,infinite,blank,0,0
B10,0.07729999721,55169.2,37.3,infinite,blank,0,0
B10,0.07779999822,55571.9,37.6,infinite,blank,0,0
B10,0.07900000364,5234.7,37.1,infinite,blank,0,0
B10,0.07720000297,55974.6,37.1,infinite,blank,0,0
B10,0.07729999721,56377.3,37.6,infinite,blank,0,0
B10,0.07890000194,56779.9,37.0,infinite,blank,0,0
B10,0.07729999721,57182.6,37.6,infinite,blank,0,0
B10,0.0773999989,57585.3,37.1,infinite,blank,0,0
B10,0.07800000161000001,57988.0,37.4,infinite,blank,0,0
