well,od_600nm,time_s,temp_C,instrument,sample,replicate
B10,0.0868,0.0,36.8,Tecan Spark,blank,0
B10,0.087,3559.415,37.1,Tecan Spark,blank,0
B10,0.087,39150.816,37.0,Tecan Spark,blank,0
B10,0.0868,39546.299,37.0,Tecan Spark,blank,0
B10,0.0869,39941.699,37.1,Tecan Spark,blank,0
B10,0.0869,40337.14,37.1,Tecan Spark,blank,0
B10,0.0868,40732.551,37.0,Tecan Spark,blank,0
B10,0.087,41127.99,37.0,Tecan Spark,blank,0
B10,0.0869,41523.474,37.0,Tecan Spark,blank,0
B10,0.0869,41918.967000000004,37.0,Tecan Spark,blank,0
B10,0.0869,42314.365999999995,37.1,Tecan Spark,blank,0
B10,0.087,42709.892,37.1,Tecan Spark,blank,0
B10,0.0868,3954.907,37.1,Tecan Spark,blank,0
B10,0.0868,43105.372,37.1,Tecan Spark,blank,0
B10,0.0868,43500.837,37.0,Tecan Spark,blank,0
B10,0.0869,43896.319,37.0,Tecan Spark,blank,0
B10,0.0869,44291.689000000006,37.1,Tecan Spark,blank,0
B10,0.0868,44687.16099999999,37.1,Tecan Spark,blank,0
B10,0.0868,45082.538,37.1,Tecan Spark,blank,0
B10,0.0868,45477.95,37.1,Tecan Spark,blank,0
B10,0.0869,45873.414000000004,37.0,Tecan Spark,blank,0
B10,0.0867,46268.888,37.0,Tecan Spark,blank,0
B10,0.087,46664.33,37.0,Tecan Spark,blank,0
B10,0.087,4350.314,37.0,Tecan Spark,blank,0
B10,0.0868,47059.848,37.1,Tecan Spark,blank,0
B10,0.0869,47455.312999999995,37.0,Tecan Spark,blank,0
B10,0.0869,47850.852,37.1,Tecan Spark,blank,0
B10,0.0868,48246.312999999995,37.1,Tecan Spark,blank,0
B10,0.0869,48641.723,37.0,Tecan Spark,blank,0
B10,0.087,49037.203,37.1,Tecan Spark,blank,0
B10,0.0868,49432.725,37.0,Tecan Spark,blank,0
B10,0.0869,49828.136,37.0,Tecan Spark,blank,0
B10,0.087,50223.600999999995,37.1,Tecan Spark,blank,0
B10,0.0869,50619.114,37.1,Tecan Spark,blank,0
B10,0.0868,4745.789000000001,37.0,Tecan Spark,blank,0
B10,0.0868,51014.530999999995,37.1,Tecan Spark,blank,0
B10,0.0869,51410.05,37.0,Tecan Spark,blank,0
B10,0.0869,51805.509000000005,37.0,Tecan Spark,blank,0
B10,0.087,52201.024000000005,37.1,Tecan Spark,blank,0
B10,0.0869,52596.46,37.0,Tecan Spark,blank,0
B10,0.0869,52991.893,37.1,Tecan Spark,blank,0
B10,0.087,53387.415,37.1,Tecan Spark,blank,0
B10,0.0871,53782.852,37.1,Tecan Spark,blank,0
B10,0.0869,54178.265999999996,37.1,Tecan Spark,blank,0
B10,0.0868,54573.78,37.0,Tecan Spark,blank,0
B10,0.0869,5141.271,37.1,Tecan Spark,blank,0
B10,0.0867,54969.24,37.1,Tecan Spark,blank,0
B10,0.0869,55364.624,37.1,Tecan Spark,blank,0
B10,0.0868,55760.174000000006,37.1,Tecan Spark,blank,0
B10,0.0868,56155.642,37.1,Tecan Spark,blank,0
B10,0.0871,56551.062999999995,37.0,Tecan Spark,blank,0
B10,0.0869,56946.522000000004,37.0,Tecan Spark,blank,0
B10,0.0869,57342.012,37.1,Tecan Spark,blank,0
B10,0.0869,57737.422,37.1,Tecan Spark,blank,0
B10,0.0869,58132.935999999994,37.1,Tecan Spark,blank,0
B10,0.0869,58528.412000000004,37.1,Tecan Spark,blank,0
B10,0.0868,5536.755,37.0,Tecan Spark,blank,0
B10,0.0868,5932.188,37.1,Tecan Spark,blank,0
B10,0.087,6327.615,37.1,Tecan Spark,blank,0
B10,0.0869,6723.106,37.1,Tecan Spark,blank,0
B10,0.0869,7118.552,37.0,Tecan Spark,blank,0
B10,0.0869,395.82300000000004,37.0,Tecan Spark,blank,0
B10,0.087,7513.976,37.0,Tecan Spark,blank,0
B10,0.087,7909.491,37.1,Tecan Spark,blank,0
B10,0.087,8305.027,37.1,Tecan Spark,blank,0
B10,0.0869,8700.395,37.1,Tecan Spark,blank,0
B10,0.0869,9095.88,37.1,Tecan Spark,blank,0
B10,0.087,9491.348,37.0,Tecan Spark,blank,0
B10,0.0868,9886.777,37.1,Tecan Spark,blank,0
B10,0.0869,10282.264000000001,37.0,Tecan Spark,blank,0
B10,0.0869,10677.726999999999,37.0,Tecan Spark,blank,0
B10,0.0869,11073.215,37.1,Tecan Spark,blank,0
B10,0.0871,791.174,37.1,Tecan Spark,blank,0
B10,0.087,11468.636999999999,37.1,Tecan Spark,blank,0
B10,0.0869,11864.052,37.1,Tecan Spark,blank,0
B10,0.087,12259.586000000001,37.0,Tecan Spark,blank,0
B10,0.0868,12655.08,37.0,Tecan Spark,blank,0
B10,0.0868,13050.486,37.0,Tecan Spark,blank,0
B10,0.0869,13445.955,37.1,Tecan Spark,blank,0
B10,0.087,13841.47,37.1,Tecan Spark,blank,0
B10,0.0869,14236.871000000001,37.1,Tecan Spark,blank,0
B10,0.0869,14632.37,37.1,Tecan Spark,blank,0
