Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
Time [s],0,395.823,791.174,1186.615,1582.069,1977.542,2372.957,2768.4,3163.844,3559.415,3954.907,4350.314,4745.789,5141.271,5536.755,5932.188,6327.615,6723.106,7118.552,7513.976,7909.491,8305.027,8700.395,9095.88,9491.348,9886.777,10282.264,10677.727,11073.215,11468.637,11864.052,12259.586,12655.08,13050.486,13445.955,13841.47,14236.871,14632.37,15027.841,15423.264,15818.761,16214.222,16609.697,17005.136,17400.564,17796.03,18191.447,18586.897,18982.437,19377.839,19773.245,20168.765,20564.185,20959.598,21355.077,21750.603,22146.046,22541.583,22937.065,23332.496,23727.99,24123.431,24518.977,24914.458,25309.832,25705.3,26100.779,26496.174,26891.608,27287.063,27682.525,28077.968,28473.405,28868.969,29264.474,29659.868,30055.322,30450.784,30846.277,31241.641,31637.067,32032.543,32428.045,32823.46,33218.984,33614.464,34009.912,34405.404,34800.773,35196.245,35591.639,35987.052,36382.533,36777.99,37173.417,37568.875,37964.317,38359.858,38755.388,39150.816,39546.299,39941.699,40337.14,40732.551,41127.99,41523.474,41918.967,42314.366,42709.892,43105.372,43500.837,43896.319,44291.689,44687.161,45082.538,45477.95,45873.414,46268.888,46664.33,47059.848,47455.313,47850.852,48246.313,48641.723,49037.203,49432.725,49828.136,50223.601,50619.114,51014.531,51410.05,51805.509,52201.024,52596.46,52991.893,53387.415,53782.852,54178.266,54573.78,54969.24,55364.624,55760.174,56155.642,56551.063,56946.522,57342.012,57737.422,58132.936,58528.412
Temp. [°C],36.8,37,37.1,37.1,37.1,37,37.1,37.1,37.1,37.1,37.1,37,37,37.1,37,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1,37,37.1,37,37,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37,37.1,37.1,37.1,37.1,37.1,37.1,37,37,37,37,37.1,37.1,37,37,37,37,37.1,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37.1,37,37,37.1,37,37,37.1,37,37,37,37,37,37.1,37.1,37,37,37,37,37.1,37.1,37,37,37,37,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1,37,37,37,37.1,37,37.1,37.1,37,37.1,37,37,37.1,37.1,37.1,37,37,37.1,37,37.1,37.1,37.1,37.1,37,37.1,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1
A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,0.0872,0.0872,0.0874,0.0873,0.0874,0.0874,0.0875,0.0874,0.0874,0.0874,0.0874,0.0874,0.0873,0.0872,0.0872,0.0872,0.0873,0.0873,0.0873,0.0873,0.0874,0.0875,0.0873,0.0875,0.0875,0.0874,0.0874,0.0875,0.0872,0.0872,0.0872,0.0873,0.0874,0.0874,0.0874,0.0876,0.0875,0.0876,0.0875,0.0873,0.0873,0.0874,0.0873,0.0874,0.0874,0.0874,0.0875,0.0874,0.0876,0.0874,0.0875,0.0874,0.0873,0.0873,0.0874,0.0873,0.0874,0.0875,0.0875,0.0874,0.0874,0.0876,0.0874,0.0873,0.0872,0.0873,0.0874,0.0875,0.0874,0.0874,0.0876,0.0875,0.0875,0.0875,0.0876,0.0875,0.0874,0.0874,0.0873,0.0874,0.0873,0.0874,0.0872,0.0874,0.0875,0.0875,0.0876,0.0875,0.0873,0.0874,0.0874,0.0874,0.0874,0.0873,0.0874,0.0874,0.0874,0.0874,0.0876,0.0875,0.0875,0.0876,0.0876,0.0874,0.0875,0.0873,0.0873,0.0873,0.0873,0.0875,0.0875,0.0874,0.0875,0.0876,0.0875,0.0875,0.0876,0.0874,0.0874,0.0873,0.0875,0.0874,0.0874,0.0875,0.0875,0.0875,0.0876,0.0875,0.0873,0.0874,0.0876,0.0874,0.0873,0.0875,0.0874,0.0875,0.0875,0.0876,0.0876,0.0876,0.0876,0.0875,0.0875,0.0875,0.0873,0.0875,0.0875,0.0875,0.0875
B3,0.0871,0.0872,0.0874,0.0872,0.0872,0.0871,0.0871,0.0871,0.0873,0.087,0.087,0.0873,0.0871,0.0871,0.0871,0.0872,0.0872,0.0871,0.0872,0.0872,0.0871,0.087,0.0872,0.0872,0.0872,0.0871,0.0872,0.0872,0.0872,0.0872,0.0872,0.0874,0.0872,0.0873,0.0872,0.0872,0.0873,0.0874,0.0872,0.0871,0.0873,0.0872,0.0873,0.0873,0.0872,0.0873,0.0872,0.0872,0.0873,0.0872,0.0873,0.0872,0.0871,0.0873,0.0873,0.0872,0.0873,0.0872,0.0872,0.0872,0.0872,0.0873,0.0872,0.0873,0.0873,0.0873,0.0873,0.0872,0.0874,0.0873,0.0872,0.0873,0.0873,0.0873,0.0872,0.0872,0.0873,0.0874,0.0871,0.0873,0.0875,0.0874,0.0872,0.0873,0.0872,0.0873,0.0873,0.0872,0.0873,0.0873,0.0872,0.0872,0.0873,0.0873,0.0874,0.0873,0.0874,0.0873,0.0873,0.0875,0.0872,0.0874,0.0874,0.0873,0.0874,0.0874,0.0873,0.0874,0.0873,0.0875,0.0873,0.0872,0.0875,0.0874,0.0873,0.0875,0.0874,0.0873,0.0873,0.0873,0.0873,0.0874,0.0873,0.0874,0.0874,0.0874,0.0874,0.0875,0.0872,0.0873,0.0874,0.0874,0.0875,0.0875,0.0875,0.0874,0.0874,0.0875,0.0875,0.0873,0.0875,0.0874,0.0874,0.0876,0.0874,0.0873,0.0874,0.0875,0.0875
