well,od_600nm,time_s,temp_C,instrument,medium,sample,replicate
B10,0.0875,0.0,36.6,Tecan Spark,water,blank,0
B10,0.0877,3559.551,37.1,Tecan Spark,water,blank,0
B10,0.0876,39151.248,37.0,Tecan Spark,water,blank,0
B10,0.0876,39546.715,37.0,Tecan Spark,water,blank,0
B10,0.0875,39942.22,37.1,Tecan Spark,water,blank,0
B10,0.0876,40337.643,37.1,Tecan Spark,water,blank,0
B10,0.0877,40733.094,37.1,Tecan Spark,water,blank,0
B10,0.0877,41128.647000000004,37.0,Tecan Spark,water,blank,0
B10,0.0876,41524.157999999996,37.0,Tecan Spark,water,blank,0
B10,0.0876,41919.574,37.1,Tecan Spark,water,blank,0
B10,0.0876,42315.054000000004,37.1,Tecan Spark,water,blank,0
B10,0.0876,42710.475,37.1,Tecan Spark,water,blank,0
B10,0.0878,3954.9770000000003,37.1,Tecan Spark,water,blank,0
B10,0.0875,43105.9,37.1,Tecan Spark,water,blank,0
B10,0.0876,43501.395,37.1,Tecan Spark,water,blank,0
B10,0.0876,43896.864,37.0,Tecan Spark,water,blank,0
B10,0.0876,44292.319,37.1,Tecan Spark,water,blank,0
B10,0.0877,44687.802,37.1,Tecan Spark,water,blank,0
B10,0.0877,45083.237,37.1,Tecan Spark,water,blank,0
B10,0.0877,45478.776,37.1,Tecan Spark,water,blank,0
B10,0.0875,45874.239,37.1,Tecan Spark,water,blank,0
B10,0.0877,46269.630999999994,37.1,Tecan Spark,water,blank,0
B10,0.0877,46665.109000000004,37.0,Tecan Spark,water,blank,0
B10,0.0876,4350.436,37.0,Tecan Spark,water,blank,0
B10,0.0876,47060.475,37.0,Tecan Spark,water,blank,0
B10,0.0876,47455.916,37.1,Tecan Spark,water,blank,0
B10,0.0875,47851.398,37.1,Tecan Spark,water,blank,0
B10,0.0877,48246.855,37.1,Tecan Spark,water,blank,0
B10,0.0877,48642.29,37.1,Tecan Spark,water,blank,0
B10,0.0877,49037.852,37.0,Tecan Spark,water,blank,0
B10,0.0876,49433.335999999996,37.1,Tecan Spark,water,blank,0
B10,0.0877,49828.715,37.1,Tecan Spark,water,blank,0
B10,0.0877,50224.199,37.1,Tecan Spark,water,blank,0
B10,0.0877,50619.715,37.1,Tecan Spark,water,blank,0
