Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177
Time [s],0,395.895,791.329,1186.776,1582.207,1977.738,2373.27,2768.682,3164.184,3559.551,3954.977,4350.436,4745.875,5141.345,5536.737,5932.165,6327.717,6723.216,7118.622,7514.14,7909.538,8304.979,8700.432,9095.915,9491.358,9886.845,10282.325,10677.859,11073.263,11468.638,11864.122,12259.533,12654.952,13050.472,13445.912,13841.317,14236.86,14632.383,15027.768,15423.316,15818.79,16214.211,16609.68,17005.23,17400.676,17796.21,18191.621,18586.988,18982.522,19377.974,19773.387,20168.877,20564.348,20959.764,21355.301,21750.797,22146.206,22541.742,22937.279,23332.647,23728.11,24123.598,24519.004,24914.467,25309.928,25705.367,26100.841,26496.277,26891.839,27287.325,27682.724,28078.258,28473.697,28869.098,29264.577,29660.071,30055.482,30450.995,30846.442,31241.981,31637.388,32032.758,32428.31,32823.77,33219.2,33614.67,34010.167,34405.619,34801.155,35196.619,35592.088,35987.535,36382.976,36778.53,37174.021,37569.456,37964.917,38360.365,38755.791,39151.248,39546.715,39942.22,40337.643,40733.094,41128.647,41524.158,41919.574,42315.054,42710.475,43105.9,43501.395,43896.864,44292.319,44687.802,45083.237,45478.776,45874.239,46269.631,46665.109,47060.475,47455.916,47851.398,48246.855,48642.29,49037.852,49433.336,49828.715,50224.199,50619.715,51015.104,51410.606,51806.096,52201.478,52597.013,52992.488,53387.867,53783.368,54178.846,54574.263,54969.791,55365.273,55760.647,56156.168,56551.557,56946.972,57342.45,57737.923,58133.338,58528.853,58924.325,59319.734,59715.185,60110.649,60506.054,60901.518,61297.001,61692.374,62087.896,62483.351,62878.766,63274.241,63669.774,64065.178,64460.711,64856.178,65251.54,65647.059,66042.475,66437.893,66833.363,67228.843,67624.252,68019.804,68415.365,68810.72,69206.236,69601.688
Temp. [°C],36.6,36.9,37.1,37.1,37.1,37,37.1,37.1,37.1,37.1,37.1,37,37.1,37.1,37,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1,37,37.1,37,37,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37.1,37,37.1,37,37.1,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37,37,37,37,37,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37,37,37,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1,37.1,37,37.1,37.1,37.1,37.1,37.1,37.1,37,37,37.1,37.1,37.1,37.1,37,37.1,37.1,37.1,37.1,37.1,37.1,37,37.1,37,37,37,37.1,37.1,37,37.1,37,37.1,37.1,37.1,37.1,37,37.1,37.1,37.1,37.1,37.1,37,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37,37.1,37,37.1,37.1,37.1,37.1,37,37.1,37,37.1,37.1,37.1
A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
