gene_name	synonyms	ecocyc_accession	common_name	position_min	summary	gene_product	b_number
EG11221		ECK1853	zwf	41.684277		GLU6PDEHYDROG-MONOMER	b1852
EG11929	yjbK // znuR	ECK4038	zur	91.76664		EG11929-MONOMER	b4046
EG11167	ygiE	ECK3031	zupT	68.565025		EG11167-MONOMER	b3040
EG10008	hydH	ECK3995	zraS	90.52652		PHOSPHO-HYDH // HYDH-MONOMER	b4003
EG10482	hydG	ECK3996	zraR	90.55655		PHOSPHO-HYDG // HYDG-MONOMER	b4004
EG11918	yjaI // zra	ECK3994	zraP	90.51224		EG11918-MONOMER	b4002
G7018	yebM	ECK1859	znuC	41.852814		ZNUC-MONOMER	b1858
EG12368	yebI	ECK1860	znuB	41.869015		ZNUB-MONOMER	b1859
G7017	yzzP // yebL	ECK1858	znuA	41.831036		ZNUA-MONOMER	b1857
EG11969	yhdM	ECK3279	zntR	74.08364		EG11969-MONOMER	b3292
G6674	ydaN	ECK1339	zntB	30.335104		G6674-MONOMER	b1342
EG12215	yhhO	ECK3453	zntA	77.69758		YHHO-MONOMER	b3469
G6393	ybgR	ECK0741	zitB	16.887995		B0752-MONOMER	b0752
G7258		ECK2407	zipA	54.51178		G7258-MONOMER	b2412
G7061	yodA	ECK1969	zinT	43.979492		G7061-MONOMER	b1973
G7680	yhcM	ECK3221	zapE	72.794556		G7680-MONOMER	b3232
EG12313	yacF	ECK0102	zapD	2.4098315		EG12313-MONOMER	b0102
G6486	ycbW	ECK0937	zapC	21.672285		G6486-MONOMER	b0946
EG11878	yiiU	ECK3920	zapB	88.72951		EG11878-MONOMER	b3928
EG12878	ygfE	ECK2905	zapA	65.83027		EG12878-MONOMER	b2910
G7752		ECK3413	yzgL	76.77706		G7752-MONOMER	b3427
EG11213	yjfA // ileR	ECK4219	yzfA	95.82744	<i>yzfA</i> was originally described as the <i>ileR</i> locus |CITS: [3525538]|.  However, in a personal communication to Kenn Rudd (see the EcoGene database entry), Ron Somerville stated that <i>yzfA</i> is not the IleR structural gene.

<i>yfzA</i> was deaccessioned in ASAP in 2007.  Comment in ASAP: "yzfA (b4223) is no longer thought to be an actual gene and has been deaccessioned; this reading frame is on the opposite strand of ytfP"

